Date,Low,Open,Volume,High,Close,Adjusted Close
14-08-1995,892.5,998.75,1555,1020.0,892.5,892.5
15-08-1995,828.75,913.75,446,913.75,828.75,828.75
16-08-1995,881.875,903.125,264,935.0,935.0,935.0
17-08-1995,892.5,956.25,982,1041.25,956.25,956.25
18-08-1995,977.5,988.125,992,1062.5,1020.0,1020.0
21-08-1995,1020.0,1062.5,1094,1147.5,1105.0,1105.0
22-08-1995,977.5,1147.5,530,1147.5,1083.75,1083.75
23-08-1995,1020.0,1105.0,521,1105.0,1062.5,1062.5
24-08-1995,1062.5,1083.75,1154,1232.5,1147.5,1147.5
25-08-1995,1073.125,1168.75,845,1190.0,1126.25,1126.25
28-08-1995,1083.75,1126.25,143,1126.25,1105.0,1105.0
29-08-1995,977.5,1105.0,197,1105.0,977.5,977.5
30-08-1995,977.5,1041.25,72,1041.25,1020.0,1020.0
31-08-1995,1020.0,1062.5,285,1062.5,1041.25,1041.25
01-09-1995,1020.0,1062.5,39,1062.5,1062.5,1062.5
05-09-1995,1020.0,1020.0,102,1062.5,1062.5,1062.5
06-09-1995,998.75,1062.5,155,1062.5,998.75,998.75
07-09-1995,913.75,977.5,224,998.75,913.75,913.75
08-09-1995,913.75,913.75,112,977.5,956.25,956.25
11-09-1995,935.0,956.25,55,977.5,935.0,935.0
12-09-1995,935.0,977.5,51,977.5,956.25,956.25
13-09-1995,935.0,977.5,172,977.5,977.5,977.5
14-09-1995,935.0,935.0,149,977.5,935.0,935.0
15-09-1995,913.75,935.0,75,977.5,977.5,977.5
18-09-1995,913.75,977.5,58,977.5,913.75,913.75
19-09-1995,913.75,913.75,82,913.75,913.75,913.75
20-09-1995,913.75,935.0,63,956.25,956.25,956.25
21-09-1995,903.125,956.25,84,956.25,932.34375,932.34375
22-09-1995,892.5,892.5,132,935.0,892.5,892.5
25-09-1995,892.5,892.5,156,935.0,892.5,892.5
26-09-1995,871.25,935.0,98,935.0,892.5,892.5
27-09-1995,828.75,871.25,81,913.75,828.75,828.75
28-09-1995,850.0,850.0,100,871.25,850.0,850.0
29-09-1995,850.0,892.5,36,892.5,850.0,850.0
02-10-1995,850.0,850.0,0,850.0,850.0,850.0
03-10-1995,828.75,850.0,36,850.0,828.75,828.75
04-10-1995,828.75,828.75,0,828.75,828.75,828.75
05-10-1995,828.75,828.75,24,828.75,828.75,828.75
06-10-1995,828.75,871.25,9,871.25,828.75,828.75
09-10-1995,828.75,850.0,10,850.0,828.75,828.75
10-10-1995,828.75,828.75,49,871.25,871.25,871.25
11-10-1995,828.75,828.75,26,871.25,871.25,871.25
12-10-1995,828.75,828.75,18,850.0,850.0,850.0
13-10-1995,828.75,871.25,47,892.5,892.5,892.5
16-10-1995,871.25,892.5,84,977.5,977.5,977.5
17-10-1995,935.0,935.0,37,956.25,956.25,956.25
18-10-1995,935.0,935.0,92,977.5,977.5,977.5
19-10-1995,977.5,977.5,234,1020.0,1020.0,1020.0
20-10-1995,977.5,1020.0,289,1020.0,1009.375,1009.375
23-10-1995,956.25,998.75,128,1009.375,956.25,956.25
24-10-1995,913.75,956.25,48,956.25,913.75,913.75
25-10-1995,935.0,956.25,224,977.5,935.0,935.0
26-10-1995,977.5,998.75,385,998.75,988.125,988.125
27-10-1995,977.5,998.75,624,1041.25,1041.25,1041.25
30-10-1995,977.5,998.75,425,1041.25,1020.0,1020.0
31-10-1995,998.75,1041.25,70,1041.25,998.75,998.75
01-11-1995,998.75,1041.25,25,1041.25,1041.25,1041.25
02-11-1995,998.75,1041.25,28,1041.25,998.75,998.75
03-11-1995,1020.0,1062.5,26,1062.5,1062.5,1062.5
06-11-1995,1020.0,1062.5,49,1062.5,1020.0,1020.0
07-11-1995,956.25,1020.0,165,1020.0,977.5,977.5
08-11-1995,892.5,998.75,72,998.75,913.75,913.75
09-11-1995,892.5,892.5,9,956.25,956.25,956.25
10-11-1995,903.125,956.25,152,956.25,935.0,935.0
13-11-1995,935.0,935.0,16,935.0,935.0,935.0
14-11-1995,892.5,935.0,25,935.0,892.5,892.5
15-11-1995,892.5,892.5,2,892.5,892.5,892.5
16-11-1995,892.5,892.5,34,935.0,892.5,892.5
17-11-1995,871.25,892.5,47,892.5,871.25,871.25
20-11-1995,871.25,871.25,7,871.25,871.25,871.25
21-11-1995,871.25,913.75,154,935.0,871.25,871.25
22-11-1995,871.25,871.25,44,892.5,892.5,892.5
24-11-1995,892.5,892.5,0,892.5,892.5,892.5
27-11-1995,871.25,871.25,28,871.25,871.25,871.25
28-11-1995,871.25,913.75,21,913.75,871.25,871.25
29-11-1995,850.0,850.0,79,850.0,850.0,850.0
30-11-1995,807.5,807.5,18,807.5,807.5,807.5
01-12-1995,786.25,807.5,141,828.75,786.25,786.25
04-12-1995,786.25,786.25,12,786.25,786.25,786.25
05-12-1995,786.25,807.5,65,807.5,807.5,807.5
06-12-1995,786.25,786.25,8,786.25,786.25,786.25
07-12-1995,765.0,786.25,135,786.25,765.0,765.0
08-12-1995,722.5,765.0,44,765.0,765.0,765.0
11-12-1995,722.5,722.5,279,765.0,765.0,765.0
12-12-1995,680.0,722.5,631,765.0,743.75,743.75
13-12-1995,722.5,765.0,80,786.25,786.25,786.25
14-12-1995,743.75,743.75,33,807.5,807.5,807.5
15-12-1995,786.25,807.5,43,807.5,807.5,807.5
18-12-1995,765.0,807.5,239,807.5,807.5,807.5
19-12-1995,765.0,765.0,67,807.5,796.875,796.875
20-12-1995,818.125,828.75,39,828.75,828.75,828.75
21-12-1995,839.375,839.375,141,850.0,850.0,850.0
22-12-1995,828.75,850.0,321,913.75,913.75,913.75
26-12-1995,828.75,871.25,79,871.25,850.0,850.0
27-12-1995,850.0,850.0,25,871.25,871.25,871.25
28-12-1995,892.5,892.5,13,892.5,892.5,892.5
29-12-1995,828.75,892.5,16,892.5,871.25,871.25
02-01-1996,850.0,850.0,41,892.5,892.5,892.5
03-01-1996,913.75,913.75,2,913.75,913.75,913.75
04-01-1996,913.75,913.75,4,913.75,913.75,913.75
05-01-1996,871.25,871.25,38,913.75,871.25,871.25
08-01-1996,871.25,871.25,11,892.5,892.5,892.5
09-01-1996,871.25,913.75,64,913.75,913.75,913.75
10-01-1996,860.625,860.625,37,871.25,871.25,871.25
11-01-1996,913.75,913.75,6,913.75,913.75,913.75
12-01-1996,871.25,913.75,66,913.75,892.5,892.5
15-01-1996,892.5,913.75,411,998.75,980.15625,980.15625
16-01-1996,1020.0,1020.0,79,1020.0,1020.0,1020.0
17-01-1996,977.5,977.5,74,1020.0,1020.0,1020.0
18-01-1996,935.0,977.5,229,1020.0,935.0,935.0
19-01-1996,935.0,977.5,40,998.75,935.0,935.0
22-01-1996,956.25,956.25,128,1020.0,998.75,998.75
23-01-1996,998.75,1020.0,62,1020.0,998.75,998.75
24-01-1996,956.25,998.75,82,1020.0,956.25,956.25
25-01-1996,913.75,998.75,86,998.75,913.75,913.75
26-01-1996,913.75,913.75,9,913.75,913.75,913.75
29-01-1996,913.75,956.25,71,956.25,913.75,913.75
30-01-1996,913.75,956.25,55,956.25,913.75,913.75
31-01-1996,913.75,913.75,24,977.5,913.75,913.75
01-02-1996,935.0,935.0,14,956.25,956.25,956.25
02-02-1996,913.75,956.25,88,956.25,913.75,913.75
05-02-1996,913.75,913.75,53,956.25,956.25,956.25
06-02-1996,913.75,913.75,108,935.0,913.75,913.75
07-02-1996,913.75,956.25,472,1062.5,1030.625,1030.625
08-02-1996,1020.0,1083.75,214,1083.75,1020.0,1020.0
09-02-1996,1083.75,1083.75,354,1211.25,1147.5,1147.5
12-02-1996,1062.5,1126.25,161,1126.25,1062.5,1062.5
13-02-1996,1009.375,1062.5,108,1062.5,1009.375,1009.375
14-02-1996,977.5,998.75,41,998.75,977.5,977.5
15-02-1996,977.5,977.5,36,977.5,977.5,977.5
16-02-1996,977.5,977.5,128,1020.0,1020.0,1020.0
20-02-1996,998.75,998.75,12,998.75,998.75,998.75
21-02-1996,977.5,977.5,188,1041.25,1041.25,1041.25
22-02-1996,1020.0,1020.0,179,1083.75,1083.75,1083.75
23-02-1996,1062.5,1083.75,76,1083.75,1083.75,1083.75
26-02-1996,1020.0,1083.75,221,1105.0,1020.0,1020.0
27-02-1996,998.75,1020.0,28,1041.25,1020.0,1020.0
28-02-1996,998.75,998.75,38,1041.25,1020.0,1020.0
29-02-1996,913.75,1020.0,251,1020.0,998.75,998.75
01-03-1996,956.25,956.25,9,956.25,956.25,956.25
04-03-1996,913.75,913.75,309,935.0,913.75,913.75
05-03-1996,913.75,913.75,239,977.5,935.0,935.0
06-03-1996,913.75,913.75,27,977.5,935.0,935.0
07-03-1996,913.75,935.0,82,998.75,935.0,935.0
08-03-1996,913.75,913.75,107,935.0,913.75,913.75
11-03-1996,913.75,977.5,23,977.5,913.75,913.75
12-03-1996,935.0,977.5,31,977.5,935.0,935.0
13-03-1996,935.0,935.0,0,935.0,935.0,935.0
14-03-1996,913.75,913.75,39,977.5,977.5,977.5
15-03-1996,913.75,935.0,42,977.5,977.5,977.5
18-03-1996,913.75,913.75,18,913.75,913.75,913.75
19-03-1996,892.5,913.75,231,935.0,935.0,935.0
20-03-1996,892.5,892.5,6,892.5,892.5,892.5
21-03-1996,892.5,956.25,151,956.25,913.75,913.75
22-03-1996,892.5,892.5,123,956.25,956.25,956.25
25-03-1996,913.75,935.0,144,977.5,977.5,977.5
26-03-1996,935.0,977.5,49,977.5,935.0,935.0
27-03-1996,935.0,977.5,66,977.5,935.0,935.0
28-03-1996,935.0,956.25,112,956.25,956.25,956.25
29-03-1996,935.0,956.25,38,956.25,956.25,956.25
01-04-1996,935.0,935.0,49,977.5,977.5,977.5
02-04-1996,945.625,977.5,124,1083.75,1083.75,1083.75
03-04-1996,1062.5,1083.75,96,1105.0,1062.5,1062.5
04-04-1996,1041.25,1041.25,195,1126.25,1126.25,1126.25
08-04-1996,1041.25,1062.5,109,1126.25,1126.25,1126.25
09-04-1996,1126.25,1126.25,0,1126.25,1126.25,1126.25
10-04-1996,1041.25,1126.25,63,1126.25,1041.25,1041.25
11-04-1996,1041.25,1041.25,61,1062.5,1041.25,1041.25
12-04-1996,1041.25,1083.75,19,1083.75,1041.25,1041.25
15-04-1996,1041.25,1062.5,45,1105.0,1105.0,1105.0
16-04-1996,1041.25,1105.0,85,1105.0,1105.0,1105.0
17-04-1996,1083.75,1083.75,2,1083.75,1083.75,1083.75
18-04-1996,1062.5,1105.0,53,1105.0,1062.5,1062.5
19-04-1996,1062.5,1062.5,79,1126.25,1083.75,1083.75
22-04-1996,1062.5,1062.5,14,1062.5,1062.5,1062.5
23-04-1996,1020.0,1062.5,48,1105.0,1062.5,1062.5
24-04-1996,1020.0,1083.75,14,1083.75,1062.5,1062.5
25-04-1996,1020.0,1020.0,17,1083.75,1083.75,1083.75
26-04-1996,1020.0,1020.0,25,1083.75,1083.75,1083.75
29-04-1996,1041.25,1083.75,54,1083.75,1083.75,1083.75
30-04-1996,1041.25,1041.25,61,1062.5,1062.5,1062.5
01-05-1996,1062.5,1105.0,66,1126.25,1083.75,1083.75
02-05-1996,1083.75,1126.25,145,1126.25,1105.0,1105.0
03-05-1996,1105.0,1126.25,53,1126.25,1105.0,1105.0
06-05-1996,1062.5,1105.0,120,1105.0,1062.5,1062.5
07-05-1996,1020.0,1062.5,201,1083.75,1041.25,1041.25
08-05-1996,1020.0,1020.0,36,1062.5,1020.0,1020.0
09-05-1996,1020.0,1020.0,64,1041.25,1020.0,1020.0
10-05-1996,977.5,1020.0,158,1041.25,977.5,977.5
13-05-1996,977.5,977.5,197,1020.0,1014.6875,1014.6875
14-05-1996,956.25,1041.25,366,1041.25,1020.0,1020.0
15-05-1996,956.25,956.25,591,1083.75,1041.25,1041.25
16-05-1996,1062.5,1062.5,448,1211.25,1211.25,1211.25
17-05-1996,1147.5,1168.75,92,1211.25,1211.25,1211.25
20-05-1996,1168.75,1211.25,395,1232.5,1232.5,1232.5
21-05-1996,1168.75,1232.5,103,1232.5,1168.75,1168.75
22-05-1996,1168.75,1232.5,38,1232.5,1232.5,1232.5
23-05-1996,1168.75,1232.5,1791,1572.5,1487.5,1487.5
24-05-1996,1360.0,1530.0,832,1530.0,1445.0,1445.0
