Date,Low,Open,Volume,High,Close,Adjusted Close
30-05-1996,25.5,25.5,575,26.5,25.5,25.5
31-05-1996,25.5,25.5,1300,27.0,25.5,25.5
03-06-1996,25.0,34.0,30075,39.0,34.0,34.0
04-06-1996,30.0,31.0,17025,36.0,31.0,31.0
05-06-1996,32.0,32.0,3075,34.0,32.0,32.0
06-06-1996,32.0,33.0,6800,34.0,33.0,33.0
07-06-1996,32.0,32.0,1250,34.5,32.0,32.0
10-06-1996,32.5,33.5,550,35.0,33.5,33.5
11-06-1996,33.0,36.0,4675,36.0,36.0,36.0
12-06-1996,34.5,34.5,1475,36.0,34.5,34.5
13-06-1996,33.0,33.0625,1875,33.0625,33.0625,33.0625
14-06-1996,32.0,32.5,4425,36.0,32.5,32.5
17-06-1996,29.5,34.0,1000,35.0,34.0,34.0
18-06-1996,30.0,30.0,6050,34.0,30.0,30.0
19-06-1996,30.0,30.5,3050,32.0,30.5,30.5
20-06-1996,26.0,28.0,9375,30.1875,28.0,28.0
21-06-1996,27.0,31.0,1350,31.0,31.0,31.0
24-06-1996,27.0,30.0,1475,31.0,30.0,30.0
25-06-1996,27.0,27.0,4100,30.0,27.0,27.0
26-06-1996,29.0,29.0,250,29.0,29.0,29.0
27-06-1996,27.0,27.5,2425,27.5,27.5,27.5
28-06-1996,27.5,30.5,2500,30.5,30.5,30.5
01-07-1996,27.5,30.5,475,30.5,30.5,30.5
02-07-1996,27.5,30.5,11600,30.5,29.0,29.0
03-07-1996,28.0,28.1875,8875,29.5,28.1875,28.1875
05-07-1996,28.0,28.0,2750,28.0,28.0,28.0
08-07-1996,28.0,29.5,4100,29.5,29.5,29.5
09-07-1996,5.0,12.0,82350,26.0,12.0,12.0
10-07-1996,10.0,13.0,32100,14.0,13.0,13.0
11-07-1996,12.4375,16.0,20175,17.4375,16.0,16.0
12-07-1996,14.0,14.4375,11350,16.0,14.4375,14.4375
15-07-1996,12.0,15.4375,8625,15.4375,15.4375,15.4375
16-07-1996,9.4375,9.4375,875,15.4375,9.4375,9.4375
17-07-1996,9.4375,12.0,3650,12.0,12.0,12.0
18-07-1996,10.4375,10.4375,500,13.4375,10.4375,10.4375
19-07-1996,10.4375,10.4375,650,13.4375,10.4375,10.4375
22-07-1996,10.4375,10.4375,3000,10.4375,10.4375,10.4375
23-07-1996,10.4375,10.4375,2275,12.4375,10.4375,10.4375
24-07-1996,10.4375,12.0,3325,12.0,12.0,12.0
25-07-1996,10.4375,11.4375,2825,13.0,11.4375,11.4375
26-07-1996,11.0,12.0,6925,12.0,12.0,12.0
29-07-1996,10.4375,10.4375,500,10.4375,10.4375,10.4375
30-07-1996,10.4375,10.4375,125,10.4375,10.4375,10.4375
31-07-1996,10.4375,10.4375,0,10.4375,10.4375,10.4375
01-08-1996,10.6875,10.6875,750,12.0,10.6875,10.6875
02-08-1996,10.4375,10.4375,6100,11.0,10.4375,10.4375
05-08-1996,10.4375,10.4375,1275,11.0,10.4375,10.4375
06-08-1996,10.0,10.0,5675,11.0,10.0,10.0
07-08-1996,10.0,11.4375,4675,11.4375,11.4375,11.4375
08-08-1996,11.0,19.5,29325,20.0,19.5,19.5
09-08-1996,18.0,20.0,16125,24.0,22.5,22.5
12-08-1996,21.0,22.5,22125,23.5,23.0,23.0
13-08-1996,22.5,22.5,19425,23.5,23.0,23.0
14-08-1996,22.5,22.5,4750,23.5,22.5,22.5
15-08-1996,22.5,22.5,2750,23.5,22.5,22.5
16-08-1996,22.5,23.5,2500,23.5,23.5,23.5
19-08-1996,22.5,22.5,3175,22.5,22.5,22.5
20-08-1996,22.5,22.5,250,22.5,22.5,22.5
21-08-1996,22.5,22.5,2325,23.0,22.6875,22.6875
22-08-1996,22.5,22.5,7575,23.5,23.25,23.25
23-08-1996,23.0,23.5,3975,24.5,24.0,24.0
26-08-1996,23.0,23.0,1850,24.5,24.5,24.5
27-08-1996,23.5,23.5,3500,24.0,24.0,24.0
28-08-1996,23.5,24.0,1575,25.0,23.5,23.5
29-08-1996,23.5,25.0,17000,25.0,25.0,25.0
30-08-1996,24.0,24.0,925,25.0,24.0,24.0
03-09-1996,24.0,24.0,2125,25.0,24.0,24.0
04-09-1996,24.0,24.0,6375,25.5,25.0,25.0
05-09-1996,24.0,25.0,1775,25.0,24.0,24.0
06-09-1996,23.0,24.0,3625,24.5,23.0,23.0
09-09-1996,23.0,23.0,2950,23.5,23.0,23.0
10-09-1996,21.0,23.0,2000,23.0,22.0,22.0
11-09-1996,20.0,20.0,1850,21.5,20.0,20.0
12-09-1996,20.0,20.0,6425,20.6875,20.0,20.0
13-09-1996,20.0,20.0,375,20.0,20.0,20.0
16-09-1996,21.0,21.0,500,21.0,21.0,21.0
17-09-1996,20.0,21.5,1700,21.5,21.5,21.5
18-09-1996,20.0,20.0,2875,20.75,20.75,20.75
19-09-1996,20.75,20.75,0,20.75,20.75,20.75
20-09-1996,19.0,20.0,3750,20.0,20.0,20.0
23-09-1996,19.5,20.0,1925,20.0,19.5,19.5
24-09-1996,19.5,19.5,0,19.5,19.5,19.5
25-09-1996,18.5,19.5,3250,19.5,18.5,18.5
26-09-1996,18.5,18.5,250,18.5,18.5,18.5
27-09-1996,19.0,19.0,750,19.5,19.0,19.0
30-09-1996,18.5,18.5,25,18.5,18.5,18.5
01-10-1996,19.0,19.0,1325,19.0,19.0,19.0
02-10-1996,19.0,19.0,2800,19.5,19.25,19.25
03-10-1996,19.0,19.0,7800,22.5,21.0,21.0
04-10-1996,22.0,22.0,10075,25.5,24.5,24.5
07-10-1996,23.0,23.0,1325,24.0,23.0,23.0
08-10-1996,22.5,23.0,6450,24.0,23.0,23.0
09-10-1996,22.0,22.0,15650,22.75,22.0,22.0
10-10-1996,22.5,23.5,9925,24.5,23.5,23.5
11-10-1996,23.5,25.0,14050,25.0,25.0,25.0
14-10-1996,25.0,25.25,1200,25.5,25.25,25.25
15-10-1996,24.5,24.5,875,25.0,24.5,24.5
16-10-1996,24.0,24.0,575,24.0,24.0,24.0
17-10-1996,23.0,23.0,2675,24.5,23.0,23.0
18-10-1996,23.0,23.0,0,23.0,23.0,23.0
21-10-1996,22.5,24.5,1050,24.5,24.5,24.5
22-10-1996,20.5,22.0,2275,22.0,22.0,22.0
23-10-1996,22.0,22.0,125,22.0,22.0,22.0
24-10-1996,21.0,21.0,2875,21.0,21.0,21.0
25-10-1996,22.0,22.0,325,22.0,22.0,22.0
28-10-1996,21.0,21.0,175,21.0,21.0,21.0
29-10-1996,22.0,22.0,2525,22.0,22.0,22.0
30-10-1996,21.0,21.0,200,22.0,22.0,22.0
31-10-1996,22.0,22.0,250,22.0,22.0,22.0
01-11-1996,21.25,22.5,1100,22.5,22.5,22.5
04-11-1996,21.25,22.0,775,22.5,22.0,22.0
05-11-1996,21.25,21.75,2950,22.5,21.75,21.75
06-11-1996,21.25,21.25,250,21.25,21.25,21.25
07-11-1996,21.25,21.5,8825,23.0,21.5,21.5
08-11-1996,22.5,22.5,325,22.5,22.5,22.5
11-11-1996,21.25,21.375,1950,21.5,21.375,21.375
12-11-1996,19.25,19.375,5100,21.375,19.375,19.375
13-11-1996,18.0,18.0,10425,19.5,18.0,18.0
14-11-1996,18.0,19.0,475,19.0,19.0,19.0
15-11-1996,18.0,19.0,2225,19.0,19.0,19.0
18-11-1996,18.0,18.0,50,18.0,18.0,18.0
19-11-1996,17.0,17.5,25850,19.0,17.5,17.5
20-11-1996,17.0,17.25,39600,17.5,17.25,17.25
21-11-1996,17.0,18.5,20925,18.5,18.5,18.5
22-11-1996,18.0,22.0,12875,22.0,22.0,22.0
25-11-1996,21.0,21.25,10025,22.0,21.5,21.5
26-11-1996,20.0,20.0,4000,22.0,20.0,20.0
27-11-1996,18.5,18.5,375,19.0,19.0,19.0
29-11-1996,19.0,21.0,4800,21.0,21.0,21.0
02-12-1996,19.0,19.0,3800,21.5,19.0,19.0
03-12-1996,18.5,18.5,1000,19.5,18.5,18.5
04-12-1996,18.5,18.5,2650,19.5,18.5,18.5
05-12-1996,18.5,20.0,13125,20.0,20.0,20.0
06-12-1996,17.5,18.0,5200,19.0,18.0,18.0
09-12-1996,18.0,18.0,4500,19.0,18.0,18.0
10-12-1996,20.0,20.0,500,20.0,20.0,20.0
11-12-1996,18.0,18.5,6375,19.5,18.5,18.5
12-12-1996,18.0,18.25,5750,19.0,18.25,18.25
13-12-1996,18.5,19.0,2850,19.0,19.0,19.0
16-12-1996,18.0,18.25,5475,19.0,18.25,18.25
