Date,Low,Open,Volume,High,Close,Adjusted Close
14-01-1992,16.5,18.0,268050,18.0,17.25,16.136396408081055
15-01-1992,17.0,17.0,192150,19.0,19.0,17.773422241210938
16-01-1992,17.0,19.0,84600,19.0,18.0,16.837974548339844
17-01-1992,17.25,18.0,14500,18.0,17.25,16.136396408081055
20-01-1992,17.25,17.25,30650,18.0,17.25,16.136396408081055
21-01-1992,16.5,17.5,48100,17.75,16.5,15.434815406799316
22-01-1992,16.5,17.0,36300,17.5,17.25,16.136396408081055
23-01-1992,16.5,17.25,34950,17.25,17.0,15.902536392211914
24-01-1992,16.75,16.75,31950,17.25,17.25,16.136396408081055
27-01-1992,16.5,16.75,66550,17.25,17.0,15.902536392211914
28-01-1992,16.75,16.75,24850,17.25,17.0,15.902536392211914
29-01-1992,16.75,16.75,43300,17.25,17.0,15.902536392211914
30-01-1992,16.75,16.75,65850,17.25,17.25,16.136396408081055
31-01-1992,16.75,17.25,28550,17.75,17.5,16.370254516601562
03-02-1992,16.75,16.75,43600,17.75,17.75,16.604116439819336
04-02-1992,16.5,17.75,34000,18.0,18.0,16.837974548339844
05-02-1992,17.0,18.0,39500,18.5,18.25,17.071840286254883
06-02-1992,18.0,18.5,98050,20.5,19.5,18.24114418029785
07-02-1992,19.75,20.5,59700,21.5,20.5,19.176584243774414
10-02-1992,20.25,20.5,88200,22.25,22.25,20.813610076904297
11-02-1992,21.25,22.0,414650,25.0,23.5,21.982913970947266
12-02-1992,23.5,24.5,90700,25.0,23.5,21.982913970947266
13-02-1992,23.0,24.5,39150,24.5,23.75,22.216777801513672
14-02-1992,22.5,24.0,16250,24.0,24.0,22.450637817382812
18-02-1992,22.5,24.0,14750,24.0,23.5,21.982913970947266
19-02-1992,21.0,22.5,26800,23.5,22.0,20.579750061035156
20-02-1992,21.0,22.0,14900,23.0,23.0,21.515193939208984
21-02-1992,21.5,23.0,33350,23.0,23.0,21.515193939208984
24-02-1992,22.0,23.0,5450,23.0,22.0,20.579750061035156
25-02-1992,22.0,23.0,8650,23.0,22.0,20.579750061035156
26-02-1992,22.0,23.0,24550,23.0,23.0,21.515193939208984
27-02-1992,22.0,23.0,23900,23.0,22.5,21.047473907470703
28-02-1992,22.0,23.0,73000,23.5,23.5,21.982913970947266
02-03-1992,22.5,23.5,5750,23.5,22.5,21.047473907470703
03-03-1992,22.5,22.5,3450,23.5,22.5,21.047473907470703
04-03-1992,22.5,23.5,47850,23.5,23.5,21.982913970947266
05-03-1992,22.5,23.5,4000,23.5,23.5,21.982913970947266
06-03-1992,22.5,23.5,5450,23.5,23.0,21.515193939208984
09-03-1992,22.5,22.5,9900,23.5,23.5,21.982913970947266
10-03-1992,22.5,22.5,9550,23.5,22.5,21.047473907470703
11-03-1992,22.0,23.5,13350,23.5,22.5,21.047473907470703
12-03-1992,22.0,22.0,3100,23.0,23.0,21.515193939208984
13-03-1992,22.0,23.0,3250,23.0,22.0,20.579750061035156
16-03-1992,22.0,23.0,1950,23.0,23.0,21.515193939208984
17-03-1992,22.0,23.0,4000,23.0,22.0,20.579750061035156
18-03-1992,22.0,22.5,3050,22.5,22.0,20.579750061035156
19-03-1992,22.0,22.0,1700,22.5,22.5,21.047473907470703
20-03-1992,22.0,22.5,4800,22.5,22.0,20.579750061035156
23-03-1992,21.0,22.0,3850,22.5,21.0,19.644306182861328
24-03-1992,21.0,21.0,29150,22.0,21.0,19.644306182861328
25-03-1992,21.0,22.0,4500,22.0,21.0,19.644306182861328
26-03-1992,21.0,21.0,3550,22.0,21.5,20.112028121948242
27-03-1992,20.0,21.0,16250,21.5,20.0,18.708860397338867
30-03-1992,20.0,20.0,31750,20.75,20.25,18.942726135253906
31-03-1992,20.0,20.0,27000,21.5,21.5,20.112028121948242
01-04-1992,20.0,20.25,3750,21.5,21.5,20.112028121948242
02-04-1992,20.0,21.5,1500,21.5,20.0,18.708860397338867
03-04-1992,20.0,21.5,1600,21.5,20.0,18.708860397338867
06-04-1992,20.0,21.5,2850,21.5,20.0,18.708860397338867
07-04-1992,20.0,20.0,4350,21.5,20.0,18.708860397338867
08-04-1992,19.0,20.0,8450,21.5,20.5,19.176584243774414
09-04-1992,18.0,20.5,20000,20.5,18.0,16.837974548339844
10-04-1992,17.25,19.0,212750,19.0,17.5,16.370254516601562
13-04-1992,17.5,19.0,1900,19.0,19.0,17.773422241210938
14-04-1992,17.5,17.5,2050,19.0,18.5,17.305700302124023
15-04-1992,17.5,17.5,1900,19.0,17.5,16.370254516601562
16-04-1992,17.5,18.0,8450,19.0,17.5,16.370254516601562
20-04-1992,16.0,19.0,26800,19.0,16.5,15.434815406799316
21-04-1992,16.0,17.0,63750,17.0,16.0,14.96709156036377
22-04-1992,16.0,17.0,36300,17.0,17.0,15.902536392211914
23-04-1992,17.0,17.0,1350,17.0,17.0,15.902536392211914
24-04-1992,16.0,17.0,73650,17.0,16.75,15.66867446899414
27-04-1992,16.0,16.0,7450,17.0,17.0,15.902536392211914
28-04-1992,16.25,17.0,3150,17.0,17.0,15.902536392211914
29-04-1992,17.0,17.0,300,17.0,17.0,15.902536392211914
30-04-1992,16.5,17.0,9650,17.0,16.5,15.434815406799316
01-05-1992,16.0,17.0,2200,17.0,17.0,15.902536392211914
04-05-1992,16.0,16.0,12700,16.75,16.75,15.66867446899414
05-05-1992,16.5,17.0,9500,18.5,18.5,17.305700302124023
06-05-1992,17.0,18.5,20250,19.0,19.0,17.773422241210938
07-05-1992,17.5,17.5,750,17.5,17.5,16.370254516601562
08-05-1992,17.5,19.0,1650,19.0,18.0,16.837974548339844
11-05-1992,18.0,18.0,4200,19.0,19.0,17.773422241210938
12-05-1992,18.0,18.0,1450,19.0,19.0,17.773422241210938
13-05-1992,18.0,18.0,150,18.0,18.0,16.837974548339844
14-05-1992,18.0,19.0,8450,19.0,18.0,16.837974548339844
15-05-1992,18.0,18.0,6000,19.0,19.0,17.773422241210938
18-05-1992,18.0,19.0,38950,19.0,19.0,17.773422241210938
19-05-1992,18.0,19.0,5050,19.0,18.0,16.837974548339844
20-05-1992,18.0,19.0,7500,19.0,19.0,17.773422241210938
21-05-1992,18.0,19.0,6950,19.0,19.0,17.773422241210938
22-05-1992,18.0,19.0,400,19.0,18.0,16.837974548339844
