Date,Low,Open,Volume,High,Close,Adjusted Close
28-07-2000,4.5,6.5,4252900,7.0,6.0,5.5290632247924805
31-07-2000,5.8125,6.25,876100,6.375,6.0625,5.5866570472717285
01-08-2000,6.03125,6.0625,267400,6.5,6.375,5.874629497528076
02-08-2000,6.0,6.4375,239700,6.75,6.625,6.105007171630859
03-08-2000,6.3125,6.6875,98400,6.6875,6.375,5.874629497528076
04-08-2000,6.25,6.875,120200,6.875,6.375,5.874629497528076
07-08-2000,6.5,6.9375,439400,7.75,7.0625,6.508167743682861
08-08-2000,6.75,7.625,202200,7.625,6.875,6.335384845733643
09-08-2000,6.8125,6.9375,89700,7.0625,7.0,6.450573921203613
10-08-2000,6.75,7.125,32500,7.125,6.75,6.220195770263672
11-08-2000,6.5625,6.6875,81100,6.8125,6.5625,6.047412395477295
14-08-2000,6.59375,6.59375,669400,8.6875,7.765625,7.156105041503906
15-08-2000,7.3125,7.75,232300,8.125,7.5625,6.968923568725586
16-08-2000,7.375,7.5,141600,7.8125,7.75,7.141706466674805
17-08-2000,6.75,7.875,276700,7.875,6.75,6.220195770263672
18-08-2000,6.875,7.0,97300,7.5,7.375,6.796139717102051
21-08-2000,6.875,7.0625,134400,7.75,7.375,6.796139717102051
22-08-2000,7.0,7.625,229200,8.1875,7.6875,7.084112167358398
23-08-2000,7.1875,7.6875,966500,8.625,8.4375,7.77524471282959
24-08-2000,8.0625,8.875,365900,9.125,9.0,8.293594360351562
25-08-2000,8.5,9.1875,229600,9.40625,8.8125,8.120810508728027
28-08-2000,8.75,9.0,249300,9.25,8.875,8.17840576171875
29-08-2000,8.5,8.90625,136600,9.0,8.75,8.063217163085938
30-08-2000,8.75,9.0,152300,9.25,9.0,8.293594360351562
31-08-2000,9.0,9.125,244000,10.0,9.5,8.754349708557129
01-09-2000,9.59375,9.625,346600,11.375,11.0625,10.194210052490234
05-09-2000,10.5,11.25,396700,11.5,10.5625,9.733454704284668
06-09-2000,10.0,10.6875,265900,11.0,10.0625,9.272699356079102
07-09-2000,10.0,10.15625,132800,10.375,10.25,9.445481300354004
08-09-2000,9.75,10.375,108600,10.375,9.75,8.98472785949707
11-09-2000,9.4375,9.75,152000,10.0625,9.453125,8.711153984069824
12-09-2000,9.5,10.0625,176200,10.25,9.5,8.754349708557129
13-09-2000,8.875,9.4375,97800,9.984375,9.375,8.639161109924316
14-09-2000,9.625,9.84375,150900,10.4375,9.8125,9.042322158813477
15-09-2000,9.25,10.0,42500,10.25,9.625,8.869538307189941
18-09-2000,8.75,9.75,106800,9.75,9.0,8.293594360351562
19-09-2000,8.75,8.90625,125800,9.875,9.875,9.099915504455566
20-09-2000,9.25,9.90625,67000,9.90625,9.4375,8.696755409240723
21-09-2000,9.21875,10.0,94700,10.0,9.21875,8.495174407958984
22-09-2000,7.875,8.125,280300,9.4375,9.4375,8.696755409240723
25-09-2000,9.25,9.46875,169500,10.0,9.28125,8.552769660949707
26-09-2000,8.5625,9.375,158300,9.375,9.0,8.293594360351562
27-09-2000,8.0625,9.0,276100,9.125,8.1875,7.544867038726807
28-09-2000,8.3125,8.5,449800,8.625,8.5625,7.8904337882995605
29-09-2000,8.375,8.5625,38900,8.625,8.4375,7.77524471282959
02-10-2000,8.4375,8.6875,87300,9.0,8.5,7.832839488983154
03-10-2000,8.4375,8.8125,50500,8.96875,8.5,7.832839488983154
04-10-2000,8.375,8.640625,161100,8.75,8.5,7.832839488983154
05-10-2000,8.125,8.703125,82400,8.75,8.25,7.602462291717529
06-10-2000,7.375,8.4375,99200,8.4375,7.8125,7.199300765991211
09-10-2000,6.1875,7.8125,326300,7.8125,6.875,6.335384845733643
10-10-2000,6.3125,6.875,176200,7.0,6.40625,5.903426647186279
11-10-2000,6.4375,6.5,271200,6.6875,6.625,6.105007171630859
12-10-2000,6.5625,6.875,178500,7.0,6.8125,6.277790546417236
13-10-2000,5.8125,7.0625,454600,7.125,6.125,5.644251823425293
16-10-2000,6.375,6.5,163500,6.6875,6.5,5.989818572998047
17-10-2000,6.375,6.6875,92000,7.25,6.75,6.220195770263672
18-10-2000,6.4375,6.625,103900,7.125,7.125,6.565762042999268
19-10-2000,7.375,7.375,71500,8.0,7.75,7.141706466674805
20-10-2000,7.875,8.0,94700,8.5,8.0,7.37208366394043
23-10-2000,7.9375,8.0625,185300,8.25,8.0,7.37208366394043
24-10-2000,7.875,8.0,92000,8.4375,7.875,7.256895065307617
25-10-2000,6.8125,7.75,40900,7.9375,7.0,6.450573921203613
26-10-2000,6.4375,7.03125,54800,7.4375,6.9375,6.392979145050049
27-10-2000,6.875,7.125,41200,7.1875,7.0,6.450573921203613
30-10-2000,6.375,7.0,86800,7.0,6.875,6.335384845733643
31-10-2000,7.0,7.234375,173900,8.125,8.0,7.37208366394043
01-11-2000,8.25,8.25,226900,8.5625,8.34375,7.688853740692139
02-11-2000,8.5,8.625,160200,9.0625,9.0,8.293594360351562
03-11-2000,8.875,9.0625,136800,9.625,9.5,8.754349708557129
06-11-2000,9.0,9.6875,122300,9.6875,9.0625,8.351187705993652
07-11-2000,8.5,9.125,119100,9.25,9.0625,8.351187705993652
08-11-2000,8.5625,9.0625,165100,9.0625,8.5625,7.8904337882995605
09-11-2000,7.875,8.375,76100,8.421875,8.1875,7.544867038726807
10-11-2000,7.4375,8.0,99900,8.125,7.625,7.026517868041992
13-11-2000,7.125,7.140625,78100,7.75,7.5,6.91132926940918
