Date,Low,Open,Volume,High,Close,Adjusted Close
25-10-1994,110.625,123.75,33993,123.75,114.84375,89.30960083007812
26-10-1994,112.96875,118.125,4007,120.0,113.4375,88.21598052978516
27-10-1994,112.5,112.5,9813,119.53125,112.5,87.48694610595703
28-10-1994,112.5,112.5,6153,119.53125,118.125,91.86129760742188
31-10-1994,116.25,123.75,5213,123.75,119.0625,92.59036254882812
01-11-1994,116.25,121.875,740,121.875,118.125,91.86129760742188
02-11-1994,116.25,118.125,3747,120.0,120.0,93.31941223144531
03-11-1994,114.375,120.0,2880,120.0,116.25,90.4031753540039
04-11-1994,113.4375,118.125,3933,118.125,113.4375,88.21598052978516
07-11-1994,105.0,116.25,2480,116.25,105.0,81.65450286865234
08-11-1994,105.0,106.875,1720,110.625,105.0,81.65450286865234
09-11-1994,95.625,105.0,9947,106.875,97.5,75.82202911376953
10-11-1994,97.5,97.5,940,101.25,99.375,77.28015899658203
11-11-1994,101.25,101.25,940,105.0,102.1875,79.46732330322266
14-11-1994,101.25,105.0,2120,105.0,101.25,78.7382583618164
15-11-1994,103.125,105.0,3407,106.875,105.0,81.65450286865234
16-11-1994,103.125,105.0,1440,106.875,106.875,83.11260986328125
17-11-1994,101.25,103.125,267,105.0,101.25,78.7382583618164
18-11-1994,101.25,106.875,3680,106.875,103.125,80.19638061523438
21-11-1994,99.375,103.125,2807,105.0,100.3125,78.00920104980469
22-11-1994,95.625,103.125,4887,103.125,95.625,74.36390686035156
23-11-1994,91.875,97.5,1460,97.5,95.625,74.36390686035156
25-11-1994,95.625,95.625,2000,95.625,95.625,74.36390686035156
28-11-1994,95.625,95.625,100,97.5,95.625,74.36390686035156
29-11-1994,95.625,95.625,393,97.5,97.5,75.82202911376953
30-11-1994,103.125,103.125,13,103.125,103.125,80.19638061523438
01-12-1994,99.375,103.125,2873,103.125,101.25,78.7382583618164
02-12-1994,99.375,101.25,533,101.25,101.25,78.7382583618164
05-12-1994,99.375,99.375,3713,103.125,99.375,77.28015899658203
06-12-1994,101.25,101.25,2873,103.125,103.125,80.19638061523438
07-12-1994,99.375,103.125,5787,103.125,100.3125,78.00920104980469
08-12-1994,97.5,103.125,3153,103.125,98.4375,76.55107879638672
09-12-1994,97.5,101.25,1520,101.25,101.25,78.7382583618164
12-12-1994,97.5,101.25,1367,101.25,97.5,75.82202911376953
13-12-1994,95.625,101.25,1640,101.25,97.5,75.82202911376953
14-12-1994,91.875,95.625,3400,95.625,93.75,72.90582275390625
15-12-1994,93.75,97.5,4633,99.375,98.4375,76.55107879638672
16-12-1994,95.625,97.5,1227,99.375,95.625,74.36390686035156
19-12-1994,95.625,99.375,1107,99.375,95.625,74.36390686035156
20-12-1994,95.625,99.375,1707,99.375,95.625,74.36390686035156
21-12-1994,93.75,93.75,273,96.5625,96.5625,75.09297180175781
22-12-1994,93.75,93.75,267,95.625,94.6875,73.63485717773438
