Date,Low,Open,Volume,High,Close,Adjusted Close
08-04-1987,6.625,0.0,1414600,6.75,6.625,2.3106725215911865
09-04-1987,6.25,6.25,501400,6.5,6.25,2.179880380630493
10-04-1987,6.25,6.25,71600,6.5,6.25,2.179880380630493
13-04-1987,6.5,6.5,111200,6.625,6.5,2.2670745849609375
14-04-1987,6.25,6.375,146800,6.375,6.25,2.179880380630493
15-04-1987,6.25,6.25,165400,6.5,6.25,2.179880380630493
16-04-1987,6.25,6.25,28200,6.5,6.25,2.179880380630493
20-04-1987,6.375,6.375,20400,6.5,6.375,2.223477840423584
21-04-1987,6.375,6.375,80800,6.5,6.375,2.223477840423584
22-04-1987,6.3125,6.375,25800,6.5,6.3125,2.20167875289917
23-04-1987,6.3125,6.3125,15400,6.5,6.3125,2.20167875289917
24-04-1987,6.25,6.3125,56600,6.5,6.25,2.179880380630493
27-04-1987,6.25,6.25,48800,6.5,6.25,2.179880380630493
28-04-1987,6.25,6.25,12200,6.5,6.25,2.179880380630493
29-04-1987,6.25,6.25,3800,6.5,6.25,2.179880380630493
30-04-1987,6.25,6.25,11400,6.5,6.25,2.179880380630493
01-05-1987,6.25,6.25,20000,6.5,6.25,2.179880380630493
04-05-1987,6.125,6.25,61800,6.375,6.125,2.136282444000244
05-05-1987,6.0,6.125,21400,6.25,6.0,2.092684507369995
06-05-1987,6.0,6.0,31400,6.625,6.625,2.3106725215911865
07-05-1987,6.375,6.625,202800,7.25,7.0,2.441465139389038
08-05-1987,6.875,7.0,163400,8.0,7.5,2.6158556938171387
11-05-1987,7.375,7.5,38400,8.0,7.375,2.572258472442627
12-05-1987,7.25,7.375,31200,7.625,7.3125,2.550459623336792
13-05-1987,7.25,7.3125,9600,7.375,7.25,2.5286612510681152
14-05-1987,7.25,7.25,5800,7.5,7.375,2.572258472442627
15-05-1987,7.5,7.5,109400,8.25,8.0,2.7902462482452393
18-05-1987,7.875,8.0,43400,8.25,8.125,2.833843469619751
19-05-1987,7.5,8.125,191200,8.125,7.75,2.7030513286590576
20-05-1987,7.5,7.75,45000,7.75,7.5625,2.6376545429229736
21-05-1987,7.5,7.5,2400,7.5,7.5,2.6158556938171387
