Date,Low,Open,Volume,High,Close,Adjusted Close
15-05-1986,877.5,0.0,1502,900.0,877.5,877.5
16-05-1986,742.5,0.0,778,765.0,742.5,742.5
19-05-1986,720.0,0.0,525,765.0,720.0,720.0
20-05-1986,810.0,0.0,596,832.5,810.0,810.0
21-05-1986,787.5,0.0,612,810.0,787.5,787.5
22-05-1986,810.0,0.0,402,855.0,810.0,810.0
23-05-1986,787.5,0.0,282,832.5,787.5,787.5
27-05-1986,810.0,0.0,51,855.0,810.0,810.0
28-05-1986,855.0,0.0,359,900.0,855.0,855.0
29-05-1986,832.5,0.0,215,855.0,832.5,832.5
30-05-1986,810.0,0.0,100,832.5,810.0,810.0
02-06-1986,787.5,0.0,64,810.0,787.5,787.5
03-06-1986,742.5,0.0,57,787.5,742.5,742.5
04-06-1986,765.0,0.0,181,810.0,765.0,765.0
05-06-1986,855.0,0.0,697,877.5,855.0,855.0
06-06-1986,922.5,0.0,664,945.0,922.5,922.5
09-06-1986,855.0,0.0,390,877.5,855.0,855.0
10-06-1986,855.0,0.0,74,900.0,855.0,855.0
11-06-1986,877.5,0.0,274,900.0,877.5,877.5
12-06-1986,855.0,0.0,92,877.5,855.0,855.0
13-06-1986,855.0,0.0,116,877.5,855.0,855.0
16-06-1986,855.0,0.0,102,900.0,855.0,855.0
17-06-1986,787.5,0.0,156,832.5,787.5,787.5
18-06-1986,787.5,0.0,29,832.5,787.5,787.5
19-06-1986,810.0,0.0,47,832.5,810.0,810.0
20-06-1986,810.0,0.0,122,855.0,810.0,810.0
23-06-1986,810.0,0.0,65,855.0,810.0,810.0
24-06-1986,787.5,0.0,138,810.0,787.5,787.5
25-06-1986,787.5,0.0,86,810.0,787.5,787.5
26-06-1986,787.5,0.0,102,810.0,787.5,787.5
27-06-1986,742.5,0.0,167,787.5,742.5,742.5
30-06-1986,742.5,0.0,214,787.5,742.5,742.5
01-07-1986,742.5,0.0,120,787.5,742.5,742.5
02-07-1986,765.0,0.0,428,787.5,765.0,765.0
03-07-1986,832.5,0.0,284,877.5,832.5,832.5
07-07-1986,810.0,0.0,157,832.5,810.0,810.0
08-07-1986,787.5,0.0,98,832.5,787.5,787.5
09-07-1986,810.0,0.0,198,855.0,810.0,810.0
10-07-1986,810.0,0.0,49,855.0,810.0,810.0
11-07-1986,787.5,0.0,176,832.5,787.5,787.5
14-07-1986,765.0,0.0,57,787.5,765.0,765.0
15-07-1986,742.5,0.0,48,787.5,742.5,742.5
16-07-1986,765.0,0.0,163,810.0,765.0,765.0
17-07-1986,765.0,0.0,81,810.0,765.0,765.0
18-07-1986,742.5,0.0,57,787.5,742.5,742.5
21-07-1986,742.5,0.0,78,787.5,742.5,742.5
22-07-1986,742.5,0.0,27,765.0,742.5,742.5
23-07-1986,742.5,0.0,212,765.0,742.5,742.5
24-07-1986,787.5,0.0,134,810.0,787.5,787.5
25-07-1986,765.0,0.0,62,787.5,765.0,765.0
28-07-1986,697.5,0.0,128,742.5,697.5,697.5
29-07-1986,742.5,0.0,187,765.0,742.5,742.5
30-07-1986,720.0,0.0,73,765.0,720.0,720.0
31-07-1986,742.5,0.0,142,765.0,742.5,742.5
01-08-1986,720.0,0.0,102,765.0,720.0,720.0
04-08-1986,720.0,0.0,125,742.5,720.0,720.0
05-08-1986,720.0,0.0,50,742.5,720.0,720.0
06-08-1986,697.5,0.0,63,742.5,697.5,697.5
07-08-1986,720.0,0.0,43,742.5,720.0,720.0
08-08-1986,697.5,0.0,196,720.0,697.5,697.5
11-08-1986,675.0,0.0,133,720.0,675.0,675.0
12-08-1986,675.0,0.0,24,720.0,675.0,675.0
13-08-1986,675.0,0.0,68,697.5,675.0,675.0
14-08-1986,630.0,0.0,75,675.0,630.0,630.0
15-08-1986,607.5,0.0,297,630.0,607.5,607.5
18-08-1986,607.5,0.0,149,652.5,607.5,607.5
19-08-1986,630.0,0.0,140,652.5,630.0,630.0
20-08-1986,630.0,0.0,7,652.5,630.0,630.0
21-08-1986,607.5,0.0,77,652.5,607.5,607.5
22-08-1986,630.0,0.0,58,652.5,630.0,630.0
25-08-1986,607.5,0.0,21,630.0,607.5,607.5
26-08-1986,585.0,0.0,256,630.0,585.0,585.0
27-08-1986,607.5,0.0,165,630.0,607.5,607.5
28-08-1986,607.5,0.0,92,630.0,607.5,607.5
29-08-1986,585.0,0.0,39,630.0,585.0,585.0
02-09-1986,607.5,0.0,139,652.5,607.5,607.5
03-09-1986,585.0,0.0,274,607.5,585.0,585.0
04-09-1986,562.5,0.0,114,607.5,562.5,562.5
05-09-1986,562.5,0.0,150,585.0,562.5,562.5
08-09-1986,540.0,0.0,58,562.5,540.0,540.0
09-09-1986,495.0,0.0,130,517.5,495.0,495.0
10-09-1986,472.5,0.0,94,495.0,472.5,472.5
11-09-1986,450.0,0.0,61,517.5,450.0,450.0
12-09-1986,405.0,0.0,249,450.0,405.0,405.0
15-09-1986,427.5,0.0,139,450.0,427.5,427.5
16-09-1986,472.5,0.0,81,517.5,472.5,472.5
17-09-1986,472.5,0.0,50,517.5,472.5,472.5
18-09-1986,495.0,0.0,77,540.0,495.0,495.0
19-09-1986,562.5,0.0,149,607.5,562.5,562.5
22-09-1986,607.5,0.0,141,630.0,607.5,607.5
23-09-1986,540.0,0.0,157,562.5,540.0,540.0
24-09-1986,540.0,0.0,137,585.0,540.0,540.0
25-09-1986,517.5,0.0,158,562.5,517.5,517.5
26-09-1986,517.5,0.0,18,540.0,517.5,517.5
29-09-1986,517.5,0.0,9,540.0,517.5,517.5
30-09-1986,517.5,0.0,24,540.0,517.5,517.5
01-10-1986,517.5,0.0,12,540.0,517.5,517.5
02-10-1986,517.5,0.0,79,562.5,517.5,517.5
03-10-1986,517.5,0.0,21,540.0,517.5,517.5
06-10-1986,517.5,0.0,18,540.0,517.5,517.5
07-10-1986,517.5,0.0,25,540.0,517.5,517.5
08-10-1986,517.5,0.0,106,540.0,517.5,517.5
09-10-1986,517.5,0.0,22,540.0,517.5,517.5
10-10-1986,495.0,0.0,106,540.0,495.0,495.0
13-10-1986,472.5,0.0,6,517.5,472.5,472.5
14-10-1986,472.5,0.0,103,495.0,472.5,472.5
15-10-1986,472.5,0.0,41,495.0,472.5,472.5
16-10-1986,472.5,0.0,41,495.0,472.5,472.5
17-10-1986,472.5,0.0,23,495.0,472.5,472.5
20-10-1986,472.5,0.0,14,495.0,472.5,472.5
21-10-1986,450.0,0.0,22,495.0,450.0,450.0
22-10-1986,450.0,0.0,38,472.5,450.0,450.0
23-10-1986,450.0,0.0,16,472.5,450.0,450.0
24-10-1986,427.5,0.0,136,472.5,427.5,427.5
27-10-1986,450.0,0.0,122,495.0,450.0,450.0
28-10-1986,472.5,0.0,143,517.5,472.5,472.5
29-10-1986,495.0,0.0,12,517.5,495.0,495.0
30-10-1986,495.0,0.0,64,540.0,495.0,495.0
31-10-1986,495.0,0.0,55,540.0,495.0,495.0
03-11-1986,495.0,0.0,61,517.5,495.0,495.0
04-11-1986,495.0,0.0,59,517.5,495.0,495.0
05-11-1986,495.0,0.0,19,517.5,495.0,495.0
06-11-1986,495.0,0.0,100,517.5,495.0,495.0
07-11-1986,495.0,0.0,82,517.5,495.0,495.0
10-11-1986,495.0,0.0,108,517.5,495.0,495.0
11-11-1986,495.0,0.0,89,517.5,495.0,495.0
12-11-1986,517.5,0.0,167,540.0,517.5,517.5
13-11-1986,517.5,0.0,88,540.0,517.5,517.5
14-11-1986,517.5,0.0,83,562.5,517.5,517.5
17-11-1986,517.5,0.0,13,562.5,517.5,517.5
18-11-1986,517.5,0.0,23,562.5,517.5,517.5
19-11-1986,585.0,0.0,118,607.5,585.0,585.0
20-11-1986,630.0,0.0,106,652.5,630.0,630.0
21-11-1986,630.0,0.0,159,652.5,630.0,630.0
24-11-1986,630.0,0.0,142,675.0,630.0,630.0
25-11-1986,652.5,0.0,100,675.0,652.5,652.5
26-11-1986,652.5,0.0,103,697.5,652.5,652.5
28-11-1986,652.5,0.0,129,697.5,652.5,652.5
01-12-1986,630.0,0.0,104,675.0,630.0,630.0
02-12-1986,630.0,0.0,26,675.0,630.0,630.0
03-12-1986,630.0,0.0,37,652.5,630.0,630.0
04-12-1986,607.5,0.0,44,652.5,607.5,607.5
05-12-1986,607.5,0.0,57,652.5,607.5,607.5
08-12-1986,630.0,0.0,86,652.5,630.0,630.0
09-12-1986,630.0,0.0,42,652.5,630.0,630.0
10-12-1986,630.0,0.0,119,675.0,630.0,630.0
11-12-1986,630.0,0.0,53,652.5,630.0,630.0
12-12-1986,630.0,0.0,32,652.5,630.0,630.0
15-12-1986,585.0,0.0,74,630.0,585.0,585.0
16-12-1986,562.5,0.0,40,607.5,607.5,607.5
17-12-1986,562.5,0.0,47,585.0,585.0,585.0
18-12-1986,540.0,0.0,52,562.5,562.5,562.5
19-12-1986,540.0,0.0,83,562.5,562.5,562.5
22-12-1986,540.0,0.0,83,562.5,540.0,540.0
23-12-1986,540.0,0.0,168,562.5,562.5,562.5
24-12-1986,562.5,0.0,112,607.5,562.5,562.5
26-12-1986,585.0,0.0,186,607.5,607.5,607.5
29-12-1986,562.5,0.0,173,585.0,585.0,585.0
30-12-1986,562.5,0.0,136,585.0,585.0,585.0
31-12-1986,562.5,0.0,209,607.5,607.5,607.5
02-01-1987,607.5,0.0,17,607.5,607.5,607.5
05-01-1987,607.5,0.0,218,675.0,675.0,675.0
06-01-1987,652.5,0.0,388,720.0,697.5,697.5
07-01-1987,675.0,0.0,62,697.5,697.5,697.5
08-01-1987,675.0,0.0,218,697.5,697.5,697.5
09-01-1987,675.0,0.0,210,742.5,742.5,742.5
12-01-1987,720.0,0.0,113,765.0,720.0,720.0
13-01-1987,720.0,0.0,191,742.5,742.5,742.5
14-01-1987,765.0,0.0,295,787.5,787.5,787.5
15-01-1987,742.5,0.0,167,810.0,787.5,787.5
16-01-1987,742.5,0.0,154,787.5,765.0,765.0
19-01-1987,720.0,0.0,82,765.0,742.5,742.5
20-01-1987,742.5,0.0,167,765.0,765.0,765.0
21-01-1987,697.5,0.0,118,765.0,697.5,697.5
22-01-1987,697.5,0.0,147,765.0,765.0,765.0
23-01-1987,742.5,0.0,122,787.5,787.5,787.5
26-01-1987,742.5,0.0,25,787.5,742.5,742.5
27-01-1987,720.0,0.0,51,765.0,742.5,742.5
28-01-1987,720.0,0.0,91,765.0,765.0,765.0
29-01-1987,720.0,0.0,34,765.0,765.0,765.0
30-01-1987,697.5,0.0,33,765.0,697.5,697.5
02-02-1987,697.5,0.0,23,742.5,742.5,742.5
03-02-1987,697.5,0.0,68,742.5,720.0,720.0
04-02-1987,697.5,0.0,35,720.0,697.5,697.5
05-02-1987,720.0,0.0,206,765.0,765.0,765.0
06-02-1987,742.5,0.0,612,832.5,787.5,787.5
09-02-1987,742.5,0.0,67,810.0,765.0,765.0
10-02-1987,765.0,0.0,439,810.0,810.0,810.0
11-02-1987,787.5,0.0,169,832.5,832.5,832.5
12-02-1987,787.5,0.0,422,832.5,832.5,832.5
13-02-1987,810.0,0.0,127,832.5,832.5,832.5
17-02-1987,810.0,0.0,848,990.0,967.5,967.5
18-02-1987,900.0,0.0,844,990.0,900.0,900.0
19-02-1987,877.5,0.0,191,922.5,900.0,900.0
20-02-1987,855.0,0.0,280,922.5,877.5,877.5
23-02-1987,855.0,0.0,105,900.0,877.5,877.5
24-02-1987,832.5,0.0,186,877.5,855.0,855.0
25-02-1987,855.0,0.0,136,900.0,900.0,900.0
26-02-1987,877.5,0.0,236,922.5,922.5,922.5
27-02-1987,922.5,0.0,310,990.0,967.5,967.5
02-03-1987,945.0,0.0,316,967.5,945.0,945.0
03-03-1987,922.5,0.0,176,967.5,967.5,967.5
04-03-1987,945.0,0.0,294,967.5,945.0,945.0
05-03-1987,945.0,0.0,221,1012.5,990.0,990.0
06-03-1987,990.0,0.0,264,1057.5,1057.5,1057.5
09-03-1987,1035.0,0.0,424,1102.5,1035.0,1035.0
10-03-1987,1035.0,0.0,159,1080.0,1057.5,1057.5
11-03-1987,1057.5,0.0,667,1102.5,1057.5,1057.5
12-03-1987,1035.0,0.0,158,1057.5,1057.5,1057.5
13-03-1987,1012.5,0.0,204,1057.5,1035.0,1035.0
16-03-1987,1012.5,0.0,247,1102.5,1080.0,1080.0
17-03-1987,1080.0,0.0,188,1102.5,1080.0,1080.0
18-03-1987,1035.0,0.0,226,1102.5,1057.5,1057.5
19-03-1987,1035.0,0.0,71,1057.5,1057.5,1057.5
20-03-1987,1035.0,0.0,41,1057.5,1057.5,1057.5
23-03-1987,1035.0,0.0,50,1057.5,1035.0,1035.0
24-03-1987,1012.5,0.0,245,1057.5,1035.0,1035.0
25-03-1987,1012.5,0.0,67,1057.5,1012.5,1012.5
26-03-1987,1035.0,0.0,92,1057.5,1057.5,1057.5
27-03-1987,967.5,0.0,166,1057.5,967.5,967.5
30-03-1987,877.5,0.0,218,967.5,900.0,900.0
31-03-1987,855.0,0.0,272,922.5,900.0,900.0
01-04-1987,810.0,0.0,248,900.0,900.0,900.0
02-04-1987,877.5,0.0,274,945.0,945.0,945.0
03-04-1987,922.5,0.0,122,967.5,922.5,922.5
06-04-1987,900.0,0.0,128,967.5,922.5,922.5
07-04-1987,900.0,0.0,184,945.0,922.5,922.5
08-04-1987,900.0,0.0,95,922.5,900.0,900.0
09-04-1987,900.0,0.0,87,922.5,922.5,922.5
10-04-1987,877.5,0.0,129,922.5,900.0,900.0
13-04-1987,855.0,0.0,111,922.5,855.0,855.0
14-04-1987,810.0,0.0,117,877.5,855.0,855.0
15-04-1987,765.0,0.0,257,855.0,787.5,787.5
16-04-1987,787.5,0.0,158,832.5,832.5,832.5
20-04-1987,787.5,0.0,36,832.5,787.5,787.5
21-04-1987,765.0,0.0,119,810.0,787.5,787.5
22-04-1987,765.0,0.0,32,787.5,787.5,787.5
23-04-1987,742.5,0.0,107,787.5,765.0,765.0
24-04-1987,742.5,0.0,102,810.0,765.0,765.0
27-04-1987,742.5,0.0,1209,810.0,810.0,810.0
28-04-1987,810.0,0.0,97,810.0,810.0,810.0
29-04-1987,765.0,0.0,137,832.5,810.0,810.0
30-04-1987,765.0,0.0,61,810.0,810.0,810.0
01-05-1987,765.0,0.0,241,810.0,787.5,787.5
04-05-1987,742.5,0.0,44,787.5,765.0,765.0
05-05-1987,742.5,0.0,28,765.0,742.5,742.5
06-05-1987,742.5,0.0,134,787.5,787.5,787.5
07-05-1987,765.0,0.0,56,787.5,787.5,787.5
08-05-1987,765.0,0.0,11,787.5,787.5,787.5
11-05-1987,765.0,0.0,16,787.5,765.0,765.0
12-05-1987,765.0,0.0,9,787.5,787.5,787.5
13-05-1987,742.5,0.0,53,787.5,765.0,765.0
14-05-1987,742.5,0.0,33,787.5,742.5,742.5
15-05-1987,742.5,0.0,79,765.0,742.5,742.5
