Date,Low,Open,Volume,High,Close,Adjusted Close
22-10-1992,2.5,2.5,598000,2.875,2.625,2.625
23-10-1992,2.5,2.5,162000,2.75,2.5625,2.5625
26-10-1992,2.5,2.625,147200,2.625,2.5625,2.5625
27-10-1992,2.5625,2.625,30000,2.625,2.625,2.625
28-10-1992,2.5625,2.5625,74600,2.625,2.625,2.625
29-10-1992,2.5625,2.625,74600,2.625,2.625,2.625
30-10-1992,2.625,2.625,41200,2.875,2.6875,2.6875
02-11-1992,2.5625,2.5625,48000,2.6875,2.6875,2.6875
03-11-1992,2.5625,2.5625,28400,2.6875,2.6875,2.6875
04-11-1992,2.5625,2.625,42000,2.6875,2.5625,2.5625
05-11-1992,2.6875,2.6875,5000,2.6875,2.6875,2.6875
06-11-1992,2.5,2.6875,7600,2.6875,2.5,2.5
09-11-1992,2.5,2.5,32800,2.6875,2.6875,2.6875
10-11-1992,2.5,2.6875,33000,2.6875,2.5,2.5
11-11-1992,2.5,2.6875,9800,2.6875,2.5,2.5
12-11-1992,2.5,2.625,40000,2.625,2.625,2.625
13-11-1992,2.5,2.5625,21800,2.625,2.5,2.5
16-11-1992,2.5625,2.5625,800,2.5625,2.5625,2.5625
17-11-1992,2.5,2.625,15400,2.625,2.625,2.625
18-11-1992,2.5,2.5,20400,2.625,2.5,2.5
19-11-1992,2.5,2.625,61800,2.625,2.625,2.625
20-11-1992,2.5,2.5,18600,2.5,2.5,2.5
23-11-1992,2.5,2.6875,29600,2.6875,2.5,2.5
24-11-1992,2.5,2.5,31600,2.6875,2.5,2.5
25-11-1992,2.5,2.5,26600,2.5,2.5,2.5
27-11-1992,2.5,2.5,0,2.5,2.5,2.5
30-11-1992,2.375,2.5,28200,2.5,2.5,2.5
01-12-1992,2.5,2.5,11000,2.75,2.75,2.75
02-12-1992,2.4375,2.5,32000,2.5625,2.5625,2.5625
03-12-1992,2.625,2.625,74000,2.6875,2.625,2.625
04-12-1992,2.5625,2.6875,57000,2.75,2.625,2.625
07-12-1992,2.625,2.625,73000,2.9375,2.9375,2.9375
08-12-1992,2.75,2.875,4000,2.875,2.75,2.75
09-12-1992,2.875,3.0,22000,3.0,3.0,3.0
10-12-1992,2.75,3.0,8200,3.0,2.75,2.75
11-12-1992,2.75,2.75,25000,2.8125,2.8125,2.8125
14-12-1992,2.75,2.75,34000,2.8125,2.8125,2.8125
15-12-1992,2.75,2.75,9600,2.9375,2.9375,2.9375
16-12-1992,2.9375,2.9375,400,2.9375,2.9375,2.9375
17-12-1992,2.75,2.75,51000,2.875,2.75,2.75
18-12-1992,2.8125,2.8125,65000,2.875,2.875,2.875
21-12-1992,2.8125,2.8125,4000,2.8125,2.8125,2.8125
22-12-1992,2.8125,3.0625,34800,3.0625,3.0625,3.0625
23-12-1992,2.8125,2.8125,64200,3.0,2.875,2.875
24-12-1992,2.9375,2.9375,18800,3.0,3.0,3.0
28-12-1992,3.0,3.0,0,3.0,3.0,3.0
29-12-1992,2.875,2.875,10000,3.0,3.0,3.0
30-12-1992,2.875,2.875,10600,3.125,3.125,3.125
31-12-1992,3.3125,3.3125,1000,3.3125,3.3125,3.3125
04-01-1993,2.875,3.0625,16400,3.0625,2.875,2.875
05-01-1993,2.875,3.0,8400,3.0625,3.0,3.0
06-01-1993,2.875,2.875,53200,3.0625,2.875,2.875
07-01-1993,2.875,2.875,2000,2.875,2.875,2.875
08-01-1993,2.875,2.875,39000,3.0625,3.0625,3.0625
11-01-1993,3.0625,3.0625,0,3.0625,3.0625,3.0625
12-01-1993,2.875,2.875,6000,3.0625,3.0625,3.0625
13-01-1993,3.1875,3.1875,2000,3.1875,3.1875,3.1875
14-01-1993,3.1875,3.1875,0,3.1875,3.1875,3.1875
15-01-1993,2.875,3.0,74000,3.1875,3.0,3.0
18-01-1993,3.0,3.0,6000,3.0,3.0,3.0
19-01-1993,3.0,3.1875,30000,3.3125,3.0625,3.0625
20-01-1993,3.0,3.0,6000,3.0,3.0,3.0
