Date,Low,Open,Volume,High,Close,Adjusted Close
01-08-2000,120.0,135.625,38100,136.25,121.875,121.875
02-08-2000,107.5,124.375,68740,125.625,115.625,115.625
03-08-2000,108.75,110.625,61280,122.8125,113.4375,113.4375
04-08-2000,107.5,117.5,52480,120.0,107.8125,107.8125
07-08-2000,90.625,102.65625,89460,105.625,92.8125,92.8125
08-08-2000,89.0625,90.9375,75220,95.625,89.6875,89.6875
09-08-2000,73.75,89.6875,118420,91.25,82.1875,82.1875
10-08-2000,75.0,81.875,82520,82.5,75.3125,75.3125
11-08-2000,71.25,75.0,67780,76.875,72.5,72.5
14-08-2000,69.375,75.0,87240,77.1875,71.25,71.25
15-08-2000,71.875,73.4375,80140,90.0,86.5625,86.5625
16-08-2000,89.21875,89.375,50860,100.0,92.5,92.5
17-08-2000,93.4375,93.75,31160,102.5,101.25,101.25
18-08-2000,95.625,102.5,24640,103.125,98.75,98.75
21-08-2000,97.5,100.625,39020,101.5625,100.0,100.0
22-08-2000,93.125,98.59375,52320,100.0,98.75,98.75
23-08-2000,91.5625,98.75,42760,99.375,93.125,93.125
24-08-2000,94.6875,95.15625,106200,101.875,100.0,100.0
25-08-2000,99.0625,101.71875,120900,104.0625,104.0625,104.0625
28-08-2000,102.1875,103.59375,52720,105.625,103.125,103.125
29-08-2000,100.625,104.6875,61300,105.625,102.8125,102.8125
30-08-2000,100.0,103.125,35220,103.4375,100.9375,100.9375
31-08-2000,101.25,102.5,93160,103.4375,101.5625,101.5625
01-09-2000,100.9375,102.03125,35440,102.5,101.5625,101.5625
05-09-2000,101.875,102.1875,85700,108.75,107.5,107.5
06-09-2000,104.375,107.1875,62160,112.5,104.375,104.375
07-09-2000,102.5,104.6875,59960,106.5625,104.0625,104.0625
08-09-2000,101.875,102.96875,177300,112.5,105.0,105.0
11-09-2000,96.25,105.625,43780,106.25,99.375,99.375
12-09-2000,86.875,97.8125,41620,100.0,88.75,88.75
13-09-2000,84.6875,90.625,24440,92.8125,90.9375,90.9375
14-09-2000,88.125,91.5625,42520,95.9375,92.5,92.5
15-09-2000,87.8125,92.8125,84200,93.125,89.375,89.375
18-09-2000,82.8125,90.15625,48680,91.875,82.8125,82.8125
19-09-2000,81.25,85.15625,54360,86.25,85.0,85.0
20-09-2000,84.6875,85.0,16200,90.0,88.125,88.125
21-09-2000,85.625,87.1875,34380,89.375,87.5,87.5
22-09-2000,80.625,80.625,33340,93.75,93.4375,93.4375
25-09-2000,95.0,96.875,81060,101.25,100.0,100.0
26-09-2000,94.0625,99.6875,55460,100.625,95.0,95.0
27-09-2000,90.0,96.5625,37980,99.0625,90.0,90.0
