Date,Low,Open,Volume,High,Close,Adjusted Close
04-08-2000,21.0,28.0,8025300,30.125,22.5,22.5
07-08-2000,21.0625,21.625,2131700,24.75,22.6875,22.6875
08-08-2000,21.125,22.625,873900,22.8125,21.9375,21.9375
09-08-2000,19.0,21.75,933600,22.0,20.4375,20.4375
10-08-2000,17.5,20.0,882200,20.375,18.0,18.0
11-08-2000,17.0,18.0,960200,18.125,17.125,17.125
14-08-2000,16.75,17.625,687600,18.0,17.25,17.25
15-08-2000,17.0,17.25,224500,17.4375,17.125,17.125
16-08-2000,16.875,17.25,310000,17.375,17.0625,17.0625
17-08-2000,17.0,17.0,558300,18.875,18.375,18.375
18-08-2000,17.25,19.125,481300,19.625,17.625,17.625
21-08-2000,17.875,18.875,331200,20.0,19.375,19.375
22-08-2000,20.625,20.75,561000,22.4375,22.125,22.125
23-08-2000,21.5,21.625,854600,26.1875,25.875,25.875
24-08-2000,23.0,25.9375,369400,26.125,24.375,24.375
25-08-2000,25.0,26.0,495300,27.25,26.5625,26.5625
28-08-2000,26.25,26.9375,466200,28.6875,28.671875,28.671875
29-08-2000,29.0,29.625,1153700,31.25,30.0,30.0
30-08-2000,26.5,30.0625,349500,30.1875,28.25,28.25
31-08-2000,26.0625,28.3125,317700,29.5,29.171875,29.171875
01-09-2000,27.0625,29.25,255600,30.0,27.1875,27.1875
05-09-2000,24.5625,27.75,301800,27.75,24.5625,24.5625
06-09-2000,25.3125,25.375,264400,25.9375,25.625,25.625
07-09-2000,25.5,25.5,784400,31.5625,31.375,31.375
08-09-2000,30.0,31.0,364900,32.9375,32.0,32.0
11-09-2000,26.0,31.5,430000,32.0,26.0625,26.0625
12-09-2000,23.0,26.0625,362300,26.5,24.0,24.0
13-09-2000,23.5,24.0625,248400,25.25,24.5,24.5
14-09-2000,24.0,25.0625,217600,27.375,24.25,24.25
15-09-2000,23.0,24.25,73600,25.25,24.75,24.75
18-09-2000,24.0,25.125,201200,25.25,24.5,24.5
19-09-2000,22.875,24.0625,174200,24.375,23.125,23.125
20-09-2000,21.8125,23.0625,238500,24.375,22.9375,22.9375
21-09-2000,21.0,22.125,188600,23.25,21.0,21.0
22-09-2000,19.75,20.125,392100,24.75,24.25,24.25
25-09-2000,24.25,24.6875,131200,26.4375,26.25,26.25
26-09-2000,25.5,25.8125,82200,26.5,25.875,25.875
27-09-2000,24.5,25.6875,478900,26.125,24.5,24.5
28-09-2000,22.875,24.375,109100,26.875,26.5,26.5
29-09-2000,24.875,25.125,72300,27.0,26.875,26.875
02-10-2000,24.3125,27.125,129200,27.125,24.75,24.75
03-10-2000,23.25,25.25,239600,26.0,23.5,23.5
04-10-2000,23.0,23.5,52400,24.25,23.5,23.5
05-10-2000,22.5,23.125,19600,23.5,22.75,22.75
06-10-2000,20.625,22.625,115100,22.625,21.0,21.0
09-10-2000,19.375,20.6875,56000,20.75,19.75,19.75
10-10-2000,19.125,19.75,63000,21.75,19.5,19.5
11-10-2000,17.0,19.015625,84500,20.0625,17.0,17.0
12-10-2000,17.0,17.5,129400,18.25,18.0,18.0
13-10-2000,18.0,18.0,124900,18.875,18.5,18.5
16-10-2000,19.25,19.3125,43200,20.0625,19.3125,19.3125
17-10-2000,18.25,19.875,121600,20.0,18.75,18.75
18-10-2000,18.0,19.375,91200,19.375,18.25,18.25
19-10-2000,17.25,18.3125,134200,18.375,17.3125,17.3125
20-10-2000,17.0625,17.625,66100,17.625,17.5625,17.5625
23-10-2000,15.25,17.625,270900,18.0,15.6875,15.6875
24-10-2000,14.5,16.375,466200,16.5,14.5,14.5
25-10-2000,12.3125,14.875,344500,15.75,12.5,12.5
