Date,Low,Open,Volume,High,Close,Adjusted Close
01-03-1999,1.0,1.0,5000,1.0,1.0,1.0
02-03-1999,1.0,1.0,10000,1.0,1.0,1.0
03-03-1999,1.125,1.125,600,1.125,1.125,1.125
04-03-1999,1.125,1.125,0,1.125,1.125,1.125
05-03-1999,1.125,1.125,0,1.125,1.125,1.125
08-03-1999,1.125,1.125,200,1.125,1.125,1.125
09-03-1999,1.125,1.125,500,1.125,1.125,1.125
10-03-1999,1.125,1.125,300,1.125,1.125,1.125
11-03-1999,1.09375,1.09375,300,1.09375,1.09375,1.09375
12-03-1999,1.09375,1.09375,0,1.09375,1.09375,1.09375
15-03-1999,1.09375,1.09375,0,1.09375,1.09375,1.09375
16-03-1999,1.09375,1.09375,0,1.09375,1.09375,1.09375
17-03-1999,1.09375,1.09375,0,1.09375,1.09375,1.09375
18-03-1999,1.09375,1.09375,0,1.09375,1.09375,1.09375
19-03-1999,0.96875,1.0,7400,1.0,1.0,1.0
22-03-1999,1.0,1.0,2500,1.0,1.0,1.0
23-03-1999,1.0,1.0,0,1.0,1.0,1.0
24-03-1999,1.0,1.0,0,1.0,1.0,1.0
25-03-1999,1.0,1.0,0,1.0,1.0,1.0
26-03-1999,1.0,1.0,0,1.0,1.0,1.0
29-03-1999,1.0,1.0,0,1.0,1.0,1.0
30-03-1999,1.0,1.0,0,1.0,1.0,1.0
31-03-1999,1.0,1.0,0,1.0,1.0,1.0
01-04-1999,1.0,1.0,0,1.0,1.0,1.0
05-04-1999,1.0,1.0,0,1.0,1.0,1.0
06-04-1999,1.0,1.0,0,1.0,1.0,1.0
07-04-1999,1.0,1.0,0,1.0,1.0,1.0
08-04-1999,1.0,1.0,0,1.0,1.0,1.0
09-04-1999,1.0,1.0,0,1.0,1.0,1.0
12-04-1999,1.0,1.0,0,1.0,1.0,1.0
13-04-1999,0.96875,0.96875,800,0.96875,0.96875,0.96875
14-04-1999,0.96875,0.96875,500,0.96875,0.96875,0.96875
15-04-1999,0.96875,0.96875,0,0.96875,0.96875,0.96875
16-04-1999,1.03125,1.03125,1000,1.03125,1.03125,1.03125
19-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
20-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
21-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
22-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
23-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
26-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
27-04-1999,1.03125,1.03125,0,1.03125,1.03125,1.03125
28-04-1999,0.96875,0.96875,1000,0.96875,0.96875,0.96875
29-04-1999,0.96875,0.96875,800,0.96875,0.96875,0.96875
30-04-1999,0.96875,0.96875,1000,0.96875,0.96875,0.96875
03-05-1999,0.96875,0.96875,0,0.96875,0.96875,0.96875
04-05-1999,0.96875,0.96875,0,0.96875,0.96875,0.96875
05-05-1999,0.96875,0.96875,0,0.96875,0.96875,0.96875
06-05-1999,0.96875,0.96875,0,0.96875,0.96875,0.96875
07-05-1999,1.0625,1.0625,1000,1.0625,1.0625,1.0625
10-05-1999,0.96875,0.96875,1000,0.96875,0.96875,0.96875
