Date,Low,Open,Volume,High,Close,Adjusted Close
06-06-1996,7.5,7.5,300,7.5,7.5,2.4347951412200928
07-06-1996,7.5,7.5,7100,8.75,8.75,2.8405938148498535
10-06-1996,6.25,6.25,4740,10.0,10.0,3.2463936805725098
11-06-1996,8.125,8.125,920,8.125,8.125,2.6376945972442627
12-06-1996,7.5,8.125,640,8.125,7.5,2.4347951412200928
13-06-1996,7.5,7.5,2200,8.75,8.75,2.8405938148498535
14-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
17-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
18-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
19-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
20-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
21-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
24-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
25-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
26-06-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
27-06-1996,8.75,8.75,3300,11.25,11.25,3.6521928310394287
28-06-1996,10.0,11.25,1420,11.25,11.25,3.6521928310394287
01-07-1996,8.75,8.75,20,8.75,8.75,2.8405938148498535
02-07-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
03-07-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
05-07-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
08-07-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
09-07-1996,10.0,10.0,2000,10.0,10.0,3.2463936805725098
10-07-1996,10.0,10.0,0,10.0,10.0,3.2463936805725098
11-07-1996,10.0,10.0,0,10.0,10.0,3.2463936805725098
12-07-1996,10.0,10.0,500,10.0,10.0,3.2463936805725098
15-07-1996,9.375,9.375,2740,11.25,9.375,3.043494462966919
16-07-1996,9.375,9.375,200,9.375,9.375,3.043494462966919
17-07-1996,11.25,11.25,140,11.25,11.25,3.6521928310394287
18-07-1996,11.25,11.25,0,11.25,11.25,3.6521928310394287
19-07-1996,11.25,11.25,0,11.25,11.25,3.6521928310394287
22-07-1996,11.25,11.25,0,11.25,11.25,3.6521928310394287
23-07-1996,8.125,9.375,1100,10.625,8.125,2.6376945972442627
24-07-1996,8.75,8.75,1000,9.0625,9.0625,2.9420437812805176
25-07-1996,8.75,8.75,200,8.75,8.75,2.8405938148498535
26-07-1996,10.0,10.0,600,10.0,10.0,3.2463936805725098
29-07-1996,10.0,10.0,0,10.0,10.0,3.2463936805725098
30-07-1996,10.0,10.0,0,10.0,10.0,3.2463936805725098
31-07-1996,8.75,8.75,1660,10.0,10.0,3.2463936805725098
01-08-1996,8.75,10.0,460,10.0,8.75,2.8405938148498535
02-08-1996,8.75,8.75,900,8.75,8.75,2.8405938148498535
05-08-1996,8.75,8.75,860,8.75,8.75,2.8405938148498535
06-08-1996,8.75,8.75,1800,10.0,10.0,3.2463936805725098
07-08-1996,5.0,8.125,1900,8.125,7.5,2.4347951412200928
08-08-1996,8.75,8.75,200,8.75,8.75,2.8405938148498535
09-08-1996,8.75,8.75,720,8.75,8.75,2.8405938148498535
12-08-1996,5.0,5.0,200,5.0,5.0,1.6231968402862549
13-08-1996,5.0,5.0,440,5.0,5.0,1.6231968402862549
14-08-1996,7.5,7.5,220,7.5,7.5,2.4347951412200928
15-08-1996,7.5,7.5,0,7.5,7.5,2.4347951412200928
16-08-1996,7.5,7.5,0,7.5,7.5,2.4347951412200928
19-08-1996,7.5,7.5,0,7.5,7.5,2.4347951412200928
20-08-1996,7.5,7.5,0,7.5,7.5,2.4347951412200928
21-08-1996,7.5,7.5,0,7.5,7.5,2.4347951412200928
22-08-1996,5.0,5.0,200,5.0,5.0,1.6231968402862549
23-08-1996,6.25,6.25,1200,7.5,7.5,2.4347951412200928
26-08-1996,5.0,5.0,440,5.0,5.0,1.6231968402862549
27-08-1996,5.0,5.0,0,5.0,5.0,1.6231968402862549
28-08-1996,5.0,5.0,0,5.0,5.0,1.6231968402862549
29-08-1996,5.0,5.0,0,5.0,5.0,1.6231968402862549
30-08-1996,5.0,5.0,2200,8.75,8.75,2.8405938148498535
03-09-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
04-09-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
05-09-1996,6.875,6.875,600,6.875,6.875,2.231895923614502
06-09-1996,6.875,6.875,0,6.875,6.875,2.231895923614502
09-09-1996,5.0,5.0,200,5.0,5.0,1.6231968402862549
10-09-1996,5.0,5.0,0,5.0,5.0,1.6231968402862549
11-09-1996,5.625,5.625,1600,5.625,5.625,1.8260964155197144
12-09-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
13-09-1996,5.625,7.5,1000,7.5,5.625,1.8260964155197144
16-09-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
17-09-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
18-09-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
19-09-1996,5.625,5.625,1600,7.5,6.25,2.028996229171753
20-09-1996,7.5,7.5,1000,7.5,7.5,2.4347951412200928
23-09-1996,7.5,7.5,700,7.5,7.5,2.4347951412200928
24-09-1996,7.5,7.5,0,7.5,7.5,2.4347951412200928
25-09-1996,8.125,8.125,400,8.125,8.125,2.6376945972442627
26-09-1996,6.25,6.25,400,6.25,6.25,2.028996229171753
27-09-1996,8.75,8.75,500,8.75,8.75,2.8405938148498535
30-09-1996,5.625,8.75,1100,8.75,5.625,1.8260964155197144
01-10-1996,8.75,8.75,760,8.75,8.75,2.8405938148498535
02-10-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
03-10-1996,8.75,8.75,0,8.75,8.75,2.8405938148498535
04-10-1996,5.625,8.75,1120,8.75,5.625,1.8260964155197144
07-10-1996,7.5,7.5,1200,8.75,8.75,2.8405938148498535
08-10-1996,8.125,8.125,340,8.125,8.125,2.6376945972442627
09-10-1996,5.625,5.625,400,5.625,5.625,1.8260964155197144
10-10-1996,5.625,5.625,400,5.625,5.625,1.8260964155197144
11-10-1996,5.625,5.625,400,5.625,5.625,1.8260964155197144
14-10-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
15-10-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
16-10-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
17-10-1996,5.625,5.625,1300,6.875,5.625,1.8260964155197144
18-10-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
21-10-1996,5.625,5.625,500,7.5,7.5,2.4347951412200928
22-10-1996,5.0,7.5,1380,7.5,5.0,1.6231968402862549
23-10-1996,5.0,5.0,2400,5.0,5.0,1.6231968402862549
24-10-1996,5.0,5.0,1240,5.0,5.0,1.6231968402862549
25-10-1996,5.0,5.0,2300,7.5,7.5,2.4347951412200928
28-10-1996,5.0,5.0,200,5.0,5.0,1.6231968402862549
29-10-1996,6.25,6.25,800,6.875,6.875,2.231895923614502
30-10-1996,5.0,5.0,200,5.0,5.0,1.6231968402862549
31-10-1996,5.625,5.625,1400,7.5,5.625,1.8260964155197144
01-11-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
04-11-1996,5.625,5.625,0,5.625,5.625,1.8260964155197144
05-11-1996,5.625,5.625,340,6.25,6.25,2.028996229171753
06-11-1996,7.5,7.5,200,7.5,7.5,2.4347951412200928
