Date,Low,Open,Volume,High,Close,Adjusted Close
11-06-1986,9.25,0.0,0,10.25,9.25,9.25
12-06-1986,9.0,0.0,2200,10.0,9.0,9.0
13-06-1986,9.0,0.0,2300,10.0,9.0,9.0
16-06-1986,9.0,0.0,500,10.0,9.0,9.0
17-06-1986,9.0,9.0,0,9.0,9.0,9.0
18-06-1986,9.0,0.0,200,10.0,9.0,9.0
19-06-1986,9.0,0.0,1300,10.0,9.0,9.0
20-06-1986,9.0,9.0,0,9.0,9.0,9.0
23-06-1986,8.75,0.0,200,9.75,8.75,8.75
24-06-1986,8.75,0.0,100,9.75,8.75,8.75
25-06-1986,8.75,0.0,600,9.5,8.75,8.75
26-06-1986,8.75,8.75,0,8.75,8.75,8.75
27-06-1986,8.75,8.75,0,8.75,8.75,8.75
30-06-1986,8.25,0.0,600,9.25,8.25,8.25
01-07-1986,8.25,8.25,0,8.25,8.25,8.25
02-07-1986,8.25,8.25,0,8.25,8.25,8.25
03-07-1986,8.25,8.25,0,8.25,8.25,8.25
07-07-1986,7.25,0.0,300,8.25,7.25,7.25
08-07-1986,7.25,0.0,100,8.25,7.25,7.25
09-07-1986,7.25,0.0,800,8.25,7.25,7.25
10-07-1986,7.25,0.0,0,8.25,7.25,7.25
11-07-1986,7.25,0.0,100,8.25,7.25,7.25
14-07-1986,7.25,0.0,1500,8.25,7.25,7.25
15-07-1986,7.25,0.0,300,8.25,7.25,7.25
16-07-1986,7.25,0.0,100,8.25,7.25,7.25
17-07-1986,7.25,0.0,0,8.25,7.25,7.25
18-07-1986,7.25,0.0,100,8.25,7.25,7.25
21-07-1986,7.25,0.0,3200,8.25,7.25,7.25
22-07-1986,7.25,0.0,200,8.25,7.25,7.25
23-07-1986,7.25,0.0,500,8.25,7.25,7.25
24-07-1986,7.25,0.0,100,8.25,7.25,7.25
25-07-1986,7.25,0.0,200,8.25,7.25,7.25
28-07-1986,7.25,0.0,500,8.25,7.25,7.25
29-07-1986,7.25,0.0,0,8.25,7.25,7.25
30-07-1986,7.25,7.25,0,7.25,7.25,7.25
31-07-1986,7.25,0.0,1200,8.25,7.25,7.25
01-08-1986,7.25,0.0,200,8.25,7.25,7.25
04-08-1986,7.25,0.0,0,8.25,7.25,7.25
05-08-1986,7.25,0.0,2100,8.25,7.25,7.25
06-08-1986,7.25,0.0,700,8.25,7.25,7.25
07-08-1986,7.25,0.0,700,8.25,7.25,7.25
