Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-2010,32.5,32.5,0,32.5,32.5,17.3370361328125
03-01-2011,32.5,32.5,0,32.5,32.5,17.3370361328125
04-01-2011,32.5,32.5,0,32.5,32.5,17.3370361328125
05-01-2011,32.5,32.5,0,32.5,32.5,17.3370361328125
06-01-2011,30.0,30.0,600,32.0,32.0,17.0703067779541
07-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
10-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
11-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
12-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
13-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
14-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
18-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
19-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
20-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
21-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
24-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
25-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
26-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
27-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
28-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
31-01-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
01-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
02-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
03-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
04-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
07-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
08-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
09-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
10-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
11-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
14-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
15-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
16-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
17-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
18-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
22-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
23-02-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
24-02-2011,31.0,31.0,200,31.0,31.0,16.536865234375
25-02-2011,31.0,31.0,0,31.0,31.0,16.536865234375
28-02-2011,31.0,31.0,0,31.0,31.0,16.536865234375
01-03-2011,32.0,32.0,200,32.0,32.0,17.0703067779541
02-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
03-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
04-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
07-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
08-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
09-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
10-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
11-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
14-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
15-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
16-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
17-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
18-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
21-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
22-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
23-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
24-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
25-03-2011,32.0,32.0,0,32.0,32.0,17.0703067779541
28-03-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
29-03-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
30-03-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
31-03-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
01-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
04-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
05-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
06-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
07-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
08-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
11-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
12-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
13-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
14-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
15-04-2011,31.0,31.0,200,31.0,31.0,17.01542091369629
18-04-2011,31.0,31.0,0,31.0,31.0,17.01542091369629
19-04-2011,31.0,31.0,0,31.0,31.0,17.01542091369629
20-04-2011,32.0,32.0,200,32.0,32.0,17.564308166503906
21-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
25-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
26-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
27-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
28-04-2011,32.0,32.0,0,32.0,32.0,17.564308166503906
29-04-2011,37.0,37.0,1000,37.0,37.0,20.308731079101562
02-05-2011,37.0,37.0,500,37.0,37.0,20.308731079101562
03-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
04-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
05-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
06-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
09-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
10-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
11-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
12-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
13-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
16-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
17-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
18-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
19-05-2011,37.0,37.0,0,37.0,37.0,20.308731079101562
20-05-2011,37.5,37.5,100,37.5,37.5,20.583175659179688
23-05-2011,37.5,37.5,0,37.5,37.5,20.583175659179688
24-05-2011,37.04999923706055,37.04999923706055,1400,37.04999923706055,37.04999923706055,20.33617401123047
25-05-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
26-05-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
27-05-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
31-05-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
01-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
02-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
03-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
06-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
07-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
08-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
09-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
10-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
13-06-2011,37.04999923706055,37.04999923706055,0,37.04999923706055,37.04999923706055,20.33617401123047
14-06-2011,37.099998474121094,37.099998474121094,200,37.099998474121094,37.099998474121094,20.36362075805664
15-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
16-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
17-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
20-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
21-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
22-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
23-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
24-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
27-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
28-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
29-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
30-06-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
01-07-2011,37.099998474121094,37.099998474121094,0,37.099998474121094,37.099998474121094,20.36362075805664
05-07-2011,35.0,35.0,200,35.0,35.0,19.36757469177246
06-07-2011,35.0,35.0,0,35.0,35.0,19.36757469177246
07-07-2011,33.20000076293945,34.0,800,34.0,33.20000076293945,18.371530532836914
08-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
11-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
12-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
13-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
14-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
15-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
18-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
19-07-2011,33.20000076293945,33.20000076293945,0,33.20000076293945,33.20000076293945,18.371530532836914
20-07-2011,32.5,32.5,200,32.5,32.5,17.98417091369629
21-07-2011,32.5,32.5,0,32.5,32.5,17.98417091369629
22-07-2011,32.5,32.5,0,32.5,32.5,17.98417091369629
25-07-2011,32.5,32.5,0,32.5,32.5,17.98417091369629
26-07-2011,30.899999618530273,31.5,400,31.5,30.899999618530273,17.098796844482422
27-07-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
28-07-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
29-07-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
01-08-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
02-08-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
03-08-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
04-08-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
05-08-2011,30.899999618530273,30.899999618530273,0,30.899999618530273,30.899999618530273,17.098796844482422
08-08-2011,29.0,29.5,600,29.5,29.0,16.04741668701172
09-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
10-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
11-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
12-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
15-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
16-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
17-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
18-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
19-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
22-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
23-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
24-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
25-08-2011,29.0,29.0,0,29.0,29.0,16.04741668701172
