Date,Low,Open,Volume,High,Close,Adjusted Close
22-01-1997,26.25,27.5,15820,30.0,30.0,30.0
23-01-1997,27.5,30.0,18980,30.0,28.125,28.125
24-01-1997,27.5,27.5,6100,30.0,27.5,27.5
27-01-1997,27.5,27.5,5440,30.0,28.75,28.75
28-01-1997,26.25,27.5,19160,28.75,27.5,27.5
29-01-1997,26.25,27.5,8380,27.5,26.25,26.25
30-01-1997,25.625,26.25,2260,26.25,25.625,25.625
31-01-1997,25.625,25.625,5460,27.5,26.25,26.25
03-02-1997,26.25,26.25,4300,27.5,26.25,26.25
04-02-1997,26.25,27.5,5020,27.5,26.25,26.25
05-02-1997,25.625,26.25,2400,26.25,25.625,25.625
06-02-1997,25.625,25.625,3820,27.5,27.5,27.5
07-02-1997,25.0,25.625,5840,26.25,25.0,25.0
10-02-1997,25.0,25.0,11800,26.25,25.0,25.0
11-02-1997,25.0,25.0,4940,26.25,26.25,26.25
12-02-1997,25.0,25.0,700,25.0,25.0,25.0
13-02-1997,25.0,25.0,5360,25.0,25.0,25.0
14-02-1997,25.0,25.0,2860,27.5,27.5,27.5
18-02-1997,25.0,25.0,3480,26.25,25.0,25.0
19-02-1997,25.0,25.0,4200,26.25,25.0,25.0
20-02-1997,23.75,25.0,16440,25.0,23.75,23.75
21-02-1997,23.75,23.75,3240,25.0,24.375,24.375
24-02-1997,25.0,25.0,11020,27.5,25.0,25.0
25-02-1997,24.375,25.0,5940,26.875,24.375,24.375
26-02-1997,24.375,24.375,860,25.0,24.375,24.375
27-02-1997,24.375,24.375,1240,24.375,24.375,24.375
28-02-1997,24.375,24.375,6300,24.375,24.375,24.375
03-03-1997,23.75,24.375,2300,24.375,23.75,23.75
04-03-1997,23.125,23.75,3340,25.0,23.125,23.125
05-03-1997,23.125,23.125,1400,23.125,23.125,23.125
06-03-1997,21.875,23.125,4260,23.125,21.875,21.875
07-03-1997,20.625,21.25,18760,22.5,21.25,21.25
10-03-1997,21.25,21.25,800,21.25,21.25,21.25
11-03-1997,21.25,21.5625,500,21.5625,21.25,21.25
12-03-1997,21.25,21.25,320,21.25,21.25,21.25
13-03-1997,21.25,21.25,2640,21.25,21.25,21.25
14-03-1997,21.25,21.25,600,21.25,21.25,21.25
17-03-1997,21.25,21.25,1000,21.25,21.25,21.25
18-03-1997,21.25,21.25,1000,21.25,21.25,21.25
19-03-1997,20.625,21.25,2600,21.875,20.625,20.625
20-03-1997,19.375,20.625,4420,20.625,19.375,19.375
21-03-1997,19.375,19.375,1140,19.375,19.375,19.375
24-03-1997,18.125,19.375,5640,19.6875,18.75,18.75
25-03-1997,18.75,18.75,1220,19.6875,18.75,18.75
26-03-1997,18.75,18.75,3280,19.6875,18.75,18.75
27-03-1997,18.75,18.75,200,18.75,18.75,18.75
31-03-1997,18.75,18.75,60,18.75,18.75,18.75
01-04-1997,17.5,18.75,840,18.75,17.5,17.5
02-04-1997,17.5,17.5,1200,17.5,17.5,17.5
03-04-1997,17.5,17.5,120,17.5,17.5,17.5
04-04-1997,16.25,17.5,2320,19.375,16.25,16.25
07-04-1997,15.0,16.25,1760,16.25,15.0,15.0
08-04-1997,15.0,15.0,3280,15.9375,15.625,15.625
09-04-1997,15.625,15.625,80,15.625,15.625,15.625
10-04-1997,15.0,15.625,1860,15.625,15.0,15.0
11-04-1997,15.0,15.0,220,15.0,15.0,15.0
14-04-1997,15.0,15.0,540,15.0,15.0,15.0
15-04-1997,15.0,15.0,420,16.09375,16.09375,16.09375
16-04-1997,16.09375,16.09375,0,16.09375,16.09375,16.09375
17-04-1997,14.375,15.0,580,15.0,14.375,14.375
18-04-1997,14.375,14.375,200,14.375,14.375,14.375
21-04-1997,14.375,14.375,200,14.375,14.375,14.375
22-04-1997,11.875,14.375,5400,14.375,11.875,11.875
23-04-1997,11.25,11.875,4980,11.875,11.875,11.875
24-04-1997,12.5,12.8125,4520,13.125,12.8125,12.8125
25-04-1997,12.8125,12.8125,0,12.8125,12.8125,12.8125
28-04-1997,12.5,13.125,8120,13.75,13.75,13.75
29-04-1997,13.75,13.75,0,13.75,13.75,13.75
30-04-1997,13.75,13.75,1400,14.375,14.375,14.375
01-05-1997,13.75,13.75,340,14.375,14.375,14.375
02-05-1997,13.75,13.75,140,13.75,13.75,13.75
05-05-1997,13.75,13.75,1580,14.375,14.0625,14.0625
06-05-1997,14.0625,14.0625,0,14.0625,14.0625,14.0625
07-05-1997,14.0625,14.0625,0,14.0625,14.0625,14.0625
08-05-1997,14.0625,14.0625,1200,14.0625,14.0625,14.0625
09-05-1997,13.75,14.0625,380,14.0625,13.75,13.75
12-05-1997,13.125,13.75,2100,13.75,13.125,13.125
13-05-1997,13.125,13.125,0,13.125,13.125,13.125
14-05-1997,13.125,13.125,0,13.125,13.125,13.125
15-05-1997,13.4375,13.4375,8000,14.375,14.375,14.375
16-05-1997,14.375,14.375,0,14.375,14.375,14.375
19-05-1997,13.75,13.75,100,13.75,13.75,13.75
20-05-1997,13.75,13.75,60,13.75,13.75,13.75
21-05-1997,13.75,13.75,0,13.75,13.75,13.75
22-05-1997,13.75,13.75,0,13.75,13.75,13.75
23-05-1997,13.75,13.75,40,13.75,13.75,13.75
27-05-1997,16.25,16.25,40,16.25,16.25,16.25
28-05-1997,13.75,13.75,700,13.75,13.75,13.75
29-05-1997,13.75,13.75,8840,14.375,14.375,14.375
30-05-1997,14.375,14.375,2600,15.0,14.375,14.375
02-06-1997,14.375,14.375,2400,14.6875,14.6875,14.6875
03-06-1997,14.375,16.875,1680,16.875,15.0,15.0
04-06-1997,14.375,16.875,3440,16.875,15.0,15.0
05-06-1997,14.6875,14.6875,100,14.6875,14.6875,14.6875
06-06-1997,14.6875,14.6875,760,14.6875,14.6875,14.6875
09-06-1997,14.6875,14.6875,200,14.6875,14.6875,14.6875
10-06-1997,14.6875,14.6875,720,14.6875,14.6875,14.6875
11-06-1997,14.6875,14.6875,820,14.6875,14.6875,14.6875
12-06-1997,14.6875,14.6875,480,14.6875,14.6875,14.6875
13-06-1997,14.6875,14.6875,3020,15.0,14.6875,14.6875
16-06-1997,14.6875,14.6875,1040,14.6875,14.6875,14.6875
