Date,Low,Open,Volume,High,Close,Adjusted Close
11-08-2000,384.0,408.0,792528,448.0,420.0,332.2545166015625
14-08-2000,384.0,419.0,80228,420.0,384.0,303.7756042480469
15-08-2000,384.0,389.0,48422,396.0,388.0,306.93988037109375
16-08-2000,386.0,386.0,42166,418.0,396.0,313.26861572265625
17-08-2000,382.0,392.0,47247,400.0,384.0,303.7756042480469
18-08-2000,396.0,401.0,60400,460.0,458.0,362.31561279296875
21-08-2000,446.0,482.0,66547,520.0,486.0,384.4659423828125
22-08-2000,432.0,492.0,33878,502.0,432.0,341.7474060058594
23-08-2000,408.0,434.0,17925,440.0,416.0,329.0901184082031
24-08-2000,386.0,414.0,18441,418.0,386.0,305.3576354980469
25-08-2000,388.0,402.0,20113,414.0,412.0,325.9258728027344
28-08-2000,400.0,429.0,19491,433.5,420.0,332.2545166015625
29-08-2000,404.0,430.0,22728,432.0,428.0,338.5831604003906
30-08-2000,424.0,427.0,19891,470.0,454.0,359.15130615234375
31-08-2000,476.0,482.0,87397,528.0,518.0,409.780517578125
01-09-2000,480.0,516.0,27738,520.0,504.0,398.70538330078125
05-09-2000,496.0,506.0,23025,520.0,498.0,393.9588928222656
06-09-2000,488.0,516.0,20559,520.0,496.0,392.3768005371094
07-09-2000,428.0,512.0,23959,512.0,460.0,363.8977966308594
08-09-2000,440.0,456.5,15956,464.0,448.0,354.4047546386719
11-09-2000,432.0,442.0,34547,448.0,444.0,351.24041748046875
12-09-2000,412.0,435.0,33853,442.0,416.0,329.0901184082031
13-09-2000,396.0,408.0,10363,420.0,400.0,316.4327697753906
14-09-2000,400.0,444.0,8109,444.0,406.0,321.179443359375
15-09-2000,400.0,402.0,3600,416.0,402.0,318.0150451660156
18-09-2000,382.0,420.0,18659,424.0,386.0,305.3576354980469
19-09-2000,344.0,419.0,48038,420.0,360.0,284.7895202636719
20-09-2000,312.0,368.0,24103,370.0,332.0,262.6393127441406
21-09-2000,326.0,330.0,25247,344.0,340.0,268.96795654296875
22-09-2000,302.0,307.0,8456,346.0,338.0,267.38568115234375
25-09-2000,300.0,340.0,21066,346.0,302.0,238.90679931640625
26-09-2000,288.0,316.0,19634,318.0,296.0,234.1603546142578
27-09-2000,276.0,301.0,16756,302.0,299.0,236.5335693359375
28-09-2000,292.0,296.0,22041,344.0,320.0,253.14625549316406
29-09-2000,279.0,323.0,19125,324.0,284.0,224.6673126220703
02-10-2000,268.0,300.0,6888,301.0,272.0,215.17431640625
03-10-2000,248.0,275.0,10128,284.0,254.0,200.93487548828125
04-10-2000,216.0,256.0,14600,258.0,228.0,180.3667449951172
05-10-2000,208.0,222.0,15178,260.0,210.0,166.12725830078125
06-10-2000,190.0,222.5,11413,224.0,195.0,154.26101684570312
09-10-2000,185.0,210.0,10650,214.0,198.0,156.63430786132812
10-10-2000,176.0,202.0,13291,204.0,182.0,143.97695922851562
11-10-2000,130.0,168.0,42488,184.0,132.0,104.42286682128906
12-10-2000,144.0,163.0,37297,168.0,166.0,131.3196563720703
13-10-2000,177.0,182.0,42863,252.0,242.0,191.4418487548828
16-10-2000,236.0,260.0,38531,262.0,260.0,205.6813201904297
17-10-2000,244.0,272.0,11047,274.0,250.0,197.7705535888672
18-10-2000,190.0,248.0,19303,268.0,258.0,204.0991973876953
19-10-2000,216.0,272.0,25997,298.0,221.0,174.82916259765625
20-10-2000,224.0,240.0,21797,240.0,234.0,185.1132354736328
23-10-2000,228.0,236.0,17800,269.0,264.0,208.84573364257812
24-10-2000,260.0,265.5,19788,272.0,270.0,213.59217834472656
25-10-2000,252.0,267.5,13225,272.0,272.0,215.17431640625
26-10-2000,270.0,271.0,8788,308.0,290.0,229.413818359375
27-10-2000,276.0,291.5,3381,292.0,288.0,227.83169555664062
30-10-2000,276.0,286.0,7650,300.0,286.0,226.24957275390625
31-10-2000,280.0,292.0,10488,328.0,312.0,246.81761169433594
01-11-2000,306.0,311.5,11591,336.0,312.0,246.81761169433594
02-11-2000,284.0,311.5,7863,316.0,296.0,234.1603546142578
03-11-2000,287.0,287.0,7700,302.0,292.0,230.99600219726562
06-11-2000,278.0,296.0,9731,300.0,284.0,224.6673126220703
07-11-2000,280.0,288.0,6675,288.0,284.0,224.6673126220703
08-11-2000,241.0,284.0,20909,284.0,258.0,204.0991973876953
09-11-2000,240.0,240.0,12606,256.0,253.0,200.143798828125
10-11-2000,238.0,244.5,18113,248.0,238.0,188.277587890625
13-11-2000,218.0,222.0,13725,226.0,226.0,178.7845916748047
14-11-2000,208.0,225.0,15722,234.0,212.0,167.70938110351562
15-11-2000,202.0,220.0,20422,222.0,202.0,159.7986297607422
16-11-2000,200.0,208.5,3903,212.0,203.0,160.5897216796875
17-11-2000,204.0,219.0,14125,220.0,212.0,167.70938110351562
20-11-2000,202.0,209.0,5497,210.0,202.0,159.7986297607422
21-11-2000,198.0,203.0,8266,208.0,198.0,156.63430786132812
22-11-2000,192.0,200.0,11475,200.0,192.0,151.88780212402344
24-11-2000,192.0,194.5,1819,196.0,193.0,152.67881774902344
27-11-2000,190.0,204.0,5253,212.0,192.0,151.88780212402344
28-11-2000,172.0,196.0,3931,196.0,174.0,137.64833068847656
29-11-2000,144.0,174.0,17034,178.0,156.0,123.40880584716797
30-11-2000,136.0,152.0,10675,155.0,140.0,110.75151062011719
01-12-2000,139.0,140.0,6878,162.0,154.0,121.82665252685547
04-12-2000,155.0,155.0,2400,164.0,158.0,124.99098205566406
05-12-2000,156.0,162.5,4709,166.0,162.0,128.15530395507812
06-12-2000,146.0,161.0,5175,162.0,154.0,121.82665252685547
07-12-2000,144.0,153.0,13638,166.0,144.0,113.91584777832031
08-12-2000,152.0,152.0,5741,192.0,176.0,139.23046875
11-12-2000,176.0,177.0,2597,186.0,176.0,139.23046875
12-12-2000,176.0,181.5,10088,234.0,212.0,167.70938110351562
13-12-2000,220.0,235.5,6697,244.0,226.0,178.7845916748047
14-12-2000,218.0,233.5,4953,234.0,224.0,177.20237731933594
15-12-2000,214.0,222.5,2538,225.5,214.0,169.2915802001953
18-12-2000,180.0,227.0,3103,228.0,187.0,147.93238830566406
19-12-2000,164.0,173.0,5059,190.0,178.0,140.81259155273438
20-12-2000,150.0,176.0,8256,178.5,156.0,123.40880584716797
21-12-2000,126.0,144.0,16756,148.0,130.0,102.84066009521484
22-12-2000,128.0,146.5,14159,148.0,128.0,101.25851440429688
26-12-2000,122.0,130.0,10953,142.0,126.0,99.67634582519531
27-12-2000,112.0,126.0,6916,128.0,122.0,96.51201629638672
28-12-2000,104.0,120.0,30813,122.0,112.0,88.60118865966797
29-12-2000,110.0,111.0,16788,152.0,140.0,110.75151062011719
02-01-2001,108.0,141.5,13525,142.0,114.0,90.1833724975586
03-01-2001,104.0,110.0,26134,144.0,116.0,91.76553344726562
04-01-2001,112.0,125.5,9791,134.0,116.0,91.76553344726562
05-01-2001,114.0,120.0,5069,130.0,128.0,101.25851440429688
08-01-2001,120.0,128.0,5200,130.0,126.0,99.67634582519531
09-01-2001,114.0,128.0,2313,128.0,119.0,94.1387939453125
10-01-2001,114.0,121.0,5628,124.0,122.0,96.51201629638672
11-01-2001,115.0,122.0,7794,130.0,124.0,98.09420013427734
12-01-2001,125.5,125.5,17147,148.0,148.0,117.0801773071289
16-01-2001,144.0,152.0,6475,168.0,160.0,126.57312774658203
17-01-2001,166.0,168.0,6963,192.0,180.0,142.39476013183594
18-01-2001,184.0,189.5,6850,196.0,186.0,147.14129638671875
19-01-2001,184.0,188.0,9156,194.0,188.0,148.7234344482422
22-01-2001,184.0,192.0,8409,200.0,192.0,151.88780212402344
23-01-2001,190.0,192.5,4269,208.0,204.0,161.38075256347656
24-01-2001,202.0,216.5,13166,240.0,224.0,177.20237731933594
25-01-2001,208.0,222.0,5769,224.0,208.0,164.54505920410156
26-01-2001,176.0,190.0,7822,196.0,192.0,151.88780212402344
29-01-2001,192.0,197.0,2884,204.0,194.0,153.46994018554688
30-01-2001,188.0,198.0,2569,198.0,190.0,150.30557250976562
31-01-2001,184.0,193.5,8288,200.0,190.0,150.30557250976562
01-02-2001,189.0,190.0,1569,198.0,192.0,151.88780212402344
02-02-2001,188.0,192.0,1241,194.0,192.0,151.88780212402344
05-02-2001,172.0,191.0,2234,191.0,172.0,136.06614685058594
06-02-2001,156.0,160.0,3241,173.0,169.0,133.69284057617188
07-02-2001,166.0,169.0,4134,196.0,196.0,155.05209350585938
08-02-2001,200.0,210.0,15356,224.0,208.0,164.54505920410156
09-02-2001,186.0,216.0,4300,216.0,198.0,156.63430786132812
12-02-2001,188.0,192.0,2325,208.0,192.0,151.88780212402344
13-02-2001,177.0,196.0,5794,199.0,188.0,148.7234344482422
14-02-2001,168.0,187.5,1416,189.0,174.0,137.64833068847656
15-02-2001,164.0,176.0,3253,188.0,164.0,129.73744201660156
16-02-2001,128.0,167.0,39778,168.0,143.0,113.12478637695312
20-02-2001,138.0,144.0,3441,158.0,140.0,110.75151062011719
21-02-2001,126.0,136.0,7163,138.0,128.0,101.25851440429688
22-02-2001,120.0,130.0,4825,133.0,126.0,99.67634582519531
23-02-2001,120.0,126.5,15228,129.0,126.0,99.67634582519531
26-02-2001,120.0,127.0,9622,129.0,122.0,96.51201629638672
27-02-2001,116.0,121.5,11159,123.0,121.0,95.7209243774414
28-02-2001,116.0,120.5,3422,123.0,120.0,94.92984771728516
01-03-2001,99.0,119.0,15713,120.0,101.0,79.8993148803711
02-03-2001,88.0,103.0,10794,105.0,91.0,71.98847961425781
05-03-2001,88.0,95.5,12513,97.0,93.0,73.57064819335938
06-03-2001,92.0,96.5,25256,136.0,96.0,75.94390106201172
07-03-2001,92.0,101.0,7563,101.0,96.0,75.94390106201172
08-03-2001,88.0,97.5,5756,98.0,94.0,74.3617172241211
09-03-2001,88.0,96.0,5003,98.0,89.0,70.40629577636719
