Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1994,1.125,1.125,2100,1.125,1.125,1.125
18-11-1994,1.125,1.125,0,1.125,1.125,1.125
21-11-1994,1.125,1.125,0,1.125,1.125,1.125
22-11-1994,1.125,1.125,0,1.125,1.125,1.125
23-11-1994,2.0,2.0,1000,2.0,2.0,2.0
25-11-1994,2.0,2.0,0,2.0,2.0,2.0
28-11-1994,2.0,2.0,0,2.0,2.0,2.0
29-11-1994,2.0,2.0,0,2.0,2.0,2.0
30-11-1994,2.0,2.0,0,2.0,2.0,2.0
01-12-1994,2.0,2.0,0,2.0,2.0,2.0
02-12-1994,2.0,2.0,0,2.0,2.0,2.0
05-12-1994,2.0,2.0,0,2.0,2.0,2.0
06-12-1994,2.0,2.0,0,2.0,2.0,2.0
07-12-1994,2.0,2.0,0,2.0,2.0,2.0
08-12-1994,2.0,2.0,0,2.0,2.0,2.0
09-12-1994,2.5,2.5,6800,3.125,3.125,3.125
12-12-1994,3.125,3.125,0,3.125,3.125,3.125
13-12-1994,3.125,3.125,0,3.125,3.125,3.125
14-12-1994,3.125,3.125,0,3.125,3.125,3.125
15-12-1994,3.75,4.0,3300,4.0,3.75,3.75
16-12-1994,2.75,2.75,500,2.75,2.75,2.75
19-12-1994,2.75,2.75,200,2.75,2.75,2.75
20-12-1994,2.75,2.75,5000,2.75,2.75,2.75
21-12-1994,2.75,2.75,0,2.75,2.75,2.75
22-12-1994,3.0,3.0,1600,3.0,3.0,3.0
23-12-1994,3.0,3.0,0,3.0,3.0,3.0
27-12-1994,3.0,3.0,0,3.0,3.0,3.0
28-12-1994,3.0,3.0,0,3.0,3.0,3.0
29-12-1994,3.0,3.0,0,3.0,3.0,3.0
30-12-1994,3.0,3.0,0,3.0,3.0,3.0
03-01-1995,3.125,3.125,500,3.125,3.125,3.125
04-01-1995,3.125,3.125,0,3.125,3.125,3.125
05-01-1995,3.125,3.125,0,3.125,3.125,3.125
06-01-1995,3.125,3.125,0,3.125,3.125,3.125
09-01-1995,3.125,3.125,0,3.125,3.125,3.125
10-01-1995,3.125,3.125,0,3.125,3.125,3.125
11-01-1995,3.125,3.125,0,3.125,3.125,3.125
12-01-1995,3.5,3.5,1500,3.5,3.5,3.5
13-01-1995,3.375,3.375,600,3.375,3.375,3.375
16-01-1995,3.375,3.375,0,3.375,3.375,3.375
17-01-1995,3.375,3.375,0,3.375,3.375,3.375
18-01-1995,3.375,3.375,2000,3.375,3.375,3.375
19-01-1995,2.625,3.5,15000,3.5,3.125,3.125
20-01-1995,2.9375,3.0,5500,3.0625,3.0625,3.0625
23-01-1995,3.0625,3.0625,0,3.0625,3.0625,3.0625
24-01-1995,3.0625,3.0625,0,3.0625,3.0625,3.0625
25-01-1995,3.0625,3.0625,0,3.0625,3.0625,3.0625
26-01-1995,3.0625,3.0625,0,3.0625,3.0625,3.0625
27-01-1995,3.0,3.0,300,3.0,3.0,3.0
30-01-1995,3.0,3.0,7900,3.0,3.0,3.0
31-01-1995,3.0,3.0,24500,3.25,3.25,3.25
01-02-1995,3.15625,3.1875,32400,3.21875,3.21875,3.21875
02-02-1995,2.5,2.5,22000,3.25,3.03125,3.03125
03-02-1995,2.5,3.0,17100,3.0,3.0,3.0
06-02-1995,3.0,3.0,0,3.0,3.0,3.0
07-02-1995,3.0625,3.0625,39700,3.25,3.25,3.25
08-02-1995,3.0,3.125,9000,3.25,3.25,3.25
09-02-1995,3.25,3.25,0,3.25,3.25,3.25
10-02-1995,3.25,3.25,2000,3.25,3.25,3.25
13-02-1995,3.25,3.25,4000,3.25,3.25,3.25
14-02-1995,3.1875,3.25,4400,3.25,3.25,3.25
15-02-1995,3.25,3.25,4100,3.25,3.25,3.25
16-02-1995,3.0,3.0,2200,3.25,3.25,3.25
17-02-1995,3.0,3.0,1000,3.0,3.0,3.0
21-02-1995,3.0,3.0,0,3.0,3.0,3.0
22-02-1995,3.0,3.0,0,3.0,3.0,3.0
23-02-1995,3.0,3.0,0,3.0,3.0,3.0
24-02-1995,3.0,3.0,0,3.0,3.0,3.0
27-02-1995,3.0,3.0,0,3.0,3.0,3.0
28-02-1995,3.0,3.0,0,3.0,3.0,3.0
01-03-1995,3.0,3.0,0,3.0,3.0,3.0
02-03-1995,3.0,3.0,0,3.0,3.0,3.0
03-03-1995,3.0,3.0,0,3.0,3.0,3.0
06-03-1995,3.0,3.0,0,3.0,3.0,3.0
07-03-1995,3.0,3.0,0,3.0,3.0,3.0
08-03-1995,3.0,3.0,0,3.0,3.0,3.0
09-03-1995,3.0,3.0,0,3.0,3.0,3.0
10-03-1995,3.0,3.0,16600,3.125,3.0,3.0
13-03-1995,3.0,3.0,0,3.0,3.0,3.0
14-03-1995,3.0,3.0,0,3.0,3.0,3.0
15-03-1995,3.0,3.0,0,3.0,3.0,3.0
16-03-1995,3.0,3.0,0,3.0,3.0,3.0
17-03-1995,2.5,2.8125,13500,3.09375,3.09375,3.09375
20-03-1995,3.0,3.0,2100,3.0,3.0,3.0
21-03-1995,3.0,3.0,0,3.0,3.0,3.0
22-03-1995,3.0,3.0,0,3.0,3.0,3.0
23-03-1995,3.0,3.0,0,3.0,3.0,3.0
24-03-1995,3.0,3.0,0,3.0,3.0,3.0
27-03-1995,3.25,3.25,1000,3.25,3.25,3.25
28-03-1995,3.25,3.25,0,3.25,3.25,3.25
29-03-1995,3.5,3.5,7100,3.5,3.5,3.5
30-03-1995,3.4375,3.4375,1000,3.4375,3.4375,3.4375
31-03-1995,3.4375,3.4375,0,3.4375,3.4375,3.4375
03-04-1995,3.5,3.5,400,3.5,3.5,3.5
04-04-1995,3.75,3.75,400,3.75,3.75,3.75
05-04-1995,3.75,3.75,2900,3.75,3.75,3.75
06-04-1995,3.75,3.75,0,3.75,3.75,3.75
07-04-1995,4.0,4.0,100,4.0,4.0,4.0
10-04-1995,3.875,3.875,7300,4.0,4.0,4.0
11-04-1995,4.0,4.0,0,4.0,4.0,4.0
12-04-1995,4.0,4.0,0,4.0,4.0,4.0
13-04-1995,3.9375,3.96875,12000,4.0,3.9375,3.9375
17-04-1995,4.03125,4.09375,29000,4.125,4.03125,4.03125
18-04-1995,4.0,4.0,300,4.0,4.0,4.0
19-04-1995,4.125,4.25,26600,4.25,4.25,4.25
20-04-1995,4.5,4.5,1600,4.5,4.5,4.5
21-04-1995,4.375,4.375,100,4.375,4.375,4.375
24-04-1995,4.0,4.0,25700,4.03125,4.03125,4.03125
25-04-1995,4.03125,4.03125,0,4.03125,4.03125,4.03125
26-04-1995,3.75,4.0,12000,4.0,3.875,3.875
27-04-1995,3.75,5.0,4500,5.0,3.75,3.75
28-04-1995,4.03125,4.03125,11000,4.03125,4.03125,4.03125
01-05-1995,4.03125,4.03125,0,4.03125,4.03125,4.03125
02-05-1995,4.0,4.0,200,4.0,4.0,4.0
03-05-1995,3.75,3.75,500,3.75,3.75,3.75
04-05-1995,4.0,4.0,2600,4.0,4.0,4.0
05-05-1995,4.0,4.0,0,4.0,4.0,4.0
08-05-1995,4.0625,4.0625,2600,4.0625,4.0625,4.0625
09-05-1995,4.0625,4.0625,0,4.0625,4.0625,4.0625
10-05-1995,4.0625,4.0625,0,4.0625,4.0625,4.0625
11-05-1995,4.0625,4.0625,0,4.0625,4.0625,4.0625
12-05-1995,3.625,3.625,1000,3.625,3.625,3.625
15-05-1995,3.625,3.625,0,3.625,3.625,3.625
16-05-1995,3.625,3.625,0,3.625,3.625,3.625
17-05-1995,3.625,3.625,0,3.625,3.625,3.625
