Date,Low,Open,Volume,High,Close,Adjusted Close
26-03-1993,260.0,265.0,112445,300.0,292.5,239.78172302246094
29-03-1993,287.5,305.0,30790,315.0,290.0,237.73231506347656
30-03-1993,285.0,295.0,16530,295.0,290.0,237.73231506347656
31-03-1993,285.0,290.0,12920,292.5,290.0,237.73231506347656
01-04-1993,285.0,290.0,3290,292.5,285.0,233.6334686279297
02-04-1993,272.5,285.0,6370,287.5,282.5,231.58404541015625
05-04-1993,270.0,270.0,1215,282.5,275.0,225.43580627441406
06-04-1993,267.5,270.0,6930,280.0,270.0,221.3369903564453
07-04-1993,265.0,270.0,4895,285.0,280.0,229.53463745117188
08-04-1993,277.5,280.0,2390,285.0,280.0,229.53463745117188
12-04-1993,277.5,277.5,2155,290.0,280.0,229.53463745117188
13-04-1993,275.0,295.0,1800,295.0,277.5,227.48521423339844
14-04-1993,275.0,285.0,2985,290.0,285.0,233.6334686279297
15-04-1993,290.0,300.0,3080,302.5,295.0,241.8311309814453
16-04-1993,295.0,305.0,8125,317.5,317.5,260.2759094238281
19-04-1993,320.0,325.0,11540,345.0,330.0,270.5229797363281
20-04-1993,325.0,330.0,3805,345.0,332.5,272.5723876953125
21-04-1993,325.0,332.5,1980,332.5,325.0,266.42413330078125
22-04-1993,320.0,327.5,2690,332.5,325.0,266.42413330078125
23-04-1993,312.5,320.0,3805,330.0,320.0,262.3253173828125
26-04-1993,310.0,320.0,2800,320.0,320.0,262.3253173828125
27-04-1993,315.0,315.0,1175,320.0,320.0,262.3253173828125
28-04-1993,300.0,310.0,4185,315.0,307.5,252.07823181152344
29-04-1993,292.5,307.5,2845,307.5,300.0,245.92996215820312
30-04-1993,297.5,300.0,2655,305.0,300.0,245.92996215820312
03-05-1993,300.0,302.5,2900,307.5,302.5,247.9793701171875
04-05-1993,300.0,307.5,3515,315.0,312.5,256.1770324707031
05-05-1993,307.5,315.0,3365,325.0,320.0,262.3253173828125
06-05-1993,310.0,327.5,4005,330.0,320.0,262.3253173828125
07-05-1993,312.5,322.5,1160,322.5,320.0,262.3253173828125
10-05-1993,325.0,335.0,4210,335.0,332.5,272.5723876953125
11-05-1993,320.0,332.5,3040,332.5,325.0,266.42413330078125
12-05-1993,310.0,332.5,2245,332.5,312.5,256.1770324707031
13-05-1993,312.5,312.5,520,322.5,315.0,258.2264709472656
14-05-1993,312.5,322.5,520,322.5,312.5,256.1770324707031
17-05-1993,307.5,307.5,670,322.5,312.5,256.1770324707031
18-05-1993,305.0,320.0,1850,320.0,310.0,254.1276397705078
19-05-1993,300.0,300.0,825,315.0,310.0,254.1276397705078
20-05-1993,305.0,315.0,645,315.0,305.0,250.02879333496094
21-05-1993,305.0,312.5,345,312.5,305.0,250.02879333496094
24-05-1993,295.0,310.0,240,310.0,302.5,247.9793701171875
25-05-1993,300.0,300.0,1750,305.0,300.0,245.92996215820312
26-05-1993,302.5,302.5,370,305.0,305.0,250.02879333496094
27-05-1993,300.0,312.5,165,312.5,310.0,254.1276397705078
28-05-1993,300.0,305.0,335,305.0,300.0,245.92996215820312
01-06-1993,295.0,300.0,4305,305.0,295.0,241.8311309814453
