Date,Low,Open,Volume,High,Close,Adjusted Close
09-07-1992,41.25,43.125,1107,43.125,41.25,41.25
10-07-1992,41.25,43.125,533,43.125,41.25,41.25
13-07-1992,41.25,43.125,1847,43.125,41.25,41.25
14-07-1992,41.25,41.25,27,41.25,41.25,41.25
15-07-1992,41.25,41.25,67,41.25,41.25,41.25
16-07-1992,41.25,43.125,233,43.125,41.25,41.25
17-07-1992,41.25,41.25,380,43.125,41.25,41.25
20-07-1992,41.25,43.125,633,43.125,41.25,41.25
21-07-1992,41.25,41.25,67,41.25,41.25,41.25
22-07-1992,43.125,43.125,213,43.125,43.125,43.125
23-07-1992,41.25,41.25,767,43.125,43.125,43.125
24-07-1992,41.25,41.25,1973,43.125,43.125,43.125
27-07-1992,41.25,41.25,67,41.25,41.25,41.25
28-07-1992,41.25,41.25,13,41.25,41.25,41.25
29-07-1992,41.25,41.25,333,41.25,41.25,41.25
30-07-1992,41.25,41.25,53,43.125,43.125,43.125
31-07-1992,41.25,41.25,367,41.25,41.25,41.25
03-08-1992,43.125,43.125,13,43.125,43.125,43.125
04-08-1992,41.25,42.1875,467,43.125,41.25,41.25
05-08-1992,41.25,43.125,1133,43.125,43.125,43.125
06-08-1992,41.25,41.25,13,41.25,41.25,41.25
07-08-1992,43.125,43.125,340,43.125,43.125,43.125
10-08-1992,43.125,43.125,33,43.125,43.125,43.125
11-08-1992,41.25,43.125,67,43.125,41.25,41.25
12-08-1992,41.25,43.125,360,43.125,41.25,41.25
13-08-1992,41.25,43.125,600,43.125,43.125,43.125
14-08-1992,41.25,43.125,1527,43.125,41.25,41.25
17-08-1992,40.3125,40.3125,787,43.125,43.125,43.125
18-08-1992,40.3125,40.3125,627,43.125,43.125,43.125
19-08-1992,39.375,43.125,300,43.125,43.125,43.125
20-08-1992,39.375,39.375,1180,43.125,39.375,39.375
21-08-1992,43.125,43.125,180,43.125,43.125,43.125
24-08-1992,43.125,43.125,273,43.125,43.125,43.125
25-08-1992,43.125,43.125,67,43.125,43.125,43.125
26-08-1992,38.4375,43.125,507,43.125,43.125,43.125
27-08-1992,43.125,43.125,400,43.125,43.125,43.125
28-08-1992,39.375,39.375,67,43.125,43.125,43.125
31-08-1992,38.4375,43.125,1213,43.125,43.125,43.125
01-09-1992,39.375,43.125,427,43.125,43.125,43.125
02-09-1992,39.375,39.375,973,43.125,43.125,43.125
03-09-1992,40.3125,43.125,1613,43.125,41.25,41.25
04-09-1992,41.25,43.125,940,43.125,43.125,43.125
08-09-1992,43.125,43.125,1880,46.875,44.0625,44.0625
09-09-1992,44.0625,46.875,3407,46.875,46.875,46.875
10-09-1992,44.0625,44.0625,2067,48.75,45.0,45.0
11-09-1992,45.0,48.75,3113,50.625,45.0,45.0
14-09-1992,45.0,50.625,1487,50.625,48.75,48.75
15-09-1992,45.0,48.75,1393,50.625,50.625,50.625
16-09-1992,45.0,50.625,1033,50.625,45.0,45.0
17-09-1992,45.0,50.625,3067,50.625,45.0,45.0
18-09-1992,45.0,48.75,1853,48.75,48.75,48.75
21-09-1992,45.0,48.75,747,48.75,48.75,48.75
22-09-1992,45.0,48.75,707,48.75,48.75,48.75
23-09-1992,48.75,48.75,67,48.75,48.75,48.75
24-09-1992,45.0,48.75,2053,48.75,45.0,45.0
25-09-1992,45.9375,45.9375,5247,48.75,48.75,48.75
28-09-1992,46.875,46.875,6813,52.5,52.5,52.5
29-09-1992,48.75,52.5,4213,52.5,48.75,48.75
30-09-1992,48.75,52.5,5300,52.5,48.75,48.75
