Date,Low,Open,Volume,High,Close,Adjusted Close
01-07-1997,83.75,87.5,164940,88.75,86.25,83.81745910644531
02-07-1997,85.0,86.875,34450,87.5,85.0,82.60271453857422
03-07-1997,85.0,85.0,14630,85.625,85.0,82.60271453857422
07-07-1997,85.0,85.0,9770,86.25,85.0,82.60271453857422
08-07-1997,85.0,85.0,3240,86.25,85.0,82.60271453857422
09-07-1997,85.0,85.0,11230,88.75,86.25,83.81745910644531
10-07-1997,86.25,86.25,3390,88.75,87.5,85.03219604492188
11-07-1997,87.5,87.5,15750,96.25,95.625,92.92804718017578
14-07-1997,85.0,92.5,15530,95.0,86.25,83.81745910644531
15-07-1997,85.0,87.5,7330,87.5,85.0,82.60271453857422
16-07-1997,85.0,86.25,6890,88.75,86.25,83.81745910644531
17-07-1997,85.0,90.0,2700,90.0,86.25,83.81745910644531
18-07-1997,85.0,88.75,2010,88.75,87.5,85.03219604492188
21-07-1997,85.0,85.0,2270,88.75,85.0,82.60271453857422
22-07-1997,85.0,85.0,3700,87.5,85.625,83.21007537841797
23-07-1997,85.0,85.0,3530,85.625,85.625,83.21007537841797
24-07-1997,85.625,87.5,1080,87.5,86.25,83.81745910644531
25-07-1997,85.0,87.5,1210,87.5,85.0,82.60271453857422
28-07-1997,83.75,87.5,11210,90.0,86.25,83.81745910644531
29-07-1997,71.25,86.25,17600,86.25,76.25,74.0994873046875
30-07-1997,78.75,82.5,3720,82.5,78.75,76.52897644042969
31-07-1997,77.5,78.75,2590,82.5,82.5,80.17321014404297
01-08-1997,77.5,78.75,670,82.5,78.75,76.52897644042969
04-08-1997,77.5,77.5,2220,81.25,80.0,77.74372100830078
05-08-1997,78.75,80.0,4730,88.75,86.25,83.81745910644531
06-08-1997,82.5,86.25,4200,88.75,82.5,80.17321014404297
07-08-1997,82.5,86.25,1650,86.25,85.0,82.60271453857422
08-08-1997,82.5,85.0,3620,86.25,83.75,81.3879623413086
11-08-1997,82.5,87.5,2100,87.5,82.5,80.17321014404297
12-08-1997,82.5,82.5,3240,86.25,82.5,80.17321014404297
13-08-1997,82.5,87.5,1000,88.75,86.25,83.81745910644531
14-08-1997,85.0,88.75,680,88.75,87.5,85.03219604492188
15-08-1997,85.0,85.0,2340,88.75,87.5,85.03219604492188
18-08-1997,85.0,87.5,1640,88.75,85.0,82.60271453857422
19-08-1997,85.0,85.0,1490,88.75,88.75,86.24694061279297
20-08-1997,85.0,85.0,1390,88.75,88.75,86.24694061279297
21-08-1997,85.0,88.125,3500,88.75,88.75,86.24694061279297
22-08-1997,86.25,86.25,1680,88.75,87.5,85.03219604492188
25-08-1997,86.25,86.25,11200,90.0,88.75,86.24694061279297
26-08-1997,87.5,90.0,2480,90.0,90.0,87.4616928100586
27-08-1997,87.5,87.5,420,90.0,90.0,87.4616928100586
28-08-1997,87.5,88.75,1680,90.0,90.0,87.4616928100586
29-08-1997,87.5,87.5,2600,93.125,90.0,87.4616928100586
02-09-1997,90.0,91.25,660,92.5,90.0,87.4616928100586
03-09-1997,88.75,92.5,720,92.5,88.75,86.24694061279297
04-09-1997,87.5,90.0,310,90.0,88.75,86.24694061279297
05-09-1997,98.75,108.75,83780,115.0,115.0,111.75660705566406
08-09-1997,111.25,120.0,29210,120.0,116.25,112.97135162353516
09-09-1997,107.5,116.25,15060,116.25,113.75,110.54186248779297
10-09-1997,112.5,113.75,18110,122.5,120.0,116.61558532714844
11-09-1997,116.25,120.0,16110,140.0,133.75,129.977783203125
12-09-1997,132.5,133.75,16430,150.0,150.0,145.7694854736328
15-09-1997,137.5,150.0,10560,150.0,141.25,137.2662811279297
16-09-1997,141.25,150.0,7320,150.0,145.0,140.91050720214844
