Date,Low,Open,Volume,High,Close,Adjusted Close
28-07-2000,72.0,79.0,513700,80.0,74.25,74.25
31-07-2000,72.0,74.25,319675,74.75,72.0,72.0
01-08-2000,72.0,72.0,167000,84.75,81.5,81.5
02-08-2000,73.5,81.5,99625,81.5,76.5,76.5
03-08-2000,72.0,76.5,16700,76.5,76.0,76.0
04-08-2000,75.0,75.5,95400,76.0,75.5,75.5
07-08-2000,77.5,78.0,70450,80.5,78.0,78.0
08-08-2000,76.5,78.0,51425,78.5,76.5,76.5
09-08-2000,76.5,77.5,12100,78.5,76.5,76.5
10-08-2000,72.5,77.25,9800,77.25,73.5,73.5
11-08-2000,73.0,73.5,34750,74.5,73.25,73.25
14-08-2000,73.25,73.5,13050,74.5,73.25,73.25
15-08-2000,73.25,73.75,22550,74.5,74.5,74.5
16-08-2000,72.0,73.75,66500,74.0,72.0,72.0
17-08-2000,72.0,73.5,67825,73.5,72.0,72.0
18-08-2000,72.0,72.0,14300,73.5,72.0,72.0
21-08-2000,72.0,72.25,16750,72.25,72.25,72.25
22-08-2000,73.5,74.25,71475,75.5,75.5,75.5
23-08-2000,76.75,77.25,25200,79.5,79.0,79.0
24-08-2000,79.0,79.0,4825,79.5,79.0,79.0
25-08-2000,75.0,79.5,52800,80.0,79.0,79.0
28-08-2000,78.5,79.0,14750,85.5,79.0,79.0
29-08-2000,77.0,79.75,38100,79.75,77.5,77.5
30-08-2000,77.0,78.75,63925,81.4375,79.5,79.5
31-08-2000,79.5,81.75,40050,84.0,83.5,83.5
01-09-2000,85.0,85.0,78125,104.0,100.0,100.0
05-09-2000,95.0,98.5,11825,100.0,97.0,97.0
06-09-2000,95.0,95.0,51500,99.0,97.5,97.5
07-09-2000,95.5,97.0,16050,101.0,100.0,100.0
08-09-2000,95.75,97.5,9500,99.5,95.75,95.75
11-09-2000,96.0,97.5,16000,98.0,96.0,96.0
12-09-2000,86.0,96.0,22675,96.0,88.0,88.0
13-09-2000,87.0,87.0,16925,90.5,90.5,90.5
14-09-2000,89.5,91.0,7375,96.0,94.0,94.0
15-09-2000,93.0,96.0,7800,96.0,93.0,93.0
18-09-2000,91.0,94.0,12500,94.25,91.0,91.0
19-09-2000,89.0,91.0,11750,92.0,90.25,90.25
