Date,Low,Open,Volume,High,Close,Adjusted Close
05-05-2000,8.0,8.125,52800.0,9.25,8.5,7.972867965698242
08-05-2000,8.375,8.5,8450.0,8.75,8.375,7.85561990737915
09-05-2000,8.0,8.375,20200.0,8.375,8.25,7.738371849060059
10-05-2000,8.25,8.25,26600.0,9.0,8.28125,7.767683982849121
11-05-2000,8.25,8.28125,26550.0,8.875,8.75,8.207364082336426
12-05-2000,8.25,8.75,7300.0,9.0,9.0,8.44186019897461
15-05-2000,8.0,8.25,15500.0,8.5,8.25,7.738371849060059
16-05-2000,8.125,8.25,17150.0,8.625,8.625,8.090116500854492
17-05-2000,8.375,8.375,14100.0,8.75,8.375,7.85561990737915
18-05-2000,8.375,8.375,6900.0,8.5,8.375,7.85561990737915
19-05-2000,8.1875,8.5,8650.0,8.5,8.25,7.738371849060059
22-05-2000,7.75,8.25,52550.0,8.5,7.75,7.269379615783691
23-05-2000,7.375,7.625,53250.0,7.625,7.375,6.917635440826416
24-05-2000,5.5625,7.375,36000.0,7.375,6.25,5.86240291595459
25-05-2000,6.0,6.0,4900.0,6.0,6.0,5.627906799316406
26-05-2000,5.25,6.0,43450.0,8.0,8.0,7.503875732421875
30-05-2000,5.75,8.25,49550.0,8.25,6.5,6.096899032592773
31-05-2000,5.5,6.0,13250.0,6.0,6.0,5.627906799316406
01-06-2000,5.875,5.875,9100.0,6.25,5.875,5.5106587409973145
02-06-2000,5.5,6.0,17950.0,6.25,5.75,5.393410682678223
05-06-2000,5.5,5.875,5000.0,6.0,5.625,5.276162624359131
06-06-2000,5.5,5.5,3900.0,6.125,5.5,5.158914566040039
07-06-2000,5.375,5.5,5900.0,6.5,6.5,6.096899032592773
08-06-2000,5.5,6.0,15550.0,7.0,5.875,5.5106587409973145
09-06-2000,5.25,6.0,4800.0,6.0,5.375,5.041666507720947
12-06-2000,5.25,5.25,850.0,5.25,5.25,4.9244184494018555
13-06-2000,5.125,5.5,2200.0,5.5,5.125,4.807170391082764
14-06-2000,5.125,5.25,2000.0,5.25,5.125,4.807170391082764
15-06-2000,5.0625,5.125,1350.0,5.25,5.0625,4.748546600341797
16-06-2000,5.0,5.0,7450.0,5.0,5.0,4.689922332763672
19-06-2000,4.5,4.875,13000.0,5.5,5.5,5.158914566040039
20-06-2000,4.25,5.375,14400.0,5.375,4.5,4.220930099487305
21-06-2000,4.0,4.625,3650.0,4.625,4.125,3.8691859245300293
22-06-2000,3.875,4.1875,7300.0,4.1875,4.0,3.7519378662109375
23-06-2000,3.625,4.125,5450.0,4.125,4.0,3.7519378662109375
26-06-2000,4.0,4.0,0.0,4.0,4.0,3.7519378662109375
27-06-2000,3.75,3.75,6000.0,3.75,3.75,3.517441749572754
28-06-2000,4.0,4.125,4500.0,4.125,4.0,3.7519378662109375
29-06-2000,3.875,3.875,4500.0,4.0,4.0,3.7519378662109375
30-06-2000,3.75,3.875,6900.0,3.875,3.875,3.6346898078918457
03-07-2000,3.875,3.875,0.0,3.875,3.875,3.6346898078918457
05-07-2000,3.75,3.75,500.0,3.75,3.75,3.517441749572754
06-07-2000,3.5,3.75,3600.0,3.75,3.65625,3.4295058250427246
07-07-2000,3.65625,3.65625,0.0,3.65625,3.65625,3.4295058250427246
10-07-2000,3.25,3.375,6400.0,3.75,3.625,3.400193691253662
11-07-2000,2.875,3.5,6400.0,3.5,3.25,3.0484495162963867
12-07-2000,3.125,3.75,4250.0,3.75,3.25,3.0484495162963867
13-07-2000,3.0,3.75,14650.0,3.75,3.0,2.813953399658203
14-07-2000,3.25,3.25,22900.0,3.75,3.75,3.517441749572754
17-07-2000,3.75,3.75,200.0,3.75,3.75,3.517441749572754
18-07-2000,3.0,3.5,2700.0,3.5,3.0,2.813953399658203
19-07-2000,2.9375,3.0,350.0,3.0,2.9375,2.7553293704986572
20-07-2000,2.5,2.875,20400.0,2.875,2.6875,2.5208332538604736
21-07-2000,2.5,2.625,19050.0,2.625,2.5,2.344961166381836
24-07-2000,2.25,2.5,12750.0,2.625,2.25,2.1104650497436523
25-07-2000,2.25,2.25,9000.0,2.375,2.25,2.1104650497436523
26-07-2000,2.75,2.75,12050.0,3.75,3.0,2.813953399658203
27-07-2000,3.0,3.5,5750.0,3.5,3.0,2.813953399658203
28-07-2000,2.75,3.375,6050.0,3.375,3.375,3.1656975746154785
31-07-2000,3.5,3.5,100.0,3.5,3.5,3.2829456329345703
01-08-2000,2.125,2.625,26900.0,2.875,2.375,2.227713108062744
02-08-2000,2.125,2.25,19550.0,2.8125,2.125,1.9932169914245605
03-08-2000,2.1875,2.1875,26500.0,3.25,3.25,3.0484495162963867
04-08-2000,2.5,3.0,1650.0,3.0,2.625,2.4622092247009277
07-08-2000,2.375,2.5,4450.0,3.25,3.25,3.0484495162963867
08-08-2000,2.5,3.25,2800.0,3.25,3.0,2.813953399658203
09-08-2000,2.125,3.0,8550.0,3.0,2.375,2.227713108062744
10-08-2000,2.25,2.25,2500.0,2.75,2.75,2.5794572830200195
11-08-2000,2.25,2.375,1450.0,2.375,2.375,2.227713108062744
14-08-2000,2.5,2.5,450.0,2.5,2.5,2.344961166381836
15-08-2000,2.25,2.25,5000.0,2.25,2.25,2.1104650497436523
16-08-2000,2.375,2.875,1850.0,2.875,2.375,2.227713108062744
17-08-2000,2.25,2.375,9350.0,2.75,2.375,2.227713108062744
18-08-2000,2.375,2.375,0.0,2.375,2.375,2.227713108062744
21-08-2000,2.25,2.5,4550.0,2.5,2.25,2.1104650497436523
22-08-2000,2.25,2.3125,5050.0,2.3125,2.25,2.1104650497436523
23-08-2000,2.25,2.25,1750.0,2.25,2.25,2.1104650497436523
24-08-2000,2.625,2.625,250.0,2.625,2.625,2.4622092247009277
25-08-2000,2.375,2.375,4250.0,2.625,2.5,2.344961166381836
28-08-2000,2.125,2.25,13700.0,2.375,2.375,2.227713108062744
29-08-2000,2.3125,2.3125,1550.0,2.3125,2.3125,2.1690890789031982
30-08-2000,2.25,2.25,1800.0,2.25,2.25,2.1104650497436523
31-08-2000,2.25,2.25,800.0,2.25,2.25,2.1104650497436523
01-09-2000,2.25,2.25,0.0,2.25,2.25,2.1104650497436523
05-09-2000,2.25,2.25,0.0,2.25,2.25,2.1104650497436523
06-09-2000,2.25,2.25,650.0,2.3125,2.3125,2.1690890789031982
07-09-2000,2.4375,2.8125,10600.0,2.8125,2.4375,2.28633713722229
08-09-2000,2.375,2.4375,4800.0,2.875,2.375,2.227713108062744
11-09-2000,2.375,2.375,0.0,2.375,2.375,2.227713108062744
12-09-2000,2.5,2.875,7850.0,2.875,2.625,2.4622092247009277
13-09-2000,2.625,3.25,30950.0,3.375,2.875,2.6967053413391113
14-09-2000,3.0,3.0,10900.0,3.25,3.25,3.0484495162963867
15-09-2000,3.0,3.125,4050.0,3.125,3.125,2.931201457977295
18-09-2000,2.5,2.5,1300.0,2.625,2.625,2.4622092247009277
19-09-2000,2.5,2.75,7350.0,2.75,2.625,2.4622092247009277
20-09-2000,2.875,3.25,6950.0,3.25,3.25,3.0484495162963867
21-09-2000,3.0,3.375,10250.0,3.375,3.0,2.813953399658203
22-09-2000,3.0,3.0,400.0,3.0,3.0,2.813953399658203
25-09-2000,3.125,3.125,7100.0,3.375,3.125,2.931201457977295
26-09-2000,2.75,2.75,6400.0,3.0,2.9375,2.7553293704986572
27-09-2000,2.625,2.625,10000.0,2.625,2.625,2.4622092247009277
28-09-2000,2.75,2.75,2350.0,2.875,2.875,2.6967053413391113
29-09-2000,2.625,3.0,5250.0,3.0,2.625,2.4622092247009277
02-10-2000,2.75,2.75,3000.0,3.25,2.875,2.6967053413391113
03-10-2000,2.0,3.375,42850.0,3.375,2.75,2.5794572830200195
04-10-2000,2.5,2.625,8000.0,2.625,2.5,2.344961166381836
