Date,Low,Open,Volume,High,Close,Adjusted Close
20-08-1992,6.5,7.0,940200.0,7.125,7.0,7.0
21-08-1992,6.875,7.0,272100.0,7.125,7.0,7.0
24-08-1992,6.75,7.0,65000.0,7.125,7.0,7.0
25-08-1992,6.75,6.875,30100.0,7.125,6.875,6.875
26-08-1992,6.75,7.0,37700.0,7.0,7.0,7.0
27-08-1992,6.75,7.25,66600.0,7.25,7.25,7.25
28-08-1992,7.0,7.5,12100.0,7.5,7.5,7.5
31-08-1992,7.0,7.125,67900.0,7.375,7.125,7.125
01-09-1992,7.125,7.5,128000.0,7.5,7.5,7.5
02-09-1992,7.0,7.0,132800.0,7.5,7.0,7.0
03-09-1992,7.0,7.125,102800.0,7.375,7.125,7.125
04-09-1992,7.0,7.375,83000.0,7.375,7.375,7.375
08-09-1992,7.125,7.375,124800.0,7.625,7.375,7.375
09-09-1992,7.5,8.125,256800.0,8.125,8.125,8.125
10-09-1992,7.5,7.5,73100.0,8.0,7.5,7.5
11-09-1992,7.5,8.125,120500.0,8.125,8.125,8.125
14-09-1992,7.75,7.875,167200.0,8.5,7.875,7.875
15-09-1992,7.875,7.875,32700.0,8.25,7.875,7.875
16-09-1992,7.75,8.0,97900.0,8.25,8.0,8.0
17-09-1992,7.75,8.25,92300.0,8.375,8.25,8.25
18-09-1992,7.875,8.75,275400.0,9.5,8.75,8.75
21-09-1992,8.625,8.875,112300.0,9.125,8.875,8.875
22-09-1992,8.625,8.625,56700.0,9.125,8.625,8.625
23-09-1992,8.375,8.625,17100.0,9.0,8.625,8.625
24-09-1992,8.375,8.5,11500.0,8.75,8.5,8.5
25-09-1992,8.25,8.375,35800.0,8.75,8.375,8.375
28-09-1992,8.25,8.375,2400.0,8.625,8.375,8.375
29-09-1992,8.375,8.75,36900.0,8.875,8.75,8.75
30-09-1992,8.625,8.75,33300.0,8.875,8.75,8.75
01-10-1992,8.375,8.375,53100.0,8.875,8.375,8.375
02-10-1992,8.25,8.25,38900.0,8.75,8.25,8.25
05-10-1992,7.375,7.75,91100.0,8.5,7.75,7.75
06-10-1992,7.5,7.875,45500.0,7.875,7.875,7.875
07-10-1992,7.5,7.5,10500.0,7.75,7.5,7.5
08-10-1992,7.5,7.75,36100.0,7.75,7.75,7.75
09-10-1992,7.75,8.0,30400.0,8.0,8.0,8.0
12-10-1992,7.75,7.75,10200.0,8.0,7.75,7.75
13-10-1992,7.75,8.0,2200.0,8.0,8.0,8.0
14-10-1992,7.0,7.25,75600.0,7.75,7.25,7.25
15-10-1992,6.625,7.0,122500.0,7.25,7.0,7.0
16-10-1992,7.0,7.25,15900.0,7.375,7.25,7.25
19-10-1992,6.875,7.25,8300.0,7.25,7.25,7.25
20-10-1992,7.125,7.375,16400.0,7.375,7.375,7.375
21-10-1992,7.125,7.25,20400.0,7.5,7.25,7.25
22-10-1992,7.375,7.5,14200.0,7.5,7.5,7.5
23-10-1992,7.25,7.5,11700.0,7.5,7.5,7.5
26-10-1992,7.5,7.75,20000.0,8.0,7.75,7.75
27-10-1992,7.625,7.75,8300.0,8.0,7.75,7.75
28-10-1992,7.625,7.625,11100.0,8.0,7.625,7.625
29-10-1992,7.625,7.875,5300.0,7.875,7.875,7.875
30-10-1992,7.625,7.875,7000.0,7.875,7.875,7.875
02-11-1992,7.5,7.5,14500.0,8.0,7.5,7.5
03-11-1992,7.5,7.5,14500.0,7.875,7.5,7.5
04-11-1992,7.5,7.5,900.0,7.75,7.5,7.5
05-11-1992,7.5,7.5,3500.0,7.75,7.5,7.5
06-11-1992,7.5,7.5,2900.0,7.625,7.5,7.5
09-11-1992,7.5,7.625,32600.0,7.75,7.625,7.625
10-11-1992,7.375,7.625,55700.0,7.625,7.625,7.625
11-11-1992,7.375,7.375,17300.0,7.625,7.375,7.375
12-11-1992,7.375,7.375,10400.0,7.625,7.375,7.375
13-11-1992,7.375,7.375,12200.0,7.625,7.375,7.375
16-11-1992,7.375,7.375,3700.0,7.625,7.375,7.375
17-11-1992,7.375,7.625,43500.0,7.625,7.625,7.625
18-11-1992,7.375,7.5,117000.0,7.625,7.5,7.5
19-11-1992,7.375,7.75,92000.0,7.875,7.75,7.75
20-11-1992,7.5,7.75,53000.0,7.875,7.75,7.75
23-11-1992,7.875,8.375,48100.0,8.375,8.375,8.375
24-11-1992,7.75,7.75,28800.0,8.375,7.75,7.75
25-11-1992,7.75,7.75,11000.0,8.0,7.75,7.75
27-11-1992,7.75,8.125,11500.0,8.125,8.125,8.125
30-11-1992,7.75,8.125,6000.0,8.125,8.125,8.125
01-12-1992,7.75,7.875,10100.0,8.125,7.875,7.875
02-12-1992,7.0,7.25,382000.0,7.875,7.25,7.25
03-12-1992,7.25,7.75,69300.0,8.0,7.75,7.75
04-12-1992,7.5,7.625,3000.0,7.875,7.625,7.625
07-12-1992,7.5,7.5,12900.0,7.875,7.5,7.5
08-12-1992,7.5,7.625,23900.0,7.875,7.625,7.625
09-12-1992,7.5,7.5,32400.0,7.875,7.5,7.5
10-12-1992,7.5,7.5,6900.0,7.875,7.5,7.5
11-12-1992,7.5,7.5,6300.0,7.875,7.5,7.5
14-12-1992,7.5,7.625,18100.0,7.875,7.625,7.625
15-12-1992,7.5,7.75,53700.0,8.0,7.75,7.75
16-12-1992,7.875,7.875,60300.0,8.5,7.875,7.875
17-12-1992,7.875,8.25,1300.0,8.25,8.25,8.25
18-12-1992,8.0,8.0,5200.0,8.25,8.0,8.0
21-12-1992,8.0,8.0,15200.0,8.0,8.0,8.0
22-12-1992,7.75,7.75,7600.0,8.125,7.75,7.75
