Date,Low,Open,Volume,High,Close,Adjusted Close
07-04-1994,4.5625,4.5625,9600,4.5625,4.5625,2.6249072551727295
08-04-1994,4.59375,4.59375,8400,4.59375,4.59375,2.642885446548462
11-04-1994,4.5625,4.5625,75600,4.6875,4.6875,2.696821689605713
12-04-1994,4.5625,4.5625,16000,4.625,4.625,2.660865306854248
13-04-1994,4.625,4.625,0,4.625,4.625,2.660865306854248
14-04-1994,4.75,4.75,1200,4.75,4.75,2.7327795028686523
15-04-1994,4.53125,4.5625,168400,4.625,4.625,2.660865306854248
18-04-1994,4.53125,4.5625,120400,4.75,4.5625,2.6249072551727295
19-04-1994,4.6875,4.6875,400,4.6875,4.6875,2.696821689605713
20-04-1994,4.75,4.75,3200,4.75,4.75,2.7327795028686523
21-04-1994,4.625,4.625,16800,4.75,4.75,2.7327795028686523
22-04-1994,4.625,4.625,2000,4.75,4.75,2.7327795028686523
25-04-1994,4.75,4.75,2000,4.75,4.75,2.7327795028686523
26-04-1994,4.75,4.75,2000,4.875,4.875,2.8046951293945312
28-04-1994,4.6875,4.875,2000,4.875,4.6875,2.696821689605713
29-04-1994,4.6875,4.6875,19600,5.0625,4.8125,2.768738031387329
02-05-1994,5.0,5.0,2000,5.0,5.0,2.8766119480133057
03-05-1994,4.75,4.75,39600,5.0625,5.0625,2.9125685691833496
04-05-1994,4.8125,5.0625,19600,5.0625,4.9375,2.8406519889831543
05-05-1994,5.0625,5.0625,2800,5.0625,5.0625,2.9125685691833496
06-05-1994,4.875,5.0625,8400,5.0625,4.875,2.8046951293945312
09-05-1994,4.875,5.0625,34000,5.0625,5.0625,2.9125685691833496
10-05-1994,5.0,5.0,66800,5.5,5.5,3.164271354675293
11-05-1994,5.25,5.25,14000,5.5625,5.25,3.0204410552978516
12-05-1994,5.25,5.25,40400,5.625,5.625,3.2361860275268555
13-05-1994,5.3125,5.625,14800,5.625,5.3125,3.0563971996307373
16-05-1994,5.3125,5.4375,17600,5.4375,5.4375,3.12831449508667
17-05-1994,5.3125,5.3125,37200,5.5,5.5,3.164271354675293
18-05-1994,5.3125,5.3125,27200,5.5,5.34375,3.0743775367736816
19-05-1994,5.4375,5.5625,49600,5.625,5.59375,3.2182087898254395
20-05-1994,5.5625,5.75,103200,6.25,6.0,3.451931953430176
23-05-1994,6.0,6.25,30400,6.4375,6.125,3.523847818374634
24-05-1994,6.25,6.375,54800,6.75,6.75,3.88342547416687
25-05-1994,6.625,6.625,82400,7.0,6.75,3.88342547416687
26-05-1994,6.75,6.875,30800,7.125,6.75,3.88342547416687
27-05-1994,6.75,6.9375,20800,7.0,6.9375,3.9912948608398438
31-05-1994,6.75,7.0,7600,7.0625,7.0625,4.063211917877197
01-06-1994,6.875,7.0625,30000,7.0625,6.875,3.955339193344116
02-06-1994,6.875,6.875,16000,7.0,6.875,3.955339193344116
03-06-1994,6.875,6.875,24400,7.0,7.0,4.0272536277771
06-06-1994,6.75,6.75,14000,7.0,6.875,3.955339193344116
07-06-1994,6.75,7.0,7600,7.0,7.0,4.0272536277771
08-06-1994,6.75,6.75,27600,7.0,6.75,3.88342547416687
09-06-1994,6.625,6.6875,3200,6.6875,6.625,3.8115077018737793
10-06-1994,6.625,6.625,44800,6.8125,6.75,3.88342547416687
13-06-1994,6.625,6.875,9200,6.875,6.875,3.955339193344116
