Date,Low,Open,Volume,High,Close,Adjusted Close
03-01-1989,1.75,0.0,13700,1.875,1.75,1.75
04-01-1989,1.875,0.0,16600,2.0,1.875,1.875
05-01-1989,2.0,0.0,3000,2.0625,2.0,2.0
06-01-1989,2.1875,0.0,40000,2.3125,2.1875,2.1875
09-01-1989,2.25,0.0,13700,2.375,2.25,2.25
10-01-1989,2.4375,0.0,37400,2.5625,2.4375,2.4375
11-01-1989,2.3125,0.0,26600,2.4375,2.3125,2.3125
12-01-1989,2.3125,0.0,14500,2.375,2.3125,2.3125
13-01-1989,2.3125,0.0,21300,2.375,2.3125,2.3125
16-01-1989,2.3125,0.0,7900,2.375,2.3125,2.3125
17-01-1989,2.125,0.0,15000,2.25,2.125,2.125
18-01-1989,2.125,0.0,4700,2.1875,2.125,2.125
19-01-1989,1.8125,0.0,20500,2.0,1.8125,1.8125
20-01-1989,1.8125,0.0,6000,1.9375,1.8125,1.8125
23-01-1989,1.8125,0.0,5000,1.9375,1.8125,1.8125
24-01-1989,1.875,0.0,12000,2.0,1.875,1.875
25-01-1989,2.125,0.0,36400,2.375,2.125,2.125
26-01-1989,2.125,0.0,37300,2.375,2.125,2.125
27-01-1989,2.125,0.0,6500,2.3125,2.125,2.125
30-01-1989,2.125,0.0,14800,2.25,2.125,2.125
31-01-1989,2.125,0.0,1500,2.1875,2.125,2.125
01-02-1989,2.125,0.0,22600,2.25,2.125,2.125
02-02-1989,1.9375,0.0,15900,2.125,1.9375,1.9375
03-02-1989,1.9375,0.0,5000,2.0,1.9375,1.9375
06-02-1989,1.9375,0.0,20500,2.125,1.9375,1.9375
07-02-1989,1.9375,0.0,21800,2.0625,1.9375,1.9375
08-02-1989,1.9375,0.0,16000,2.0625,1.9375,1.9375
09-02-1989,1.9375,0.0,6200,2.0625,1.9375,1.9375
10-02-1989,1.9375,0.0,8500,2.0625,1.9375,1.9375
13-02-1989,1.875,0.0,21500,1.9375,1.875,1.875
14-02-1989,1.875,1.875,0,1.875,1.875,1.875
15-02-1989,1.875,1.875,0,1.875,1.875,1.875
16-02-1989,1.875,0.0,3000,1.9375,1.875,1.875
17-02-1989,1.875,0.0,2500,2.0,1.875,1.875
21-02-1989,1.875,0.0,6500,2.0,1.875,1.875
22-02-1989,1.875,0.0,6100,2.0,1.875,1.875
23-02-1989,1.8125,0.0,31800,1.9375,1.8125,1.8125
24-02-1989,1.8125,0.0,2000,1.9375,1.8125,1.8125
27-02-1989,1.5625,0.0,13300,1.6875,1.5625,1.5625
28-02-1989,1.5625,1.5625,0,1.5625,1.5625,1.5625
01-03-1989,1.5625,0.0,8100,1.6875,1.5625,1.5625
02-03-1989,1.625,0.0,11000,1.8125,1.625,1.625
03-03-1989,1.625,0.0,2900,1.8125,1.625,1.625
06-03-1989,1.625,0.0,1900,1.8125,1.625,1.625
07-03-1989,1.625,0.0,800,1.75,1.625,1.625
08-03-1989,1.5625,0.0,12000,1.6875,1.5625,1.5625
09-03-1989,1.5625,0.0,5000,1.6875,1.5625,1.5625
10-03-1989,1.5625,0.0,19000,1.6875,1.5625,1.5625
13-03-1989,1.5625,0.0,8000,1.75,1.5625,1.5625
14-03-1989,1.625,0.0,6000,1.8125,1.625,1.625
15-03-1989,1.5625,0.0,5300,1.75,1.5625,1.5625
16-03-1989,1.5625,0.0,2600,1.75,1.5625,1.5625
17-03-1989,1.5625,0.0,7000,1.6875,1.5625,1.5625
20-03-1989,1.5,0.0,8900,1.625,1.5,1.5
21-03-1989,1.5,0.0,3300,1.625,1.5,1.5
22-03-1989,1.5,0.0,6600,1.625,1.5,1.5
