Date,Low,Open,Volume,High,Close,Adjusted Close
17-12-1996,3300.0,3600.0,199,4200.0,3300.0,3300.0
18-12-1996,3300.0,3300.0,135,3575.0,3400.0,3400.0
19-12-1996,3400.0,3400.0,51,3400.0,3400.0,3400.0
20-12-1996,3400.0,3500.0,43,3500.0,3450.0,3450.0
23-12-1996,3400.0,3500.0,32,3500.0,3450.0,3450.0
24-12-1996,3300.0,3450.0,18,3500.0,3475.0,3475.0
26-12-1996,3400.0,3450.0,38,3500.0,3500.0,3500.0
27-12-1996,3450.0,3450.0,185,4350.0,4000.0,4000.0
30-12-1996,4000.0,4025.0,152,4800.0,4800.0,4800.0
31-12-1996,4500.0,4950.0,53,4975.0,4750.0,4750.0
02-01-1997,4125.0,4550.0,56,4750.0,4350.0,4350.0
03-01-1997,4200.0,4200.0,20,4400.0,4250.0,4250.0
06-01-1997,4250.0,4250.0,15,4500.0,4250.0,4250.0
07-01-1997,4250.0,4250.0,15,4475.0,4400.0,4400.0
08-01-1997,4200.0,4375.0,50,4375.0,4200.0,4200.0
09-01-1997,4250.0,4250.0,53,4375.0,4300.0,4300.0
10-01-1997,4350.0,4375.0,70,4500.0,4500.0,4500.0
13-01-1997,4400.0,4500.0,69,4800.0,4800.0,4800.0
14-01-1997,4700.0,4700.0,177,5775.0,5600.0,5600.0
15-01-1997,5300.0,5800.0,50,5800.0,5500.0,5500.0
16-01-1997,5500.0,5700.0,45,5800.0,5800.0,5800.0
17-01-1997,5300.0,5800.0,35,5800.0,5500.0,5500.0
20-01-1997,5400.0,5500.0,27,5800.0,5650.0,5650.0
21-01-1997,5500.0,5500.0,5,5700.0,5700.0,5700.0
22-01-1997,5300.0,5500.0,36,5600.0,5300.0,5300.0
23-01-1997,4800.0,5300.0,42,5400.0,5400.0,5400.0
24-01-1997,5200.0,5400.0,78,5600.0,5600.0,5600.0
27-01-1997,5500.0,5800.0,33,5800.0,5500.0,5500.0
28-01-1997,5500.0,5750.0,14,5750.0,5500.0,5500.0
29-01-1997,5400.0,5500.0,17,5600.0,5400.0,5400.0
30-01-1997,5300.0,5400.0,5,5400.0,5300.0,5300.0
31-01-1997,5300.0,5400.0,21,5400.0,5300.0,5300.0
03-02-1997,5200.0,5300.0,52,5500.0,5300.0,5300.0
04-02-1997,5200.0,5300.0,15,5400.0,5300.0,5300.0
05-02-1997,5300.0,5400.0,48,5600.0,5400.0,5400.0
06-02-1997,5400.0,5400.0,1,5400.0,5400.0,5400.0
07-02-1997,5400.0,5600.0,33,5600.0,5400.0,5400.0
10-02-1997,4800.0,5600.0,102,5600.0,5400.0,5400.0
11-02-1997,5400.0,5400.0,30,5700.0,5500.0,5500.0
12-02-1997,5400.0,5600.0,80,5700.0,5400.0,5400.0
