Date,Low,Open,Volume,High,Close,Adjusted Close
19-09-1997,15.125,16.125,3815400,16.125,15.75,14.365523338317871
22-09-1997,15.375,15.875,560500,16.0,15.625,14.251509666442871
23-09-1997,15.375,15.875,190800,16.0,15.625,14.251509666442871
24-09-1997,15.0,15.625,457300,15.875,15.375,14.02348518371582
25-09-1997,15.25,15.375,274800,15.625,15.5625,14.194504737854004
26-09-1997,15.25,15.625,286700,15.625,15.375,14.02348518371582
29-09-1997,14.0,15.125,295500,15.125,14.125,12.883368492126465
30-09-1997,14.0,14.0,246200,14.5,14.5,13.225403785705566
01-10-1997,14.0,14.5,296200,14.5,14.0,12.769353866577148
02-10-1997,13.875,14.25,379600,14.25,14.0,12.769353866577148
03-10-1997,14.0,14.25,367500,14.25,14.25,12.997376441955566
06-10-1997,14.0,14.125,111100,14.125,14.125,12.883368492126465
07-10-1997,14.0,14.0625,134500,14.1875,14.0625,12.8263578414917
08-10-1997,14.0625,14.0625,76700,14.5,14.25,12.997376441955566
09-10-1997,14.0,14.1875,241400,14.25,14.125,12.883368492126465
10-10-1997,13.75,14.0,310300,14.125,13.75,12.541330337524414
13-10-1997,12.875,13.75,217400,13.75,13.375,12.199295043945312
14-10-1997,7.4375,8.0,4399800,8.25,7.53125,6.869228363037109
15-10-1997,6.875,7.5625,1079200,7.625,7.0,6.384676933288574
16-10-1997,6.25,7.0,699800,7.0625,6.625,6.04263973236084
17-10-1997,6.125,6.375,173300,6.5625,6.375,5.8146162033081055
20-10-1997,6.375,6.375,244000,6.75,6.5,5.928629398345947
21-10-1997,6.5,6.625,418000,7.125,6.625,6.04263973236084
22-10-1997,6.4375,6.625,256900,6.75,6.4375,5.871622085571289
23-10-1997,5.9375,5.9375,135700,6.5,6.1875,5.643598556518555
24-10-1997,6.0625,6.1875,118500,6.4375,6.375,5.8146162033081055
27-10-1997,5.125,6.125,302300,6.375,5.125,4.674494743347168
28-10-1997,4.5,4.6875,410400,6.0,5.625,5.130542755126953
29-10-1997,5.5,5.75,43600,5.75,5.5625,5.073538303375244
30-10-1997,5.375,5.5,163000,6.1875,6.1875,5.643598556518555
31-10-1997,5.96875,6.1875,59100,6.25,6.0,5.4725799560546875
03-11-1997,6.0,6.1875,42700,6.25,6.125,5.586592674255371
04-11-1997,5.875,6.125,73100,6.1875,5.9375,5.415574073791504
05-11-1997,5.875,5.875,47300,6.25,6.0,5.4725799560546875
06-11-1997,6.0,6.125,111600,6.875,6.625,6.04263973236084
07-11-1997,6.25,6.5,57700,6.625,6.5,5.928629398345947
10-11-1997,6.0,6.625,61600,6.625,6.0,5.4725799560546875
11-11-1997,6.0,6.125,8700,6.125,6.125,5.586592674255371
