Date,Low,Open,Volume,High,Close,Adjusted Close
01-10-2003,2800.0,3800.0,3,3800.0,3400.0,3400.0
02-10-2003,3400.0,3400.0,0,3400.0,3400.0,3400.0
03-10-2003,2400.0,2600.0,2,3000.0,2600.0,2600.0
06-10-2003,2000.0,2400.0,2,2600.0,2200.0,2200.0
07-10-2003,2600.0,2600.0,0,2600.0,2600.0,2600.0
08-10-2003,1600.0,1800.0,6,2000.0,1800.0,1800.0
09-10-2003,1600.0,1600.0,3,1800.0,1800.0,1800.0
10-10-2003,2000.0,2000.0,0,2000.0,2000.0,2000.0
13-10-2003,1800.0,2000.0,6,2000.0,2000.0,2000.0
14-10-2003,2600.0,3000.0,4,3000.0,2800.0,2800.0
15-10-2003,2800.0,2800.0,0,2800.0,2800.0,2800.0
16-10-2003,2000.0,2000.0,0,2600.0,2600.0,2600.0
17-10-2003,1800.0,2000.0,1,2000.0,1800.0,1800.0
20-10-2003,1800.0,1800.0,1,2200.0,2200.0,2200.0
21-10-2003,2000.0,2000.0,2,2200.0,2000.0,2000.0
22-10-2003,2000.0,2000.0,0,2000.0,2000.0,2000.0
23-10-2003,2000.0,2000.0,0,2000.0,2000.0,2000.0
24-10-2003,2000.0,2000.0,0,2000.0,2000.0,2000.0
27-10-2003,2000.0,2000.0,0,2200.0,2200.0,2200.0
28-10-2003,2200.0,2200.0,0,2200.0,2200.0,2200.0
29-10-2003,2200.0,2200.0,0,2200.0,2200.0,2200.0
30-10-2003,1800.0,2400.0,8,2400.0,2000.0,2000.0
31-10-2003,1800.0,1800.0,0,1800.0,1800.0,1800.0
03-11-2003,2000.0,2200.0,1,2200.0,2200.0,2200.0
04-11-2003,2400.0,2400.0,9,2600.0,2400.0,2400.0
05-11-2003,2600.0,2600.0,5,3200.0,3200.0,3200.0
06-11-2003,2600.0,3200.0,4,3600.0,3400.0,3400.0
07-11-2003,3400.0,3400.0,11,4000.0,3600.0,3600.0
10-11-2003,3400.0,3400.0,3,3600.0,3600.0,3600.0
11-11-2003,3600.0,3600.0,0,3600.0,3600.0,3600.0
12-11-2003,3700.0,3700.0,0,3700.0,3700.0,3700.0
13-11-2003,2200.0,2200.0,2,3700.0,3700.0,3700.0
14-11-2003,3700.0,3700.0,1,3700.0,3700.0,3700.0
17-11-2003,3700.0,3700.0,0,3700.0,3700.0,3700.0
18-11-2003,2300.0,2300.0,0,3500.0,3500.0,3500.0
19-11-2003,2400.0,3500.0,5,3500.0,3200.0,3200.0
20-11-2003,2500.0,2500.0,0,2800.0,2800.0,2800.0
21-11-2003,2500.0,2500.0,1,2800.0,2760.0,2760.0
24-11-2003,2800.0,2800.0,7,3200.0,3100.0,3100.0
25-11-2003,3200.0,3400.0,6,3500.0,3500.0,3500.0
26-11-2003,2600.0,3500.0,11,3500.0,3300.0,3300.0
28-11-2003,2600.0,2600.0,2,2800.0,2800.0,2800.0
01-12-2003,2600.0,2700.0,5,3000.0,2600.0,2600.0
02-12-2003,2600.0,2600.0,0,3000.0,3000.0,3000.0
03-12-2003,2900.0,2900.0,0,2900.0,2900.0,2900.0
04-12-2003,2600.0,2620.0,3,2800.0,2620.0,2620.0
05-12-2003,2500.0,2800.0,7,2800.0,2680.0,2680.0
08-12-2003,2560.0,2700.0,2,2700.0,2600.0,2600.0
09-12-2003,2560.0,2600.0,7,2800.0,2800.0,2800.0
10-12-2003,2560.0,2700.0,6,2700.0,2560.0,2560.0
11-12-2003,2560.0,2560.0,1,2560.0,2560.0,2560.0
12-12-2003,2600.0,2600.0,0,2600.0,2600.0,2600.0
15-12-2003,2200.0,2600.0,3,2600.0,2600.0,2600.0
16-12-2003,2200.0,2600.0,1,2600.0,2600.0,2600.0
17-12-2003,2200.0,2200.0,10,2600.0,2600.0,2600.0
18-12-2003,2400.0,2600.0,9,2600.0,2400.0,2400.0
19-12-2003,2200.0,2600.0,7,2600.0,2400.0,2400.0
22-12-2003,2300.0,2440.0,8,2440.0,2400.0,2400.0
23-12-2003,1500.0,2240.0,45,2400.0,1700.0,1700.0
24-12-2003,1540.0,1540.0,8,1800.0,1700.0,1700.0
26-12-2003,1700.0,1700.0,0,1700.0,1700.0,1700.0
29-12-2003,2060.0,2060.0,2,2200.0,2200.0,2200.0
30-12-2003,1820.0,2400.0,1,2400.0,1820.0,1820.0
31-12-2003,1820.0,1820.0,0,1820.0,1820.0,1820.0
02-01-2004,1700.0,1700.0,0,1700.0,1700.0,1700.0
05-01-2004,1800.0,1800.0,1,2100.0,2100.0,2100.0
06-01-2004,2100.0,2100.0,31,2440.0,2300.0,2300.0
07-01-2004,2280.0,2400.0,31,2700.0,2500.0,2500.0
08-01-2004,2400.0,2700.0,23,2700.0,2500.0,2500.0
