Date,Low,Open,Volume,High,Close,Adjusted Close
13-10-1995,7.0,7.0,286500,9.25,8.75,8.418262481689453
16-10-1995,8.5,9.25,377050,10.5,10.0,9.620871543884277
17-10-1995,8.75,10.5,135000,10.5,9.75,9.380351066589355
18-10-1995,8.4375,9.75,93300,9.75,9.0,8.658784866333008
19-10-1995,8.75,9.125,34500,9.25,9.0,8.658784866333008
20-10-1995,8.875,9.125,30350,9.125,8.875,8.538524627685547
23-10-1995,8.625,8.625,15800,9.0,8.625,8.298003196716309
24-10-1995,8.5,8.75,49950,8.875,8.625,8.298003196716309
25-10-1995,8.25,8.625,50750,8.75,8.25,7.937220096588135
26-10-1995,7.375,8.5,46600,8.5,7.375,7.095393657684326
27-10-1995,7.375,7.75,23750,8.0,7.75,7.456176280975342
30-10-1995,7.75,8.0,35400,8.375,8.125,7.816957950592041
31-10-1995,8.0,8.375,16250,8.375,8.0,7.696696758270264
01-11-1995,7.75,8.25,4350,8.25,8.125,7.816957950592041
02-11-1995,7.75,7.75,21050,8.125,8.125,7.816957950592041
03-11-1995,7.75,8.125,21350,8.125,7.875,7.576436996459961
06-11-1995,7.875,8.125,7850,8.125,7.875,7.576436996459961
07-11-1995,7.875,8.125,5350,8.125,7.875,7.576436996459961
08-11-1995,7.875,8.125,7500,8.125,7.875,7.576436996459961
09-11-1995,7.875,7.875,2800,8.125,7.875,7.576436996459961
10-11-1995,7.75,7.875,21200,8.125,8.125,7.816957950592041
13-11-1995,7.75,7.75,8200,8.125,7.875,7.576436996459961
14-11-1995,7.75,8.125,9550,8.125,8.125,7.816957950592041
15-11-1995,7.75,8.125,12900,8.125,7.75,7.456176280975342
16-11-1995,7.75,7.75,5450,8.0,7.75,7.456176280975342
17-11-1995,7.75,7.75,2150,8.0,8.0,7.696696758270264
20-11-1995,7.75,7.75,7000,8.0,8.0,7.696696758270264
21-11-1995,7.625,7.75,14600,8.0,7.625,7.335915565490723
22-11-1995,7.5,8.0,16850,8.0,8.0,7.696696758270264
24-11-1995,7.625,8.0,11000,8.0,8.0,7.696696758270264
27-11-1995,7.625,7.625,12700,8.125,8.125,7.816957950592041
28-11-1995,7.75,8.125,5650,8.125,7.75,7.456176280975342
29-11-1995,7.75,7.75,12100,8.125,8.0,7.696696758270264
30-11-1995,7.75,7.75,13150,8.125,8.125,7.816957950592041
01-12-1995,7.875,8.125,20050,8.125,8.125,7.816957950592041
04-12-1995,7.875,8.125,4500,8.125,8.125,7.816957950592041
05-12-1995,7.875,8.125,19150,8.125,7.875,7.576436996459961
06-12-1995,7.875,8.125,45850,8.125,7.875,7.576436996459961
07-12-1995,7.875,7.875,11750,8.125,8.0,7.696696758270264
08-12-1995,7.875,7.875,14500,8.125,7.875,7.576436996459961
11-12-1995,7.875,7.875,5000,8.125,8.0,7.696696758270264
12-12-1995,7.875,7.875,5500,8.0625,8.0625,7.756829738616943
13-12-1995,7.875,8.0625,18850,8.125,7.9375,7.636567115783691
14-12-1995,7.9375,7.9375,29400,8.25,8.25,7.937220096588135
15-12-1995,8.0,8.375,12500,8.375,8.0,7.696696758270264
18-12-1995,8.0,8.0,10800,8.375,8.0,7.696696758270264
19-12-1995,7.875,8.0,16400,8.375,7.875,7.576436996459961
20-12-1995,7.75,7.75,6050,8.375,7.75,7.456176280975342
21-12-1995,7.75,7.75,11350,8.375,8.375,8.057480812072754
22-12-1995,7.75,7.75,2400,8.375,8.375,8.057480812072754
26-12-1995,7.75,7.75,9950,8.5,8.375,8.057480812072754
27-12-1995,8.0,8.375,8000,8.5,8.25,7.937220096588135
28-12-1995,8.0,8.25,6950,8.5,8.125,7.816957950592041
29-12-1995,7.875,8.125,20800,8.125,7.875,7.576436996459961
02-01-1996,7.875,7.875,2800,7.9375,7.875,7.576436996459961
03-01-1996,7.875,7.875,10300,7.9375,7.875,7.576436996459961
04-01-1996,7.875,7.875,7450,7.9375,7.875,7.576436996459961
05-01-1996,7.875,7.875,43650,8.625,8.5,8.177742958068848
08-01-1996,8.125,8.375,10150,8.375,8.25,7.937220096588135
09-01-1996,8.25,8.625,47500,8.875,8.875,8.538524627685547
10-01-1996,8.625,8.875,31950,9.0,8.9375,8.598655700683594
11-01-1996,8.75,9.0,28000,9.75,9.75,9.380351066589355
12-01-1996,9.125,9.75,16500,9.75,9.125,8.779047966003418
15-01-1996,9.125,9.75,6000,9.75,9.125,8.779047966003418
16-01-1996,9.0,9.125,14500,9.625,9.5,9.13983154296875
17-01-1996,9.0,9.5,5800,9.5,9.0,8.658784866333008
18-01-1996,9.0,9.0,27500,9.75,9.0,8.658784866333008
19-01-1996,9.0,9.0,9100,9.75,9.0,8.658784866333008
22-01-1996,9.0,9.75,12100,9.875,9.875,9.50061321258545
23-01-1996,9.0,9.875,32600,9.875,9.0,8.658784866333008
24-01-1996,9.0,9.75,11900,9.875,9.125,8.779047966003418
25-01-1996,9.125,9.5,7450,9.5,9.125,8.779047966003418
26-01-1996,9.125,9.125,6350,9.75,9.125,8.779047966003418
29-01-1996,9.125,9.125,4050,9.75,9.125,8.779047966003418
30-01-1996,9.125,9.75,2150,9.75,9.125,8.779047966003418
31-01-1996,9.125,9.75,11350,9.75,9.5,9.13983154296875
01-02-1996,9.125,9.125,9050,9.5,9.125,8.779047966003418
02-02-1996,9.125,9.5,500,9.5,9.125,8.779047966003418
05-02-1996,9.125,9.125,7750,9.25,9.25,8.899306297302246
06-02-1996,9.125,9.5,3200,9.5,9.5,9.13983154296875
07-02-1996,9.125,9.125,8900,9.5,9.125,8.779047966003418
08-02-1996,9.125,9.5,10200,9.5,9.5,9.13983154296875
09-02-1996,9.125,9.5,12950,9.5,9.5,9.13983154296875
12-02-1996,9.125,9.125,14700,9.5,9.5,9.13983154296875
13-02-1996,9.125,9.5,63200,9.875,9.875,9.50061321258545
14-02-1996,9.5,9.875,64300,10.0,10.0,9.620871543884277
15-02-1996,9.625,10.0,23600,10.0,9.625,9.260089874267578
16-02-1996,9.75,10.0,27500,10.125,10.125,9.741134643554688
20-02-1996,9.5,10.25,38400,10.25,9.75,9.380351066589355
21-02-1996,9.125,9.5,10750,9.75,9.5,9.13983154296875
22-02-1996,9.125,9.375,16400,9.5,9.25,8.899306297302246
23-02-1996,9.25,9.5,9350,9.5,9.5,9.13983154296875
26-02-1996,9.25,9.25,17050,9.375,9.375,9.019567489624023
27-02-1996,9.25,9.375,7050,9.375,9.375,9.019567489624023
28-02-1996,9.25,9.25,4550,9.375,9.375,9.019567489624023
29-02-1996,9.25,9.25,2800,9.5,9.5,9.13983154296875
01-03-1996,9.25,9.5,10450,9.5,9.25,8.899306297302246
04-03-1996,9.25,9.25,2200,9.5,9.25,8.899306297302246
05-03-1996,9.25,9.25,9150,9.5,9.25,8.899306297302246
06-03-1996,9.25,9.25,3250,9.5,9.25,8.899306297302246
07-03-1996,9.25,9.25,3900,9.5,9.5,9.13983154296875
08-03-1996,9.25,9.25,8150,9.5,9.25,8.899306297302246
11-03-1996,9.25,9.25,4400,9.375,9.25,8.899306297302246
12-03-1996,9.25,9.25,5200,9.375,9.25,8.899306297302246
13-03-1996,9.0,9.25,15300,9.375,9.0,8.658784866333008
14-03-1996,9.0,9.0,5800,9.375,9.0,8.658784866333008
15-03-1996,9.0,9.0,5650,9.375,9.375,9.019567489624023
18-03-1996,9.0,9.0,9800,9.375,9.0,8.658784866333008
19-03-1996,9.0,9.0,3350,9.375,9.0,8.658784866333008
20-03-1996,9.0,9.375,1150,9.375,9.375,9.019567489624023
21-03-1996,9.0,9.0,8550,9.375,9.0,8.658784866333008
22-03-1996,9.0,9.0,12700,9.375,9.0,8.658784866333008
25-03-1996,9.125,9.25,15600,9.375,9.125,8.779047966003418
26-03-1996,9.0,9.125,24600,9.25,9.0,8.658784866333008
27-03-1996,9.0,9.0,16050,9.25,9.0,8.658784866333008
28-03-1996,8.75,9.25,70500,9.25,9.125,8.779047966003418
29-03-1996,8.875,9.125,49250,9.125,9.0,8.658784866333008
01-04-1996,9.0,9.125,5700,9.125,9.0,8.658784866333008
02-04-1996,8.875,9.0,12100,9.0,8.875,8.538524627685547
03-04-1996,8.875,8.875,13350,9.0,8.875,8.538524627685547
04-04-1996,8.875,8.875,3450,8.875,8.875,8.538524627685547
08-04-1996,8.875,8.875,5850,9.125,8.875,8.538524627685547
09-04-1996,8.875,8.875,9300,9.125,9.125,8.779047966003418
10-04-1996,8.875,8.875,5600,9.125,8.875,8.538524627685547
11-04-1996,8.875,8.875,17450,9.125,8.875,8.538524627685547
12-04-1996,8.875,8.875,8550,9.125,8.875,8.538524627685547
15-04-1996,8.875,8.875,14350,9.125,9.0,8.658784866333008
16-04-1996,8.875,9.0,9200,9.0,8.875,8.538524627685547
17-04-1996,8.875,8.875,38650,9.25,9.25,8.899306297302246
18-04-1996,9.0,9.25,15050,9.25,9.0,8.658784866333008
