Date,Low,Open,Volume,High,Close,Adjusted Close
25-04-2013,4.75,4.75,405,4.75,4.75,4.75
26-04-2013,4.75,4.75,0,4.75,4.75,4.75
29-04-2013,4.75,4.75,0,4.75,4.75,4.75
30-04-2013,4.75,4.75,0,4.75,4.75,4.75
01-05-2013,4.75,4.75,0,4.75,4.75,4.75
02-05-2013,4.75,4.75,0,4.75,4.75,4.75
03-05-2013,4.75,4.75,0,4.75,4.75,4.75
06-05-2013,4.75,4.75,0,4.75,4.75,4.75
07-05-2013,4.75,4.75,0,4.75,4.75,4.75
08-05-2013,4.75,4.75,0,4.75,4.75,4.75
09-05-2013,4.75,4.75,0,4.75,4.75,4.75
10-05-2013,4.75,4.75,0,4.75,4.75,4.75
13-05-2013,4.75,4.75,0,4.75,4.75,4.75
14-05-2013,4.75,4.75,0,4.75,4.75,4.75
15-05-2013,4.75,4.75,0,4.75,4.75,4.75
16-05-2013,4.75,4.75,0,4.75,4.75,4.75
17-05-2013,4.75,4.75,0,4.75,4.75,4.75
20-05-2013,4.75,4.75,0,4.75,4.75,4.75
21-05-2013,4.75,4.75,0,4.75,4.75,4.75
22-05-2013,4.75,4.75,0,4.75,4.75,4.75
23-05-2013,4.75,4.75,0,4.75,4.75,4.75
24-05-2013,4.75,4.75,0,4.75,4.75,4.75
28-05-2013,4.75,4.75,0,4.75,4.75,4.75
29-05-2013,4.75,4.75,0,4.75,4.75,4.75
30-05-2013,4.75,4.75,0,4.75,4.75,4.75
31-05-2013,4.75,4.75,0,4.75,4.75,4.75
03-06-2013,4.75,4.75,0,4.75,4.75,4.75
04-06-2013,4.75,4.75,0,4.75,4.75,4.75
05-06-2013,4.5,4.75,1400,4.75,4.5,4.5
06-06-2013,4.5,4.5,0,4.5,4.5,4.5
07-06-2013,4.5,4.5,0,4.5,4.5,4.5
10-06-2013,4.5,4.5,0,4.5,4.5,4.5
11-06-2013,4.5,4.5,0,4.5,4.5,4.5
12-06-2013,4.5,4.5,0,4.5,4.5,4.5
13-06-2013,4.5,4.5,0,4.5,4.5,4.5
14-06-2013,4.5,4.5,0,4.5,4.5,4.5
17-06-2013,4.5,4.5,0,4.5,4.5,4.5
18-06-2013,4.5,4.5,0,4.5,4.5,4.5
19-06-2013,4.5,4.5,0,4.5,4.5,4.5
20-06-2013,4.5,4.5,0,4.5,4.5,4.5
21-06-2013,4.5,4.5,0,4.5,4.5,4.5
24-06-2013,4.5,4.5,0,4.5,4.5,4.5
25-06-2013,4.5,4.5,0,4.5,4.5,4.5
26-06-2013,4.5,4.5,0,4.5,4.5,4.5
27-06-2013,2.75,2.75,400,2.75,2.75,2.75
28-06-2013,2.75,2.75,0,2.75,2.75,2.75
01-07-2013,2.75,2.75,0,2.75,2.75,2.75
02-07-2013,2.75,2.75,0,2.75,2.75,2.75
03-07-2013,2.75,2.75,0,2.75,2.75,2.75
05-07-2013,2.75,2.75,0,2.75,2.75,2.75
08-07-2013,2.75,2.75,0,2.75,2.75,2.75
09-07-2013,2.75,2.75,0,2.75,2.75,2.75
10-07-2013,2.75,2.75,0,2.75,2.75,2.75
11-07-2013,2.75,2.75,0,2.75,2.75,2.75
12-07-2013,2.75,2.75,0,2.75,2.75,2.75
15-07-2013,2.75,2.75,0,2.75,2.75,2.75
