Date,Low,Open,Volume,High,Close,Adjusted Close
07-12-1992,33.0,33.0,83,33.0,33.0,30.29549217224121
08-12-1992,21.0,21.0,17,21.0,21.0,19.278945922851562
09-12-1992,21.0,21.0,0,21.0,21.0,19.278945922851562
10-12-1992,21.0,21.0,0,21.0,21.0,19.278945922851562
11-12-1992,21.0,21.0,0,21.0,21.0,19.278945922851562
14-12-1992,27.0,27.0,117,27.0,27.0,24.787221908569336
15-12-1992,27.0,27.0,0,27.0,27.0,24.787221908569336
16-12-1992,27.0,27.0,50,27.0,27.0,24.787221908569336
17-12-1992,27.0,27.0,0,27.0,27.0,24.787221908569336
18-12-1992,21.0,21.0,83,24.0,24.0,22.0330867767334
21-12-1992,21.0,21.0,50,21.0,21.0,19.278945922851562
22-12-1992,21.0,21.0,17,21.0,21.0,19.278945922851562
23-12-1992,21.0,21.0,0,21.0,21.0,19.278945922851562
24-12-1992,21.0,21.0,0,21.0,21.0,19.278945922851562
28-12-1992,24.0,27.0,2917,27.75,24.0,22.0330867767334
29-12-1992,27.0,27.0,100,27.0,27.0,24.787221908569336
30-12-1992,27.0,27.0,0,27.0,27.0,24.787221908569336
31-12-1992,27.0,27.0,0,27.0,27.0,24.787221908569336
04-01-1993,27.0,27.0,0,27.0,27.0,24.787221908569336
05-01-1993,25.5,28.5,650,28.5,25.5,23.410152435302734
06-01-1993,25.5,25.5,0,25.5,25.5,23.410152435302734
07-01-1993,28.5,28.5,333,28.5,28.5,26.164287567138672
08-01-1993,28.5,28.5,0,28.5,28.5,26.164287567138672
11-01-1993,28.5,28.5,0,28.5,28.5,26.164287567138672
12-01-1993,28.5,28.5,0,28.5,28.5,26.164287567138672
13-01-1993,31.5,31.5,83,31.5,31.5,28.918426513671875
14-01-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
15-01-1993,30.0,30.0,267,30.0,30.0,27.541357040405273
18-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
19-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
20-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
21-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
22-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
25-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
26-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
27-01-1993,25.5,25.5,483,27.0,25.5,23.410152435302734
28-01-1993,30.0,30.0,17,30.0,30.0,27.541357040405273
29-01-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
01-02-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
02-02-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
03-02-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
04-02-1993,25.5,30.0,417,30.0,25.5,23.410152435302734
05-02-1993,31.5,31.5,1767,33.0,33.0,30.29549217224121
08-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
09-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
10-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
11-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
12-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
16-02-1993,36.0,36.0,17,36.0,36.0,33.04962921142578
17-02-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
18-02-1993,31.5,31.5,3183,33.0,33.0,30.29549217224121
19-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
22-02-1993,33.0,36.0,50,36.0,33.0,30.29549217224121
23-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
24-02-1993,33.0,33.0,0,33.0,33.0,30.29549217224121
25-02-1993,36.0,36.0,17,36.0,36.0,33.04962921142578
26-02-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
01-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
02-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
03-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
04-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
05-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
08-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
09-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
10-03-1993,30.0,30.0,83,30.0,30.0,27.541357040405273
11-03-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
12-03-1993,30.0,30.0,33,30.0,30.0,27.541357040405273
15-03-1993,36.0,36.0,17,36.0,36.0,33.04962921142578
16-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
17-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
18-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
19-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
22-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
23-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
24-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
25-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
26-03-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
29-03-1993,30.0,30.0,167,30.0,30.0,27.541357040405273
30-03-1993,30.0,30.0,583,32.25,32.25,29.606956481933594
31-03-1993,32.25,32.25,0,32.25,32.25,29.606956481933594
01-04-1993,32.25,32.25,0,32.25,32.25,29.606956481933594
02-04-1993,32.25,32.25,0,32.25,32.25,29.606956481933594
05-04-1993,32.25,32.25,0,32.25,32.25,29.606956481933594
06-04-1993,30.0,30.0,817,36.0,34.5,31.672555923461914
07-04-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
08-04-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
12-04-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
13-04-1993,36.0,36.0,33,36.0,36.0,33.04962921142578
14-04-1993,36.0,36.0,117,36.0,36.0,33.04962921142578
15-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
16-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
19-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
20-04-1993,36.0,36.0,167,36.0,36.0,33.04962921142578
21-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
22-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
23-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
26-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
27-04-1993,36.0,36.0,133,36.0,36.0,33.04962921142578
28-04-1993,36.0,36.0,0,36.0,36.0,33.04962921142578
29-04-1993,30.0,31.5,833,31.5,31.5,28.918426513671875
30-04-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
03-05-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
04-05-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
05-05-1993,30.0,30.0,567,30.75,30.75,28.229888916015625
06-05-1993,30.75,30.75,0,30.75,30.75,28.229888916015625
07-05-1993,30.75,30.75,0,30.75,30.75,28.229888916015625
10-05-1993,30.0,30.0,17,30.0,30.0,27.541357040405273
11-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
12-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
13-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
14-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
17-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
18-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
19-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
20-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
21-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
24-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
25-05-1993,30.0,30.0,17,30.0,30.0,27.541357040405273
26-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
27-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
28-05-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
01-06-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
02-06-1993,30.0,30.0,733,30.0,30.0,27.541357040405273
03-06-1993,30.0,30.0,0,30.0,30.0,27.541357040405273
04-06-1993,34.5,34.5,167,34.5,34.5,31.672555923461914
07-06-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
08-06-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
09-06-1993,31.5,31.5,100,31.5,31.5,28.918426513671875
10-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
11-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
14-06-1993,31.5,31.5,333,31.5,31.5,28.918426513671875
15-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
16-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
17-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
18-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
21-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
22-06-1993,31.5,31.5,0,31.5,31.5,28.918426513671875
23-06-1993,34.5,34.5,50,34.5,34.5,31.672555923461914
24-06-1993,34.5,34.5,33,34.5,34.5,31.672555923461914
25-06-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
28-06-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
29-06-1993,34.5,34.5,0,34.5,34.5,31.672555923461914
30-06-1993,34.5,34.5,50,34.5,34.5,31.672555923461914
01-07-1993,25.5,25.5,93567,27.75,26.25,24.09868621826172
02-07-1993,26.25,27.0,8633,27.75,27.0,24.787221908569336
06-07-1993,26.25,26.25,8067,27.0,26.25,24.09868621826172
07-07-1993,25.5,26.25,6733,27.75,26.25,24.09868621826172
08-07-1993,25.5,25.5,11867,27.0,26.25,24.09868621826172
