Date,Low,Open,Volume,High,Close,Adjusted Close
18-04-1996,14.75,15.25,1962600,15.75,15.375,15.375
19-04-1996,14.5,16.0,635700,16.0,14.625,14.625
22-04-1996,14.5,15.0,247700,15.0,14.5,14.5
23-04-1996,14.5,14.5,198400,14.75,14.5,14.5
24-04-1996,14.5,14.75,279900,15.0,14.875,14.875
25-04-1996,14.875,15.0,221500,16.0,15.75,15.75
26-04-1996,15.625,15.75,156600,18.75,17.75,17.75
29-04-1996,17.5,17.75,77300,18.75,18.25,18.25
30-04-1996,18.375,18.375,73100,18.75,18.375,18.375
01-05-1996,18.375,18.75,37800,18.75,18.625,18.625
02-05-1996,18.375,18.375,47800,18.75,18.5625,18.5625
03-05-1996,17.5,18.75,81000,18.75,17.625,17.625
06-05-1996,17.5,17.75,98400,18.0,18.0,18.0
07-05-1996,15.625,18.0,152100,18.0,17.125,17.125
08-05-1996,16.75,17.125,35600,17.125,16.875,16.875
09-05-1996,16.5,16.75,9700,16.75,16.5,16.5
10-05-1996,16.0,16.625,178200,16.75,16.75,16.75
13-05-1996,16.5,16.75,137200,17.25,17.125,17.125
14-05-1996,16.875,17.25,48300,17.25,17.1875,17.1875
15-05-1996,15.75,17.375,90400,17.375,15.875,15.875
16-05-1996,15.75,16.25,134000,16.5,16.0,16.0
17-05-1996,16.0,16.5,19900,16.5,16.0,16.0
20-05-1996,16.0,16.5,48700,16.5,16.375,16.375
21-05-1996,16.0,16.5,354200,16.5,16.0,16.0
22-05-1996,16.25,16.25,57500,17.5,17.5,17.5
23-05-1996,17.25,17.5,67800,17.5,17.5,17.5
24-05-1996,17.25,17.75,23600,17.75,17.75,17.75
28-05-1996,17.375,17.75,64300,18.0,18.0,18.0
29-05-1996,17.5,18.0,185600,18.0,17.5625,17.5625
30-05-1996,17.25,17.5,64600,18.0,18.0,18.0
31-05-1996,16.75,18.0,75400,18.0,17.25,17.25
03-06-1996,15.75,17.25,52700,17.25,16.25,16.25
04-06-1996,15.75,16.25,36700,16.25,16.25,16.25
05-06-1996,15.75,16.25,30400,16.25,15.75,15.75
06-06-1996,15.75,16.25,35000,16.5,16.5,16.5
07-06-1996,15.75,16.5,14200,16.5,16.375,16.375
10-06-1996,15.625,16.375,23700,16.375,16.125,16.125
11-06-1996,15.25,15.625,24600,16.25,15.25,15.25
12-06-1996,15.25,15.5,91500,15.75,15.75,15.75
13-06-1996,15.375,15.375,43200,15.75,15.375,15.375
14-06-1996,15.375,15.625,190600,15.75,15.625,15.625
17-06-1996,15.375,15.625,75900,15.625,15.375,15.375
18-06-1996,15.375,15.625,139800,15.75,15.75,15.75
19-06-1996,15.375,15.75,15900,15.75,15.5,15.5
20-06-1996,13.5,15.375,77100,15.75,14.0,14.0
21-06-1996,13.625,13.875,65200,14.125,14.0,14.0
24-06-1996,14.0,14.5,20900,14.5,14.375,14.375
25-06-1996,14.0,14.5,9900,14.5,14.0,14.0
26-06-1996,13.375,14.5,42400,14.5,13.5,13.5
27-06-1996,11.5,13.375,72000,13.75,11.875,11.875
28-06-1996,11.625,11.875,144500,11.875,11.875,11.875
01-07-1996,11.625,11.875,18300,11.875,11.625,11.625
02-07-1996,11.625,11.875,75200,13.0,12.875,12.875
03-07-1996,12.25,12.875,79800,12.875,12.875,12.875
05-07-1996,11.875,12.25,15100,12.25,12.0,12.0
08-07-1996,11.625,12.125,26900,12.125,11.625,11.625
09-07-1996,11.625,12.0,34200,12.25,11.625,11.625
10-07-1996,11.625,12.078125,28800,12.25,11.625,11.625
11-07-1996,10.625,11.625,34600,12.0,10.625,10.625
12-07-1996,10.25,10.75,35500,11.25,10.78125,10.78125
15-07-1996,9.75,10.25,26200,10.75,9.75,9.75
16-07-1996,9.5,10.0,43800,10.0,9.875,9.875
17-07-1996,8.5,10.5,46100,10.5,8.5,8.5
18-07-1996,9.5,9.5,210700,11.0,10.5,10.5
19-07-1996,10.0,10.5,41600,11.0,10.75,10.75
22-07-1996,10.25,10.75,13900,10.75,10.734375,10.734375
23-07-1996,10.25,10.75,32700,10.75,10.25,10.25
24-07-1996,9.75,9.75,35900,10.75,10.75,10.75
25-07-1996,10.5,11.0,36500,11.0,10.5,10.5
26-07-1996,10.5,10.5,6100,11.0,11.0,11.0
29-07-1996,10.5,11.0,42000,11.0,10.5,10.5
30-07-1996,9.5,11.0,56000,11.0,10.0,10.0
31-07-1996,9.5,10.0,9900,10.0,9.5,9.5
01-08-1996,9.5,10.0,58400,10.25,10.0,10.0
02-08-1996,10.125,10.375,49700,10.75,10.25,10.25
05-08-1996,10.75,10.75,7400,10.75,10.75,10.75
06-08-1996,10.5,11.25,1600,11.25,10.75,10.75
07-08-1996,11.125,11.25,28600,12.0,12.0,12.0
08-08-1996,11.375,11.625,17500,12.0,11.375,11.375
09-08-1996,11.375,11.625,20600,11.875,11.875,11.875
12-08-1996,11.25,11.25,24600,11.75,11.25,11.25
13-08-1996,11.125,11.25,2200,11.375,11.375,11.375
14-08-1996,11.25,11.375,74400,12.0,12.0,12.0
15-08-1996,11.5,11.5,71000,12.0,12.0,12.0
16-08-1996,11.75,11.75,19400,12.5,12.375,12.375
19-08-1996,12.0,12.0,6600,12.5,12.25,12.25
20-08-1996,12.0,12.5,4400,12.5,12.0,12.0
21-08-1996,11.75,12.125,62700,12.5,12.5,12.5
22-08-1996,12.0,12.5,55400,12.5,12.0,12.0
23-08-1996,12.0,12.5,24400,12.5,12.5,12.5
26-08-1996,12.125,12.5,55400,12.5,12.5,12.5
27-08-1996,12.375,12.5,81600,12.75,12.75,12.75
28-08-1996,12.75,12.75,63100,13.875,13.5,13.5
29-08-1996,13.25,13.25,32600,14.5,14.0,14.0
30-08-1996,12.5,13.75,29900,13.75,12.625,12.625
03-09-1996,12.5,12.75,23100,13.375,13.375,13.375
04-09-1996,13.0,13.375,27800,13.375,13.375,13.375
05-09-1996,12.875,13.375,14000,13.375,13.25,13.25
06-09-1996,13.25,13.25,1200,13.25,13.25,13.25
09-09-1996,12.75,13.25,7400,13.25,13.25,13.25
10-09-1996,13.0,13.25,21100,13.375,13.0,13.0
11-09-1996,13.125,13.125,35200,13.75,13.75,13.75
12-09-1996,12.875,13.75,30500,13.75,13.25,13.25
13-09-1996,12.875,12.875,13100,13.375,13.125,13.125
16-09-1996,12.875,13.25,10100,13.25,12.875,12.875
17-09-1996,12.375,12.75,19600,13.0,12.75,12.75
18-09-1996,12.375,12.375,1200,12.75,12.75,12.75
19-09-1996,12.375,12.375,165000,13.0,12.875,12.875
