Date,Low,Open,Volume,High,Close,Adjusted Close
27-09-1993,7.0,7.0,6600,7.375,7.375,7.375
28-09-1993,7.625,7.75,7300,7.875,7.625,7.625
29-09-1993,7.625,7.625,13700,7.875,7.625,7.625
30-09-1993,7.375,7.625,2400,7.625,7.375,7.375
01-10-1993,7.125,7.25,3200,7.375,7.25,7.25
04-10-1993,7.0,7.25,3300,7.25,7.0,7.0
05-10-1993,7.0,7.125,1800,7.125,7.125,7.125
06-10-1993,7.125,7.125,900,7.125,7.125,7.125
07-10-1993,7.125,7.125,1800,7.25,7.25,7.25
08-10-1993,7.25,7.25,1400,7.25,7.25,7.25
11-10-1993,7.25,7.25,0,7.25,7.25,7.25
12-10-1993,7.25,7.25,1600,7.375,7.375,7.375
13-10-1993,7.125,7.375,1900,7.375,7.125,7.125
14-10-1993,7.125,7.25,1100,7.25,7.125,7.125
15-10-1993,7.125,7.25,3300,7.375,7.375,7.375
18-10-1993,7.375,7.375,2900,7.5,7.5,7.5
19-10-1993,7.25,7.25,2700,7.375,7.375,7.375
20-10-1993,7.25,7.5,1400,7.5,7.5,7.5
21-10-1993,7.0,7.5,2500,7.5,7.0,7.0
22-10-1993,6.5,7.125,11500,7.125,6.5,6.5
25-10-1993,6.625,6.625,5200,7.0,7.0,7.0
26-10-1993,6.875,6.875,700,6.875,6.875,6.875
27-10-1993,6.75,7.0,4200,7.0,6.75,6.75
28-10-1993,6.625,6.625,1200,6.75,6.75,6.75
29-10-1993,6.75,6.75,2900,6.75,6.75,6.75
01-11-1993,6.75,6.75,0,6.75,6.75,6.75
02-11-1993,6.625,6.75,700,6.75,6.625,6.625
03-11-1993,6.5,6.5,100,6.5,6.5,6.5
04-11-1993,6.5,6.5,6300,6.5,6.5,6.5
05-11-1993,6.375,6.375,400,6.375,6.375,6.375
08-11-1993,6.25,6.375,1000,6.375,6.25,6.25
09-11-1993,6.25,6.25,0,6.25,6.25,6.25
10-11-1993,6.375,6.375,2600,6.5,6.5,6.5
11-11-1993,6.375,6.375,500,6.5,6.5,6.5
12-11-1993,6.25,6.5,1300,6.5,6.25,6.25
15-11-1993,6.375,6.375,1500,6.375,6.375,6.375
16-11-1993,6.375,6.375,100,6.375,6.375,6.375
17-11-1993,6.375,6.375,0,6.375,6.375,6.375
18-11-1993,6.125,6.25,1400,6.375,6.375,6.375
19-11-1993,6.375,6.375,0,6.375,6.375,6.375
22-11-1993,6.375,6.375,200,6.375,6.375,6.375
23-11-1993,6.375,6.375,0,6.375,6.375,6.375
24-11-1993,6.375,6.375,0,6.375,6.375,6.375
26-11-1993,6.375,6.375,0,6.375,6.375,6.375
29-11-1993,6.25,6.25,500,6.25,6.25,6.25
30-11-1993,6.125,6.125,2000,6.25,6.25,6.25
01-12-1993,6.25,6.25,700,6.25,6.25,6.25
02-12-1993,6.0,6.25,3900,6.25,6.0,6.0
03-12-1993,6.0,6.0,0,6.0,6.0,6.0
06-12-1993,5.75,5.875,2100,5.875,5.75,5.75
07-12-1993,5.75,5.75,0,5.75,5.75,5.75
08-12-1993,5.625,5.625,100,5.625,5.625,5.625
09-12-1993,5.5,5.5,500,5.5,5.5,5.5
10-12-1993,5.5,5.5,1300,5.5,5.5,5.5
13-12-1993,5.375,5.375,400,5.5,5.5,5.5
14-12-1993,5.375,5.5,500,5.5,5.375,5.375
15-12-1993,5.25,5.375,1900,5.375,5.375,5.375
16-12-1993,5.25,5.25,800,5.25,5.25,5.25
17-12-1993,5.25,5.375,8700,5.5,5.5,5.5
20-12-1993,5.5,5.5,1800,5.5,5.5,5.5
21-12-1993,5.5,5.5,2400,5.625,5.625,5.625
22-12-1993,5.625,5.625,1900,5.625,5.625,5.625
23-12-1993,5.5,5.625,2300,5.625,5.5,5.5
27-12-1993,5.5,5.5,6100,5.625,5.625,5.625
28-12-1993,5.625,5.625,4600,5.75,5.75,5.75
29-12-1993,5.625,5.75,2100,5.75,5.75,5.75
30-12-1993,5.75,5.875,2000,5.875,5.875,5.875
31-12-1993,6.125,6.125,11000,6.125,6.125,6.125
03-01-1994,6.125,6.125,2000,6.375,6.375,6.375
04-01-1994,6.375,6.375,3400,6.5,6.5,6.5
05-01-1994,6.375,6.5,7700,6.625,6.375,6.375
06-01-1994,6.5,6.625,12600,6.75,6.75,6.75
07-01-1994,6.5,6.75,8300,6.875,6.5,6.5
10-01-1994,6.375,6.375,1500,6.625,6.375,6.375
11-01-1994,6.5,6.5,53000,6.75,6.5,6.5
12-01-1994,6.5,6.625,6300,6.75,6.75,6.75
13-01-1994,6.875,6.875,1200,7.0,7.0,7.0
14-01-1994,7.0,7.0,3300,7.125,7.125,7.125
17-01-1994,7.0,7.125,2000,7.25,7.25,7.25
18-01-1994,7.125,7.25,3000,7.25,7.125,7.125
19-01-1994,6.875,7.0,3500,7.125,7.125,7.125
20-01-1994,6.625,7.0,9100,7.0,6.75,6.75
21-01-1994,6.75,6.875,1800,6.875,6.75,6.75
24-01-1994,6.5,6.875,5800,7.0,6.75,6.75
25-01-1994,7.0,7.0,300,7.0,7.0,7.0
26-01-1994,7.0,7.0,7200,7.0,7.0,7.0
27-01-1994,7.0,7.0,0,7.0,7.0,7.0
28-01-1994,7.0,7.0,0,7.0,7.0,7.0
31-01-1994,6.75,6.75,2900,7.0,7.0,7.0
01-02-1994,6.875,6.875,600,7.0,7.0,7.0
02-02-1994,6.875,6.875,200,6.875,6.875,6.875
03-02-1994,6.75,6.75,100,6.75,6.75,6.75
04-02-1994,6.5,6.625,800,6.625,6.5,6.5
07-02-1994,6.5,6.5,600,6.5,6.5,6.5
08-02-1994,6.5,6.5,800,6.5,6.5,6.5
09-02-1994,6.625,6.625,900,6.625,6.625,6.625
10-02-1994,6.625,6.625,10100,6.625,6.625,6.625
11-02-1994,6.625,6.625,0,6.625,6.625,6.625
14-02-1994,6.5,6.5,4200,6.625,6.625,6.625
15-02-1994,6.5,6.625,2700,6.75,6.625,6.625
16-02-1994,6.5,6.5,5300,7.0,7.0,7.0
17-02-1994,6.375,6.625,13800,6.75,6.5,6.5
18-02-1994,6.375,6.5,700,6.5,6.375,6.375
22-02-1994,6.375,6.375,700,6.5,6.5,6.5
23-02-1994,6.375,6.5,2600,6.5,6.375,6.375
24-02-1994,6.125,6.5,4000,6.5,6.125,6.125
25-02-1994,6.0,6.125,2500,6.125,6.0,6.0
28-02-1994,6.0,6.0,1500,6.25,6.25,6.25
01-03-1994,6.25,6.25,2100,6.375,6.375,6.375
02-03-1994,6.25,6.375,1700,6.375,6.375,6.375
03-03-1994,6.125,6.375,1800,6.375,6.25,6.25
04-03-1994,6.375,6.375,1000,6.375,6.375,6.375
07-03-1994,6.125,6.25,1900,6.25,6.125,6.125
08-03-1994,6.25,6.25,700,6.25,6.25,6.25
09-03-1994,6.25,6.25,0,6.25,6.25,6.25
10-03-1994,6.125,6.125,800,6.125,6.125,6.125
11-03-1994,6.25,6.25,1000,6.25,6.25,6.25
14-03-1994,6.125,6.125,1200,6.25,6.25,6.25
15-03-1994,6.125,6.125,1200,6.25,6.25,6.25
16-03-1994,6.125,6.125,200,6.125,6.125,6.125
17-03-1994,6.0,6.125,2400,6.125,6.125,6.125
18-03-1994,6.125,6.125,1000,6.125,6.125,6.125
21-03-1994,6.125,6.125,200,6.125,6.125,6.125
22-03-1994,5.625,6.0,8500,6.0,5.75,5.75
23-03-1994,5.875,5.875,1500,5.875,5.875,5.875
24-03-1994,5.75,5.75,2600,5.875,5.75,5.75
25-03-1994,5.875,5.875,600,5.875,5.875,5.875
28-03-1994,5.75,5.875,1100,5.875,5.75,5.75
29-03-1994,5.875,5.875,1000,5.875,5.875,5.875
30-03-1994,5.875,6.0,300,6.0,5.875,5.875
31-03-1994,5.75,5.75,1000,5.75,5.75,5.75
04-04-1994,5.75,5.75,0,5.75,5.75,5.75
05-04-1994,5.75,5.75,1000,5.75,5.75,5.75
06-04-1994,5.75,5.75,1200,5.875,5.875,5.875
07-04-1994,5.875,5.875,100,5.875,5.875,5.875
08-04-1994,5.75,5.75,500,5.75,5.75,5.75
11-04-1994,5.75,5.75,400,5.75,5.75,5.75
12-04-1994,5.625,5.625,200,5.625,5.625,5.625
13-04-1994,5.5,5.5,900,5.5,5.5,5.5
14-04-1994,5.5,5.5,5700,5.5,5.5,5.5
15-04-1994,5.5,5.5,500,5.5,5.5,5.5
18-04-1994,5.375,5.375,1500,5.5,5.375,5.375
19-04-1994,5.375,5.375,300,5.375,5.375,5.375
20-04-1994,5.25,5.25,300,5.25,5.25,5.25
21-04-1994,5.375,5.375,900,5.5,5.5,5.5
22-04-1994,5.5,5.5,400,5.5,5.5,5.5
25-04-1994,5.5,5.5,0,5.5,5.5,5.5
26-04-1994,5.5,5.5,300,5.5,5.5,5.5
28-04-1994,5.5,5.5,0,5.5,5.5,5.5
29-04-1994,5.5,5.5,0,5.5,5.5,5.5
02-05-1994,5.375,5.375,100,5.375,5.375,5.375
03-05-1994,5.375,5.375,0,5.375,5.375,5.375
04-05-1994,5.375,5.375,200,5.375,5.375,5.375
05-05-1994,5.375,5.375,0,5.375,5.375,5.375
06-05-1994,5.375,5.5,200,5.5,5.375,5.375
09-05-1994,5.25,5.375,2000,5.375,5.25,5.25
10-05-1994,5.375,5.375,200,5.375,5.375,5.375
11-05-1994,5.125,5.25,2600,5.25,5.125,5.125
12-05-1994,5.0,5.0,2100,5.125,5.0,5.0
13-05-1994,5.0,5.125,5000,5.125,5.0,5.0
16-05-1994,5.0,5.0,0,5.0,5.0,5.0
17-05-1994,5.0,5.0,1000,5.125,5.125,5.125
18-05-1994,5.0,5.0,400,5.0,5.0,5.0
19-05-1994,5.25,5.25,1000,5.25,5.25,5.25
20-05-1994,5.125,5.125,200,5.125,5.125,5.125
23-05-1994,5.125,5.125,500,5.125,5.125,5.125
24-05-1994,5.125,5.125,0,5.125,5.125,5.125
25-05-1994,5.0,5.0,1700,5.0,5.0,5.0
26-05-1994,5.0,5.0,1000,5.0,5.0,5.0
27-05-1994,5.0,5.0,0,5.0,5.0,5.0
31-05-1994,4.875,4.875,1200,5.0,5.0,5.0
01-06-1994,5.0,5.0,200,5.0,5.0,5.0
02-06-1994,5.0,5.0,400,5.0,5.0,5.0
03-06-1994,4.875,4.875,1000,4.875,4.875,4.875
06-06-1994,4.875,5.0,900,5.0,4.875,4.875
07-06-1994,4.875,4.875,1000,4.875,4.875,4.875
08-06-1994,4.875,4.875,0,4.875,4.875,4.875
09-06-1994,5.0,5.0,100,5.0,5.0,5.0
10-06-1994,5.0,5.0,0,5.0,5.0,5.0
13-06-1994,4.9375,4.9375,100,4.9375,4.9375,4.9375
14-06-1994,4.875,4.875,3900,4.9375,4.9375,4.9375
15-06-1994,4.875,4.875,3200,5.0,5.0,5.0
16-06-1994,4.75,4.9375,300,4.9375,4.75,4.75
17-06-1994,4.75,4.8125,3500,4.8125,4.75,4.75
20-06-1994,4.75,4.75,300,4.75,4.75,4.75
21-06-1994,4.75,4.75,0,4.75,4.75,4.75
22-06-1994,4.5,4.5,3300,4.5,4.5,4.5
23-06-1994,4.125,4.375,5800,4.4375,4.125,4.125
24-06-1994,4.25,4.25,2500,4.25,4.25,4.25
27-06-1994,4.375,4.375,100,4.375,4.375,4.375
28-06-1994,4.375,4.375,0,4.375,4.375,4.375
29-06-1994,4.5,4.5,5200,4.5,4.5,4.5
30-06-1994,4.625,4.625,1100,4.75,4.75,4.75
01-07-1994,4.875,4.875,200,4.875,4.875,4.875
05-07-1994,4.875,4.875,0,4.875,4.875,4.875
06-07-1994,4.875,4.875,400,4.875,4.875,4.875
07-07-1994,4.875,4.875,0,4.875,4.875,4.875
08-07-1994,4.875,4.875,0,4.875,4.875,4.875
11-07-1994,4.75,4.75,600,5.0,5.0,5.0
12-07-1994,5.0,5.0,0,5.0,5.0,5.0
13-07-1994,5.0,5.0,0,5.0,5.0,5.0
14-07-1994,5.0,5.0,0,5.0,5.0,5.0
15-07-1994,5.0,5.0,0,5.0,5.0,5.0
18-07-1994,4.875,4.875,1300,4.875,4.875,4.875
19-07-1994,4.875,4.875,0,4.875,4.875,4.875
20-07-1994,4.875,4.875,0,4.875,4.875,4.875
21-07-1994,4.875,4.875,0,4.875,4.875,4.875
22-07-1994,4.875,4.875,0,4.875,4.875,4.875
25-07-1994,4.75,4.75,200,4.75,4.75,4.75
26-07-1994,4.75,4.75,0,4.75,4.75,4.75
27-07-1994,4.625,4.625,100,4.625,4.625,4.625
28-07-1994,4.625,4.625,0,4.625,4.625,4.625
29-07-1994,4.625,4.625,0,4.625,4.625,4.625
01-08-1994,4.5,4.5,500,4.5,4.5,4.5
02-08-1994,4.4375,4.4375,100,4.4375,4.4375,4.4375
03-08-1994,4.375,4.5,500,4.5,4.375,4.375
04-08-1994,4.375,4.375,0,4.375,4.375,4.375
05-08-1994,4.125,4.25,2300,4.25,4.125,4.125
08-08-1994,4.0625,4.125,1500,4.125,4.0625,4.0625
09-08-1994,4.25,4.25,100,4.25,4.25,4.25
10-08-1994,4.25,4.25,0,4.25,4.25,4.25
