Date,Low,Open,Volume,High,Close,Adjusted Close
03-01-1989,45.0,0.0,3060,46.25,45.0,45.0
04-01-1989,43.75,0.0,2000,45.0,43.75,43.75
05-01-1989,43.75,0.0,2140,45.0,43.75,43.75
06-01-1989,43.75,0.0,1540,45.0,43.75,43.75
09-01-1989,43.75,0.0,11220,45.0,43.75,43.75
10-01-1989,43.75,0.0,1320,45.0,43.75,43.75
11-01-1989,44.375,0.0,4280,45.0,44.375,44.375
12-01-1989,45.0,0.0,1000,46.25,45.0,45.0
13-01-1989,45.0,0.0,2200,46.25,45.0,45.0
16-01-1989,45.0,0.0,1060,46.25,45.0,45.0
17-01-1989,45.0,0.0,2900,46.25,45.0,45.0
18-01-1989,45.0,0.0,7720,46.25,45.0,45.0
19-01-1989,45.625,0.0,2880,47.5,45.625,45.625
20-01-1989,48.75,0.0,17100,50.625,48.75,48.75
23-01-1989,48.75,0.0,2900,50.625,48.75,48.75
24-01-1989,48.75,0.0,440,50.625,48.75,48.75
25-01-1989,49.375,0.0,1600,50.625,49.375,49.375
26-01-1989,52.5,0.0,7860,55.0,52.5,52.5
27-01-1989,53.125,0.0,2720,55.0,53.125,53.125
30-01-1989,53.125,0.0,3520,55.0,53.125,53.125
31-01-1989,54.375,0.0,3440,56.25,54.375,54.375
01-02-1989,60.0,0.0,16620,62.5,60.0,60.0
02-02-1989,63.125,0.0,12140,64.375,63.125,63.125
03-02-1989,60.625,0.0,5660,61.875,60.625,60.625
06-02-1989,58.125,0.0,3680,59.375,58.125,58.125
07-02-1989,55.0,0.0,16560,58.125,57.5,57.5
08-02-1989,56.875,0.0,4660,58.75,58.75,58.75
09-02-1989,58.125,0.0,6860,60.0,59.375,59.375
10-02-1989,56.875,0.0,2160,60.0,57.5,57.5
13-02-1989,56.875,0.0,1300,58.125,56.875,56.875
14-02-1989,56.25,0.0,680,58.125,58.125,58.125
15-02-1989,57.5,0.0,300,58.125,58.125,58.125
16-02-1989,56.875,0.0,1320,58.125,57.5,57.5
17-02-1989,58.125,0.0,1200,58.125,58.125,58.125
21-02-1989,56.875,0.0,2320,58.125,58.125,58.125
22-02-1989,56.875,0.0,2340,58.125,57.5,57.5
23-02-1989,53.75,0.0,6780,56.25,55.0,55.0
24-02-1989,53.75,0.0,5700,55.625,53.75,53.75
