Date,Low,Open,Volume,High,Close,Adjusted Close
31-01-2014,158.75,177.75,125428,181.25,162.5,162.5
03-02-2014,161.5,162.5,2444,168.0,164.75,164.75
04-02-2014,162.5,162.5,1944,175.0,164.5,164.5
05-02-2014,162.25,171.75,7816,180.0,167.5,167.5
06-02-2014,162.5,165.25,2740,173.5,172.25,172.25
07-02-2014,168.25,177.5,2760,177.75,175.5,175.5
10-02-2014,171.25,175.5,868,180.25,180.25,180.25
11-02-2014,178.75,178.75,1428,188.75,188.75,188.75
12-02-2014,171.25,189.0,1820,190.0,178.75,178.75
13-02-2014,175.75,181.0,1352,181.75,179.25,179.25
14-02-2014,162.75,181.0,3812,181.0,172.25,172.25
18-02-2014,168.75,168.75,1208,177.75,173.75,173.75
19-02-2014,175.0,178.25,320,178.25,177.5,177.5
20-02-2014,180.25,184.5,4080,188.5,185.0,185.0
21-02-2014,179.25,186.5,3464,204.75,185.0,185.0
24-02-2014,185.25,221.5,14900,224.5,205.75,205.75
25-02-2014,189.25,200.0,7496,200.0,194.25,194.25
26-02-2014,190.25,205.0,16636,210.75,199.25,199.25
27-02-2014,198.0,201.25,8608,202.25,200.0,200.0
28-02-2014,193.75,200.0,3252,202.0,199.5,199.5
03-03-2014,193.75,194.5,3368,212.0,204.5,204.5
04-03-2014,206.0,211.5,5940,239.25,231.75,231.75
05-03-2014,225.0,236.25,4244,248.75,241.0,241.0
06-03-2014,226.5,244.0,2340,248.5,231.25,231.25
07-03-2014,213.25,235.75,4320,238.0,228.5,228.5
10-03-2014,220.5,225.25,4572,237.0,229.0,229.0
11-03-2014,219.875,232.5,8420,241.0,232.25,232.25
12-03-2014,224.5,231.0,3272,237.0,232.25,232.25
13-03-2014,227.25,235.25,2968,240.5,232.0,232.0
14-03-2014,224.0,231.25,4824,236.5,226.75,226.75
17-03-2014,208.25,228.5,5020,230.25,211.25,211.25
18-03-2014,207.375,214.0,5680,220.25,217.75,217.75
19-03-2014,203.875,221.75,9316,224.25,210.5,210.5
20-03-2014,202.0,213.5,3020,216.0,209.5,209.5
21-03-2014,195.5,211.25,12620,211.25,195.75,195.75
24-03-2014,180.5,196.75,4928,197.25,181.25,181.25
25-03-2014,170.52499389648438,184.75,5408,187.0,174.5,174.5
26-03-2014,167.27499389648438,176.0,3432,184.875,178.0,178.0
27-03-2014,152.0749969482422,177.75,7948,183.25,167.25,167.25
28-03-2014,155.25,167.0,5696,193.0,186.25,186.25
31-03-2014,183.0,187.25,36952,198.5,196.5,196.5
01-04-2014,170.25,191.25,3760,193.75,189.25,189.25
02-04-2014,187.375,188.75,5548,195.5,190.75,190.75
03-04-2014,180.25,190.25,2300,191.0,181.25,181.25
04-04-2014,173.0,181.5,4120,183.75,173.5,173.5
07-04-2014,156.25,172.25,5888,173.0,160.25,160.25
08-04-2014,144.0,160.5,5648,160.5,154.5,154.5
09-04-2014,150.0,154.5,3240,154.5,151.0,151.0
10-04-2014,139.25,150.0,3868,150.375,145.0,145.0
11-04-2014,139.5,143.5,5920,150.5,142.75,142.75
14-04-2014,132.25,144.5,3424,147.25,134.0,134.0
15-04-2014,120.25,136.25,3400,136.25,124.25,124.25
16-04-2014,118.5,126.25,1968,128.5,127.5,127.5
17-04-2014,127.5,127.5,2136,137.75,134.75,134.75
21-04-2014,130.25,136.75,2948,155.5,144.0,144.0
22-04-2014,140.25,143.5,3208,150.0,146.25,146.25
23-04-2014,137.5,146.5,2528,146.5,139.0,139.0
24-04-2014,135.5,140.5,4132,143.75,137.25,137.25
25-04-2014,127.5,137.0,3248,143.75,129.0,129.0
28-04-2014,119.75,130.0,2060,130.0,123.5,123.5
29-04-2014,121.25,124.75,2088,127.75,123.5,123.5
30-04-2014,123.0,123.0,3216,144.5,125.25,125.25
01-05-2014,120.5,125.75,1116,125.75,123.0,123.0
02-05-2014,119.0,123.75,1616,125.0,123.5,123.5
05-05-2014,119.5,120.25,1488,126.75,123.5,123.5
06-05-2014,121.5,123.5,4744,125.0,124.0,124.0
07-05-2014,120.25,120.25,620,125.0,122.0,122.0
08-05-2014,118.75,123.25,1096,123.25,118.75,118.75
09-05-2014,112.5,115.5,3716,120.5,118.0,118.0
12-05-2014,114.5,119.25,972,120.5,116.75,116.75
13-05-2014,115.0,116.75,2984,123.0,119.75,119.75
14-05-2014,116.5,119.0,3912,122.5,119.5,119.5
15-05-2014,116.0,119.5,1328,126.80000305175781,120.0,120.0
16-05-2014,110.25,119.5,1600,119.5,111.5,111.5
19-05-2014,106.5,117.375,1100,117.375,109.0,109.0
20-05-2014,106.25,106.75,2464,111.25,110.25,110.25
21-05-2014,106.75,114.3499984741211,2156,114.3499984741211,109.25,109.25
22-05-2014,106.75,107.25,1276,114.25,111.5,111.5
23-05-2014,110.0,112.0,844,113.0,111.5,111.5
27-05-2014,110.5,113.0,788,114.5,114.5,114.5
28-05-2014,112.5,115.25,1140,115.25,113.75,113.75
29-05-2014,112.25,112.5,1004,113.25,113.25,113.25
30-05-2014,107.75,113.25,1632,113.25,109.75,109.75
02-06-2014,106.25,107.75,916,112.5,108.5,108.5
03-06-2014,106.25,113.0,10904,113.25,112.0,112.0
04-06-2014,107.75,111.25,1692,112.0,110.0,110.0
05-06-2014,108.75,110.75,1332,112.75,109.75,109.75
06-06-2014,107.125,110.75,1620,111.0,111.0,111.0
09-06-2014,106.25,111.25,5020,112.80000305175781,111.5,111.5
10-06-2014,106.25,111.0,11076,111.0,109.75,109.75
11-06-2014,109.5,111.0,6164,122.25,119.5,119.5
12-06-2014,115.0,122.25,3412,127.75,116.25,116.25
13-06-2014,111.0,117.0,1184,126.5,113.0,113.0
16-06-2014,106.5,112.25,1760,112.25,108.375,108.375
17-06-2014,104.5,108.75,3228,109.125,105.0,105.0
18-06-2014,101.75,108.0,2768,108.0,103.75,103.75
19-06-2014,102.0,105.0,1652,106.0,102.75,102.75
20-06-2014,101.75,103.5,5532,112.5,108.5,108.5
23-06-2014,106.0,109.25,2428,117.0,107.5,107.5
24-06-2014,107.5,115.5,2456,115.5,107.75,107.75
25-06-2014,103.2750015258789,107.75,5320,115.0,108.5,108.5
26-06-2014,109.0,111.0,5556,115.0,112.0,112.0
27-06-2014,109.5,111.0,38464,124.25,124.25,124.25
30-06-2014,122.5,122.5,10336,152.8249969482422,141.25,141.25
01-07-2014,137.5,140.25,5492,153.25,145.75,145.75
02-07-2014,140.0,152.75,3860,154.25,140.0,140.0
03-07-2014,138.75,140.0,772,142.39999389648438,140.25,140.25
07-07-2014,132.75,140.75,3444,143.5,138.75,138.75
08-07-2014,136.0,139.5,3552,140.5,138.0,138.0
09-07-2014,131.75,138.0,3356,153.0,149.25,149.25
10-07-2014,138.75,154.0,5392,156.25,150.5,150.5
11-07-2014,147.5,150.25,2040,161.5,157.5,157.5
14-07-2014,157.5,159.75,3624,174.25,167.75,167.75
15-07-2014,159.25,166.25,2132,171.75,161.75,161.75
16-07-2014,153.89999389648438,158.0,3564,168.0,162.5,162.5
17-07-2014,154.75,159.5,2456,166.875,158.0,158.0
18-07-2014,143.375,159.0,1996,161.75,157.25,157.25
21-07-2014,157.0,157.0,2012,174.0,164.25,164.25
22-07-2014,149.0,164.5,1796,164.5,152.25,152.25
23-07-2014,141.5,153.0,1696,157.25,143.75,143.75
24-07-2014,141.25,143.75,556,147.5,146.5,146.5
25-07-2014,137.5,146.25,1216,146.25,141.0,141.0
28-07-2014,130.0,139.5,1840,139.5,136.0,136.0
29-07-2014,135.0,137.0,1072,147.0,142.75,142.75
30-07-2014,140.75,143.0,3880,167.0,160.5,160.5
