Date,Low,Open,Volume,High,Close,Adjusted Close
03-03-2000,492.0,492.0,1071533,876.0,817.5,817.5
06-03-2000,730.3125,744.0,173592,876.0,811.5,811.5
07-03-2000,750.0,798.0,95700,807.0,768.0,768.0
08-03-2000,684.0,756.0,158142,763.5,723.0,723.0
09-03-2000,675.0,706.5,82425,733.5,733.5,733.5
10-03-2000,702.75,712.5,84800,751.5,729.0,729.0
13-03-2000,630.0,631.5,105642,685.5,651.0,651.0
14-03-2000,544.5,636.0,110867,654.0,552.0,552.0
15-03-2000,550.5,551.25,102358,652.5,643.5,643.5
16-03-2000,640.5,657.0,56750,720.0,700.5,700.5
17-03-2000,660.0,705.0,31350,720.0,663.0,663.0
20-03-2000,576.0,663.0,48208,672.0,589.5,589.5
21-03-2000,600.0,600.75,56092,672.75,648.0,648.0
22-03-2000,672.0,672.0,39200,721.5,705.0,705.0
23-03-2000,696.0,701.25,56717,732.0,700.5,700.5
24-03-2000,732.0,732.0,74317,840.0,825.0,825.0
27-03-2000,834.0,834.0,67067,921.0,862.5,862.5
28-03-2000,876.0,905.25,131075,1102.5,1050.0,1050.0
29-03-2000,903.0,1059.1875,114683,1122.0,987.75,987.75
30-03-2000,912.0,974.25,84042,1077.0,978.0,978.0
31-03-2000,934.5,1005.0,67942,1026.0,936.75,936.75
03-04-2000,828.0,928.5,49192,931.5,834.0,834.0
04-04-2000,526.5,838.5,97950,844.5,661.5,661.5
05-04-2000,594.0,633.0,35742,810.0,714.0,714.0
06-04-2000,723.0,744.0,22975,802.5,733.5,733.5
07-04-2000,738.75,741.0,13475,804.0,795.0,795.0
10-04-2000,766.5,796.5,21258,796.5,769.5,769.5
11-04-2000,691.5,763.5,17433,763.5,696.0,696.0
12-04-2000,610.5,694.5,28992,697.5,630.0,630.0
13-04-2000,600.0,643.5,27900,654.0,600.0,600.0
14-04-2000,352.5,591.0,61775,591.0,361.5,361.5
17-04-2000,331.5,372.0,67425,396.0,367.5,367.5
18-04-2000,376.5,387.75,39300,471.0,444.0,444.0
19-04-2000,450.75,520.125,38658,538.5,468.0,468.0
20-04-2000,450.0,475.5,27842,492.0,463.5,463.5
24-04-2000,435.0,466.5,16450,466.5,450.0,450.0
25-04-2000,453.0,463.5,16825,483.0,466.5,466.5
26-04-2000,478.5,504.0,61842,597.0,567.0,567.0
27-04-2000,480.0,480.0,30842,600.0,600.0,600.0
28-04-2000,540.0,614.25,35825,634.5,570.0,570.0
01-05-2000,549.0,549.75,16225,568.5,558.0,558.0
02-05-2000,519.0,529.5,14258,551.8125,523.5,523.5
03-05-2000,475.5,516.0,17592,520.5,517.5,517.5
04-05-2000,496.5,505.875,18317,570.0,508.5,508.5
05-05-2000,510.0,517.5,7017,552.0,531.0,531.0
08-05-2000,504.0,519.0,4400,537.0,522.0,522.0
09-05-2000,492.0,532.5,11158,532.5,492.0,492.0
10-05-2000,462.0,496.5,6492,498.0,465.0,465.0
11-05-2000,459.0,476.25,6033,496.5,468.0,468.0
12-05-2000,438.0,489.0,9242,496.5,438.0,438.0
15-05-2000,402.0,432.0,12892,435.0,426.75,426.75
16-05-2000,442.5,444.0,21708,519.0,510.0,510.0
17-05-2000,465.0,486.0,12608,550.5,550.5,550.5
18-05-2000,528.0,540.0,16592,574.5,528.75,528.75
19-05-2000,474.0,525.0,10767,528.0,499.5,499.5
22-05-2000,468.0,481.5,26783,498.0,481.5,481.5
23-05-2000,468.0,480.0,27775,480.0,472.5,472.5
