Date,Low,Open,Volume,High,Close,Adjusted Close
01-04-1996,438.0,438.0,85181,440.0,438.0,383.5975036621094
02-04-1996,436.0,438.0,19256,440.0,438.0,383.5975036621094
03-04-1996,436.0,436.0,9725,438.0,436.0,381.84588623046875
04-04-1996,424.0,434.0,11088,434.0,428.0,374.8395690917969
08-04-1996,418.0,420.0,4294,424.0,424.0,371.3363952636719
09-04-1996,422.0,424.0,5244,426.0,422.0,369.5848083496094
10-04-1996,426.0,428.0,11744,430.0,426.0,373.08795166015625
11-04-1996,426.0,430.0,20313,430.0,428.0,374.8395690917969
12-04-1996,428.0,430.0,1838,430.0,430.0,376.5911560058594
15-04-1996,432.0,434.0,1238,436.0,434.0,380.09429931640625
16-04-1996,440.0,440.0,1888,442.0,442.0,387.1007080078125
17-04-1996,438.0,440.0,800,440.0,440.0,385.34906005859375
18-04-1996,440.0,440.0,756,444.0,442.0,387.1007080078125
19-04-1996,452.0,452.0,1538,454.0,452.0,395.8586120605469
22-04-1996,454.0,456.0,931,456.0,454.0,397.61016845703125
23-04-1996,452.0,456.0,938,456.0,452.0,395.8586120605469
24-04-1996,444.0,450.0,931,450.0,444.0,388.8522644042969
25-04-1996,444.0,448.0,994,450.0,446.0,390.6038513183594
26-04-1996,442.0,448.0,11719,448.0,442.0,387.1007080078125
29-04-1996,444.0,446.0,894,446.0,444.0,388.8522644042969
30-04-1996,438.0,442.0,744,442.0,438.0,383.5975036621094
01-05-1996,436.0,440.0,5819,440.25,440.25,385.5680236816406
02-05-1996,428.0,432.0,975,432.0,428.0,374.8395690917969
03-05-1996,430.0,430.0,1463,432.0,432.0,378.3427429199219
06-05-1996,434.0,438.0,1094,438.0,434.0,380.09429931640625
07-05-1996,440.0,442.0,925,442.0,440.0,385.34906005859375
08-05-1996,440.0,442.0,1500,442.0,440.0,385.34906005859375
09-05-1996,444.0,444.0,1431,446.0,446.0,390.6038513183594
10-05-1996,448.0,448.0,925,450.0,448.0,392.3554382324219
13-05-1996,448.0,448.0,444,448.0,448.0,392.3554382324219
14-05-1996,452.0,452.0,1588,458.0,458.0,401.1133728027344
15-05-1996,462.0,462.0,1613,466.0,464.0,406.3681335449219
16-05-1996,462.0,462.0,381,464.0,462.0,404.61651611328125
17-05-1996,466.0,466.0,3269,470.0,468.0,409.8713073730469
20-05-1996,472.0,472.0,306,476.0,476.0,416.8776550292969
21-05-1996,470.0,472.0,2056,472.0,472.0,413.3744812011719
22-05-1996,458.0,464.0,481,464.0,458.0,401.1133728027344
23-05-1996,462.0,462.0,1325,464.0,462.0,404.61651611328125
24-05-1996,446.0,448.0,137256,450.0,450.0,396.966552734375
28-05-1996,446.0,450.0,3356,450.0,446.0,393.43798828125
29-05-1996,444.0,446.0,200,446.0,444.0,391.6736755371094
