Date,Low,Open,Volume,High,Close,Adjusted Close
21-10-1992,2550.0,3000.0,536,3000.0,2775.0,2775.0
22-10-1992,2625.0,2775.0,113,3075.0,3000.0,3000.0
23-10-1992,3000.0,3075.0,145,3300.0,3300.0,3300.0
26-10-1992,3075.0,3450.0,133,3450.0,3075.0,3075.0
27-10-1992,3150.0,3225.0,52,3300.0,3150.0,3150.0
28-10-1992,3000.0,3300.0,121,3300.0,3150.0,3150.0
29-10-1992,3150.0,3300.0,116,3300.0,3300.0,3300.0
30-10-1992,3075.0,3300.0,96,3300.0,3150.0,3150.0
02-11-1992,2700.0,3225.0,65,3225.0,2850.0,2850.0
03-11-1992,2400.0,2925.0,239,2925.0,2625.0,2625.0
04-11-1992,2250.0,2475.0,254,2550.0,2550.0,2550.0
05-11-1992,2475.0,2550.0,120,2850.0,2550.0,2550.0
06-11-1992,2550.0,2700.0,23,2775.0,2550.0,2550.0
09-11-1992,2625.0,2775.0,35,2775.0,2625.0,2625.0
10-11-1992,2550.0,2550.0,159,3000.0,2850.0,2850.0
11-11-1992,2850.0,3000.0,228,3225.0,3112.800048828125,3112.800048828125
12-11-1992,2925.0,3225.0,132,3225.0,2925.0,2925.0
13-11-1992,2850.0,3075.0,106,3075.0,2925.0,2925.0
16-11-1992,2925.0,2925.0,47,3150.0,3000.0,3000.0
17-11-1992,2925.0,3075.0,226,3225.0,3225.0,3225.0
18-11-1992,3075.0,3225.0,49,3300.0,3187.800048828125,3187.800048828125
19-11-1992,3075.0,3225.0,97,3225.0,3225.0,3225.0
20-11-1992,3075.0,3225.0,52,3300.0,3300.0,3300.0
23-11-1992,3150.0,3300.0,104,3300.0,3225.0,3225.0
24-11-1992,3225.0,3300.0,66,3300.0,3300.0,3300.0
25-11-1992,3150.0,3300.0,16,3300.0,3300.0,3300.0
27-11-1992,3075.0,3300.0,16,3300.0,3225.0,3225.0
30-11-1992,3000.0,3225.0,12,3225.0,3225.0,3225.0
01-12-1992,3000.0,3225.0,23,3225.0,3150.0,3150.0
02-12-1992,2925.0,3150.0,37,3150.0,2925.0,2925.0
03-12-1992,2850.0,3000.0,54,3000.0,2850.0,2850.0
04-12-1992,2962.800048828125,3000.0,25,3075.0,3000.0,3000.0
07-12-1992,2925.0,2925.0,30,3075.0,3000.0,3000.0
08-12-1992,3000.0,3075.0,17,3150.0,3150.0,3150.0
09-12-1992,3000.0,3000.0,55,3300.0,3150.0,3150.0
10-12-1992,3000.0,3225.0,228,3300.0,3150.0,3150.0
11-12-1992,3000.0,3150.0,26,3150.0,3150.0,3150.0
14-12-1992,3000.0,3150.0,54,3150.0,3000.0,3000.0
15-12-1992,2850.0,3000.0,58,3000.0,3000.0,3000.0
16-12-1992,2925.0,2925.0,44,3000.0,3000.0,3000.0
17-12-1992,2925.0,3000.0,49,3150.0,3150.0,3150.0
18-12-1992,3000.0,3150.0,9,3150.0,3000.0,3000.0
